Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Globus Pallidus Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Lipid Metabolism, Autophagy
GO Term: Limbic System Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Subthalamic Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Apoptosis
GO Term: Amygdala Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Mammillary Body Development -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Proteostasis, Immune Response
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Endolysosome, Apoptosis
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Synapse, Proteostasis, Immune Response
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Immune Response, Cell Cycle, Structural Stabilization, Synapse
GO Term: Glial Cell Fate Specification -> Biodomain: Immune Response, Synapse, Endolysosome, Myelination, Proteostasis
GO Term: Glial Cell Fate Commitment -> Biodomain: Immune Response, Synapse, Myelination, Oxidative Stress, Proteostasis
GO Term: Glial Cell Development -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Neuron Development, Autophagy
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Thalamus Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, APP Metabolism, Endolysosome
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Endolysosome, Autophagy
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Endolysosome
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Synapse, Tau Homeostasis, Immune Response, Proteostasis, Endolysosome
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Immune Response, Vasculature
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Immune Response, Autophagy
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Proteostasis
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Autophagy
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Tau Homeostasis, Structural Stabilization, Immune Response, Synapse, Cell Cycle
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Tau Homeostasis, Immune Response
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Immune Response, Cell Cycle, Endolysosome
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Cell Migration, Neurogenesis, Nervous System Development, Neuron Development
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Immune Response, Endolysosome
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Autophagy, Immune Response
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Immune Response
GO Term: Hypothalamus Development -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Proteostasis
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Cell Cycle
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Apoptosis
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Tau Homeostasis, Proteostasis, Structural Stabilization
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Autophagy, Structural Stabilization, Synapse, Epigenetic
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, APP Metabolism, Tau Homeostasis, Structural Stabilization, Endolysosome
GO Term: Forebrain Regionalization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Immune Response, Endolysosome
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse, Cell Cycle, Autophagy, Proteostasis, Immune Response
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Oxidative Stress
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Synapse, Tau Homeostasis, APP Metabolism, Immune Response
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Cell Cycle
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Apoptosis
GO Term: Forebrain Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Cell Differentiation, Neurogenesis, Developmental Process, Neuronal Development
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, APP Metabolism
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Cell Cycle, Autophagy
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Autophagy, Cell Cycle
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Cell Fate Specification, Epigenetic
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Synapse, Nervous System Development, Structural Stabilization, Cell Differentiation, Myelination
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Apoptosis, Autophagy, Synapse, Tau Homeostasis
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Autophagy, Apoptosis
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Apoptosis, Developmental Process, Structural Stabilization, Synapse
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Myelination
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Tau Homeostasis, APP Metabolism, Synapse, Proteostasis, Cell Cycle
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Endolysosome, Immune Response
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Tau Homeostasis, Structural Stabilization, Autophagy
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Immune Response
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.0/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.0/runtime_log.csv
