Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Proteostasis, Epigenetic, Synapse, Apoptosis, Oxidative Stress
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Xanthine Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy, Proteostasis
GO Term: Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Autophagy
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Epigenetic
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Synapse, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Autophagy
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, DNA Repair, Epigenetic
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Menaquinone Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Myelination
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, DNA Repair
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Response To Temperature Stimulus -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Cellular Response To Starvation -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Response To Ph -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Mrna Transcription -> Biodomain: Epigenetic, Tau Homeostasis, APP Metabolism, Proteostasis, Synapse
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Epigenetic, APP Metabolism
GO Term: Rrna Transcription -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Trna Transcription -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Protein Secretion -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Amine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Amine Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Immune Response
GO Term: Oligosaccharide Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Endolysosome, APP Metabolism
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Response To Radiation -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Epigenetic
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress, Autophagy
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Translational Attenuation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Toxin Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Toxin Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Toxin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Immune Response
GO Term: Response To Heat -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Cold -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Immune Response
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Response To Water -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Response To Light Stimulus -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glyoxylate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis, Endolysosome
GO Term: Cyanate Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Putrescine Metabolic Process -> Biodomain: Oxidative Stress, Autophagy, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Putrescine Biosynthetic Process -> Biodomain: Oxidative Stress, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Putrescine Catabolic Process -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Tau Homeostasis
GO Term: Rna Modification -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Epigenetic
GO Term: Fertilization -> Biodomain: Cell Cycle, Immune Response, Lipid Metabolism, Apoptosis, Structural Stabilization
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Immune Response
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Detection Of Visible Light -> Biodomain: Oxidative Stress, Synapse, Vasculature, Immune Response, Autophagy
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Immune Response, Proteostasis
GO Term: Detection Of Gravity -> Biodomain: Structural Stabilization, Tau Homeostasis, Vasculature, Synapse, Oxidative Stress
GO Term: Detection Of Chemical Stimulus -> Biodomain: Synapse, Immune Response, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.9/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.9/runtime_log.csv
