Running with TEMP=0.1, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Fat Pad Development -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Mammary Gland Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Regulation Of Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Regulation Of Er To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Regulation Of Microtubule-Based Movement -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Mesenchymal-Epithelial Cell Signaling -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Synapse
GO Term: Mammary Gland Epithelial Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Mammary Gland Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Nipple Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Submandibular Salivary Gland Formation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Salivary Gland Cavitation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Epithelial Cell Proliferation Involved In Salivary Gland Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Mesenchymal-Epithelial Signaling -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Salivary Gland Branching -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Branch Elongation Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Extracellular Matrix-Epithelial Cell Signaling -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Embryonic Placenta Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Branching Involved In Labyrinthine Layer Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Epithelial Cell Morphogenesis Involved In Placental Branching -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Placenta Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Ureteric Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Ureteric Bud Elongation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Primary Ureteric Bud Growth -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Epithelial-Mesenchymal Signaling -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Epithelial-Mesenchymal Cell Signaling -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Prostatic Bud Formation -> Biodomain: Reproductive System, Development, Cell Signaling, Epithelial Morphogenesis, Organogenesis
GO Term: Negative Regulation Of Prostatic Bud Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Regulation Of Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Regulation Of Morphogenesis Of A Branching Structure -> Biodomain: Structural Stabilization, Vasculature, Synapse, Epigenetic, Immune Response
GO Term: Cell Differentiation Involved In Salivary Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Epithelial Cell Maturation Involved In Salivary Gland Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Immune Response
GO Term: Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Endoribonuclease Inhibitor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Regulation Of Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Ribonuclease Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Endolysosome
GO Term: Negative Regulation Of Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Deoxyribonuclease Inhibitor Activity -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Structural Stabilization
GO Term: Trophoblast Giant Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Immune Response, Vasculature
GO Term: Chorio-Allantoic Fusion -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Labyrinthine Layer Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Spongiotrophoblast Layer Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Labyrinthine Layer Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Syncytiotrophoblast Cell Differentiation Involved In Labyrinthine Layer Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Labyrinthine Layer Blood Vessel Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Immune Response, Apoptosis
GO Term: Chorion Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Chorionic Trophoblast Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, Vasculature
GO Term: Chorionic Trophoblast Cell Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Apoptosis, Autophagy
GO Term: Positive Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Eif2 Alpha Phosphorylation By Dsrna -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Prostate Gland Growth -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Epithelial-Mesenchymal Signaling Involved In Prostate Gland Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Prostate Gland Development -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Prostate Gland Epithelium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Prostate Gland Stromal Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Epithelial Cell Differentiation Involved In Prostate Gland Development -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Epithelial Cell Maturation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Mammary Gland Branching Involved In Thelarche -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism, Apoptosis
GO Term: Mammary Gland Branching Involved In Pregnancy -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Parental Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Tertiary Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Mammary Gland Alveolus Development -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Cell Cycle
GO Term: Epithelial Cell Proliferation Involved In Mammary Gland Duct Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Vasculature
GO Term: Branch Elongation Involved In Mammary Gland Duct Branching -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Regulation of Immune Response, Signal Transduction, Inflammation, Cell Communication
GO Term: Regulation Of Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Mammary Duct Terminal End Bud Growth -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Cell-Cell Signaling Involved In Mammary Gland Development -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Negative Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Endolysosome
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Autophagy
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Mesenchymal Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Mesenchymal Smoothened Signaling Pathway Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Regulation Of Cell Proliferation Involved In Tissue Homeostasis -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Proteostasis
GO Term: Regulation Of Apoptosis Involved In Tissue Homeostasis -> Biodomain: Apoptosis, Proteostasis, DNA Repair, Autophagy, Epigenetic
GO Term: Hair Follicle Placode Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Sweat Gland Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Cell Fate Commitment Involved In Formation Of Primary Germ Layer -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Epiblast Cell-Extraembryonic Ectoderm Cell Signaling -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, DNA Repair
GO Term: Negative Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Vasculature
GO Term: Mesodermal To Mesenchymal Transition Involved In Gastrulation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Random Inactivation Of X Chromosome -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, DNA Repair
GO Term: Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Proteostasis, Synapse, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy
GO Term: Lymphatic Endothelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Epigenetic, Structural Stabilization, Autophagy
GO Term: Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Lymphatic Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Proteostasis
GO Term: Artery Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Venous Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Endolysosome
GO Term: Arterial Endothelial Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Venous Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Immune Response, Proteostasis
GO Term: Endothelial Cell Fate Specification -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Notch Signaling Pathway Involved In Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Endolysosome, Immune Response
GO Term: Branching Involved In Lymph Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Myelination, Cell Cycle
GO Term: Establishment Of Glial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Semicircular Canal Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Anterior Semicircular Canal Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Lateral Semicircular Canal Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Semicircular Canal Formation -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Semicircular Canal Fusion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Limb Epidermis Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Neural Plate Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Embryonic Camera-Type Eye Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cardiac Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Immune Response
GO Term: Cardiac Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Heart Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Mesenchymal Cell Differentiation Involved In Lung Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Cardiac Pacemaker Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Sinoatrial Node Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Vasculature
GO Term: Atrioventricular Node Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Cardiac Muscle Cell Fate Commitment -> Biodomain: Cardiac, Cell Differentiation, Development, Stem Cells, Regeneration
GO Term: Atrioventricular Node Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Atrioventricular Node Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Vasculature
GO Term: Sinoatrial Node Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Sinoatrial Node Cell Development -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: His-Purkinje System Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Cardiac Fibroblast Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Autophagy
GO Term: Epicardium-Derived Cardiac Fibroblast Cell Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Epithelial To Mesenchymal Transition Involved In Cardiac Fibroblast Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Cardiac Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cardiac Vascular Smooth Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Endocardial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Phospholipase D Inhibitor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Vasculature
GO Term: Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Autophagy, Synapse
GO Term: Negative Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Embryonic Heart Tube Left/Right Pattern Formation -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Left/Right Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Cell Migration Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cardioblast Migration To The Midline Involved In Heart Field Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Coronary Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Coronary Vasculature Morphogenesis -> Biodomain: Vasculature, Developmental Process, Cardiovascular, Structural Biology, Cell Growth and Division
GO Term: Angiogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Vasculogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Cell Migration Involved In Coronary Vasculogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Endolysosome, Immune Response
GO Term: Cell Migration Involved In Coronary Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Coronary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Lipid Tube -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Lipid Tube Assembly -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Lipid Tube Assembly Involved In Organelle Fusion -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Response To Fungicide -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Kidney Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Cell Differentiation Involved In Kidney Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, RNA Spliceosome
GO Term: Regulation Of Cell Proliferation Involved In Kidney Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Common Bile Duct Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic, Vasculature
GO Term: Gallbladder Development -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Mrna Catabolic Process -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Apoptosis, Epigenetic
GO Term: Snrna Import Into Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Hepatoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Membrane Organization -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Membrane Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Cardiac Muscle Tissue Regeneration -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Autophagy
GO Term: Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Eyelid Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Epithelial Cell Differentiation Involved In Mammary Gland Alveolus Development -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Vasculature, Structural Stabilization
GO Term: Endodermal Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Visceral Serous Pericardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Secretion By Lung Epithelial Cell Involved In Lung Growth -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Olfactory Bulb Mitral Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
