Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Growth Cone Filopodium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Poly(A) Rna Polymerase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, DNA Repair, Cell Cycle
GO Term: Basic Amino Acid Transmembrane Transport -> Biodomain: Endolysosome, Vasculature, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Sequence-Specific Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Hepatocyte Dedifferentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism, Proteostasis
GO Term: C-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Cellular Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Odorant -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Sequence-Specific Double-Stranded Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Poly(U)-Specific Exoribonuclease Activity, Producing 3' Uridine Cyclic Phosphate Ends -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Response To Endothelin -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Promoter-Specific Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Adaptive Thermogenesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Wnt-Frizzled-Lrp5/6 Complex -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Methionyl-Initiator Methionine Trna Binding -> Biodomain: Translation, Gene Expression Regulation, Protein Synthesis, Molecular Interactions, RNA Metabolism
GO Term: Cellular Response To Lectin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Cellular Response To Endothelin -> Biodomain: Vasculature, Signal Transduction, Transcriptional Regulation, Cardiovascular, Cell Communication
GO Term: Acinar Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Cellular Response To Chemokine -> Biodomain: Immune Response, Endolysosome, Proteostasis, Epigenetic, Apoptosis
GO Term: Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Cytoplasmic Side Of Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Fnip-Folliculin Ragc/D Gap -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Cst Complex -> Biodomain: DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: 18S Rrna Cytidine N-Acetyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Histone H4K20Me3 Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Netrin Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Beta-Catenin-Tcf Complex -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Wnt Signalosome -> Biodomain: Proteostasis, Cell Cycle, Endolysosome, Autophagy, Epigenetic
GO Term: Response To Hypobaric Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Psychosocial Stress -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Sperm Head Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Ooplasm -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Double-Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Pet Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Short-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Calcium Ion Regulated Lysosome Exocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Response To Amino Acid Starvation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Oxidative Stress, Endolysosome
GO Term: Mrna N1-Methyladenosine Dioxygenase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, RNA Spliceosome, Proteostasis
GO Term: Mrna N6-Methyladenosine Dioxygenase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, RNA Spliceosome, Proteostasis
GO Term: Splicing Factor Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Ubiquitin Ligase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Intramanchette Transport -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: G-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Eosinophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Basophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Endolysosome
GO Term: Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Xenobiotic Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Immune Response, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Establishment Of Blood-Retinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Atp Generation From Poly-Adp-D-Ribose -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Emilin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Multimerin Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Regulation Of Translational Initiation By Trna Modification -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Trna Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Oxidative Stress
GO Term: Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Metanephric S-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Cell Cycle, Synapse, Immune Response, Vasculature
GO Term: Negative Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Synapse, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Adaxial/Abaxial Pattern Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Determination Of Dorsal Identity -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Determination Of Dorsal Identity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Negative Regulation Of Male Gonad Development -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Male Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Multicellular Organismal Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Regulation Of Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulation Of Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Cardiac Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Vasculature, Synapse, Structural Stabilization, Myelination, Apoptosis
GO Term: Negative Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Proteostasis
GO Term: Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Epigenetic
GO Term: Regulation Of Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Type B Pancreatic Cell Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Type B Pancreatic Cell Development -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism
GO Term: Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Mammary Stem Cell Proliferation -> Biodomain: Cell Cycle, Stem Cells, Epigenetic, DNA Repair, Apoptosis
GO Term: Negative Regulation Of Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Leukocyte Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Endolysosome, Proteostasis
GO Term: Regulation Of Establishment Of Cell Polarity -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Lipid Metabolism, Vasculature, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Oxidative Stress
GO Term: Regulation Of Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Endocannabinoid Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, DNA Repair
GO Term: Positive Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Oxidative Stress, DNA Repair
GO Term: Regulation Of Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Cell Motility -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Cell Motility -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Apoptosis
GO Term: Regulation Of Retrograde Vesicle-Mediated Transport, Golgi To Er -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Ubiquitin-Specific Protease Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Negative Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Tau Homeostasis
GO Term: Positive Regulation Of Pro-T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Developmental Biology, Neuroscience, Signal Transduction, Stem Cell Biology
GO Term: Negative Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Androgen Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Progesterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Progesterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Phosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Phosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Female Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Negative Regulation Of Female Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Ribosomal Small Subunit Export From Nucleus -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Anoikis -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Glutamate Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Glutamate Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Testosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Testosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Pancreatic A Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Pancreatic Stellate Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, DNA Repair
GO Term: Positive Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Regulation Of Reproductive Process -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Immune Response, DNA Repair
GO Term: Negative Regulation Of Reproductive Process -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Autophagy, Epigenetic
GO Term: Positive Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, DNA Repair, Autophagy
GO Term: Negative Regulation Of Feeding Behavior -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Feeding Behavior -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Protein Activation Cascade -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Synapse
GO Term: Negative Regulation Of Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Positive Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Immune Response
GO Term: Negative Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Myotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Muscle System, Developmental Biology, Cell Growth And Proliferation, Regenerative Processes
GO Term: Negative Regulation Of Defecation -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Synapse Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Negative Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Positive Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Nmda Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Ampa Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Neural Plate Anterior/Posterior Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
