Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: U4Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: U5 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U6Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: U12 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Pre-Mrna 5'-Splice Site Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Pre-Mrna 3'-Splice Site Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U6 Snrna 3'-End Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Regulation Of Cellular Ph -> Biodomain: Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism, Epigenetic
GO Term: Intracellular Phosphate Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Intracellular Chloride Ion Homeostasis -> Biodomain: Synapse, Endolysosome, Immune Response, Autophagy, Myelination
GO Term: Regulation Of Vitamin Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Epigenetic, Oxidative Stress
GO Term: Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Cytoplasmic Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Golgi-Associated Vesicle Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Copi-Coated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Clathrin-Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Secretory Granule Membrane -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin-Coated Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Phagocytic Vesicle Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Synaptic Vesicle Membrane -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Axolemma -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Protein-Macromolecule Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Mitochondrial Ribonuclease P Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Multimeric Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: 90S Preribosome -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Preribosome, Large Subunit Precursor -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Preribosome, Small Subunit Precursor -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Noc1P-Noc2P Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Noc2P-Noc3P Complex -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Noc4P-Nop14P Complex -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Gtpase Regulator Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Trna (Uracil(54)-C5)-Methyltransferase Activity, S-Adenosyl Methionine-Dependent -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Vitelline Membrane Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Cytoskeleton-Dependent Intracellular Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Germ-Line Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: P Granule Organization -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Ovulation -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Acetoacetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Guanidinoacetate N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Carnosine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Gtp-Dependent Protein Binding -> Biodomain: Signal Transduction, Cell Signaling, Cell Communication, Regulation, Protein Binding
GO Term: Amine N-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Synapse, Proteostasis
GO Term: Pyridine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Arsenite Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Actin Filament Length -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Apoptosis
GO Term: Positive Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Negative Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Vasculature
GO Term: Positive Regulation Of Intermediate Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Phospholipase C-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Synapse, Apoptosis
GO Term: Autosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Prostate Gland Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Autophagy
GO Term: Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Epithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Cortical Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Endolysosome
GO Term: Cortical Actin Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Cortical Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Cortical Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Endolysosome
GO Term: Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, APP Metabolism
GO Term: Smooth Endoplasmic Reticulum Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Mre11 Complex -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Apoptosis, Epigenetic
GO Term: Beta-Catenin Destruction Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Thyroid Gland Development -> Biodomain: Organ Development, Endocrine, Hormone Signaling, Cell Differentiation, Organ System Development
GO Term: Mammary Gland Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis, Epigenetic
GO Term: Rna Polymerase Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Beta-2-Microglobulin Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Endogenous Lipid Antigen Binding -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Exogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Positive Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Vcb Complex -> Biodomain: Ubiquitin System, Proteostasis, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Mitotic Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Meiotic Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Replisome -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Apolipoprotein B Mrna Editing Enzyme Complex -> Biodomain: RNA Spliceosome, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Checkpoint Clamp Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Hops Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Calcium-Dependent Atpase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Oxidative Stress
GO Term: Forebrain Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Midbrain Development -> Biodomain: Neurogenesis, Cell Differentiation, Developmental Biology, Neural Circuit Development, Organ Morphogenesis
GO Term: Hindbrain Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Notochord Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Retromer Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Retromer, Tubulation Complex -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Autophagy, APP Metabolism
GO Term: Retromer, Cargo-Selective Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Olfactory Placode Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, RNA Spliceosome, Synapse
GO Term: Tpr Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, DNA Repair, Epigenetic
GO Term: Paranodal Junction Assembly -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Smc5-Smc6 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Otic Vesicle Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Midbrain-Hindbrain Boundary Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Synapse
GO Term: Endoplasmic Reticulum Signal Peptide Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Mitochondrion Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Apoptosis, Immune Response, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Establishment Or Maintenance Of Actin Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Establishment Or Maintenance Of Microtubule Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Astral Microtubule Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Astral Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Potassium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glutamyl-Trna(Gln) Amidotransferase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Structural Stabilization
GO Term: Tat Protein Binding -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Receptor Tyrosine Kinase Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Thiamine Pyrophosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Thiamine Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Thiamine Pyrophosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Taurine Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Cortical Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Mismatched Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Kininogen Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Intraciliary Transport Particle -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Intraciliary Transport Particle A -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Intraciliary Transport Particle B -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Response To Caffeine -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Potassium Ion-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Filamin Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Synapse
GO Term: Iswi-Type Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Ino80 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Extracellular Matrix -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Troponin I Binding -> Biodomain: Muscle System, Protein-Protein Interaction, Structural Stabilization, Cardiovascular System, Signal Transduction
GO Term: Troponin T Binding -> Biodomain: Structural Stabilization, Muscle System, Proteostasis, Vasculature, Synapse
GO Term: Pancreas Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Exocrine Pancreas Development -> Biodomain: Digestive System, Developmental Processes, Secretory System, Protein Metabolism, Morphogenesis
GO Term: Endocrine Pancreas Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Vasculature, Autophagy
GO Term: Interphase Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Nuclear Migration Along Microfilament -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Microtubule Organizing Center Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Actomyosin Structure Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Myosin Filament Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Vasculature
GO Term: Myosin Ii Filament Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Dense Core Granule -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: Regulatory Ncrna-Mediated Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, DNA Repair
GO Term: Regulatory Ncrna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, DNA Repair
GO Term: Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Hair Follicle Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Cysteine Desulfurase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Heat Shock Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Cholesterol 26-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Embryonic Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Epigenetic, Proteostasis
GO Term: Post-Embryonic Camera-Type Eye Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Histone H3K14 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Nuclear Pore Outer Ring -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Bloc-1 Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Bloc-2 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Bloc-3 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Independent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair
GO Term: Platelet Dense Granule Membrane -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Platelet Dense Granule Lumen -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Immune Response, Proteostasis
GO Term: Organelle Membrane -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Platelet Alpha Granule -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Structural Stabilization
GO Term: Platelet Alpha Granule Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Platelet Alpha Granule Lumen -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Platelet Dense Tubular Network -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Platelet Dense Tubular Network Membrane -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Autophagy, Proteostasis
GO Term: Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Animal Organ Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Immune Response
GO Term: Neuron Projection Regeneration -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Dendrite Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Septin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Septin Ring Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Synapse
GO Term: Negative Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: Regulation Of Microtubule Depolymerization -> Biodomain: Cell Cycle, Tau Homeostasis, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Positive Regulation Of Microtubule Polymerization -> Biodomain: Cell Cycle, Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse
GO Term: Positive Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Snrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Cytoplasmic Microtubule Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Cell Cycle
GO Term: Rrna 3'-End Processing -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
