Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Mammillary Body Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Tau Homeostasis, APP Metabolism
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Unknown
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Unknown, Proteostasis, Tau Homeostasis
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Endolysosome
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Neuron Differentiation, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Cell Cycle, Autophagy, Immune Response, Unknown
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Unknown
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Glial Cell Fate Specification -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Glial Cell Fate Commitment -> Biodomain: Immune Response, Myelination, Synapse, Endolysosome, Vasculature
GO Term: Glial Cell Development -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Unknown
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Structural Stabilization, Unknown, Vasculature, Cell Cycle
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Cell Cycle, Unknown
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Developmental Process, Brain Development, Cell Migration, CNS Development, Structural Stabilization
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Tau Homeostasis, Structural Stabilization, Lipid Metabolism, Epigenetic, Synapse
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Unknown, Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Immune Response, Synapse, Structural Stabilization, Unknown, Autophagy
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Myelination
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Unknown
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Synapse, Unknown
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Unknown
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Unknown
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Developmental, Cell Migration, Neurogenesis, Neuronal Function, Structural Stabilization
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Tau Homeostasis, APP Metabolism
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Immune Response, Structural Stabilization, Endolysosome, Unknown
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Tau Homeostasis
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Unknown, Epigenetic, DNA Repair, Synapse
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Neurogenesis, Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Synapse
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Tau Homeostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Immune Response, Endolysosome, Structural Stabilization, Tau Homeostasis
GO Term: Hypothalamus Development -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Hypothalamus Cell Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Unknown, Endolysosome
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Neurogenesis, Gliogenesis, Synapse, Cell Cycle, Structural Stabilization
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Unknown, Autophagy
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Tau Homeostasis, Synapse, Structural Stabilization, APP Metabolism, Endolysosome
GO Term: Forebrain Regionalization -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Immune Response
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Tau Homeostasis
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Unknown, Epigenetic, Autophagy, Apoptosis
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Neurogenesis, Stem Cell Biology, Neurodevelopment, Wnt Signaling, Cell Differentiation
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Synapse
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Forebrain Cell Migration -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Immune Response, Endolysosome
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Apoptosis, Cell Cycle, Structural Stabilization, Tau Homeostasis
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse,Tau Homeostasis,Proteostasis,Endolysosome,Cell Cycle
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Cell Cycle, Unknown
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Forebrain Astrocyte Development -> Biodomain: Immune Response, APP Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Immune Response, Endolysosome
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Unknown, Immune Response
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Unknown, Synapse, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Unknown, Epigenetic, Structural Stabilization, Synapse, Tau Homeostasis
GO Term: Neural Tube Development -> Biodomain: Unknown, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Unknown, Endolysosome
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Unknown, Endolysosome
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Structural Stabilization,Synapse,Myelination,Vasculature,Immune Response
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Tau Homeostasis, Immune Response
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Developmental Process, Cell Migration, Nervous System Development, Structural Stabilization, Unknown
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Cell Cycle, Proteostasis, Endolysosome, Immune Response
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Tau Homeostasis, APP Metabolism
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Developmental Process, Synapse, Unknown, Tau Homeostasis
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Unknown, Cell Cycle, Tau Homeostasis
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Unknown
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Unknown_Temp_0.0/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Unknown_Temp_0.0/runtime_log.csv
