Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Synapse, Oxidative Stress
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Phosphorylase Kinase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Cell Cycle
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Jun Kinase Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Map Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Map Kinase Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Autophagy
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Epigenetic
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Epigenetic
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Lipid Metabolism
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Ribokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Spermidine Synthase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Apoptosis
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Synapse
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Threonine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Threonine Synthase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Thymidine Kinase Activity -> Biodomain: Synapse, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Dtmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Thymidylate Synthase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Transaldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Transketolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Transposase Activity -> Biodomain: Synapse, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Epigenetic, RNA Spliceosome
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Epigenetic
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Mitochondrial Metabolism, Cell Cycle
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Synapse, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Endolysosome
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Epigenetic
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Epigenetic, Cell Cycle
GO Term: Uridine Kinase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Uridine Phosphorylase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: D-Xylulokinase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Enzyme Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Synapse, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Synapse, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Oxidative Stress, Epigenetic
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.0/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.0/runtime_log.csv
