Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Synapse
GO Term: Positive Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Vasculature, Structural Stabilization, APP Metabolism, Cell Cycle
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Negative Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Synapse
GO Term: Positive Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Unknown
GO Term: Positive Regulation Of Macrophage Tolerance Induction -> Biodomain: Immune Response, Mitochondrial Metabolism, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nadph Pyrophosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Transcription By Competitive Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Coenzyme A Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Intestinal Phytosterol Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Positive Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Positive Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Negative Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Intracellular Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Regulation Of Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Projection Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Neuron Projection Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Vitamin D 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Negative Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Oxidative Stress
GO Term: Ubiquitin Recycling -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Response To Auditory Stimulus -> Biodomain: Synapse, Myelination, Epigenetic, Vasculature, Oxidative Stress
GO Term: Anaphase-Promoting Complex Binding -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Regulation Of Translational Initiation By Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Induction Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Endomembrane System -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Lipid Metabolism
GO Term: Er To Golgi Transport Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Oligodendrocyte Development -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Microglia Differentiation -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Microglia Development -> Biodomain: Immune Response, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Microglia Differentiation -> Biodomain: Immune Response, Synapse, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Glial Cell Proliferation -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Schwann Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Peripheral Nervous System Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Gliogenesis -> Biodomain: Myelination, Structural Stabilization, Immune Response, Cell Cycle, Synapse
GO Term: Negative Regulation Of Gliogenesis -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Gliogenesis -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Neuroblast Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Notochord Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Unknown
GO Term: Neural Crest Formation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Unknown
GO Term: Mesenchymal Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Neural Crest Cell Development -> Biodomain: Myelination, Structural Stabilization, Vasculature, Epigenetic, Apoptosis
GO Term: Neural Crest Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Neural Crest Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Myelination, Vasculature
GO Term: Neural Crest Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Unknown
GO Term: Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Endolysosome
GO Term: Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Neuron Maturation -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Neuron Maturation -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Autophagy
GO Term: Schwann Cell Development -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Synapse
GO Term: Establishment Of Endothelial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Dopamine Secretion -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Positive Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Dopamine Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Serotonin Secretion -> Biodomain: Synapse, Neurotransmission, Neurodegeneration, Serotonin, Endolysosome
GO Term: Positive Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Immune Response, Synapse, Cell Cycle, Vasculature
GO Term: Response To Amine -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Autophagy, Immune Response
GO Term: Junctional Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Intercalated Disc -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: C Zone -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Branchiomeric Skeletal Muscle Development -> Biodomain: Structural Stabilization, Unknown, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Regeneration, Stem Cells, Differentiation
GO Term: Positive Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Skeletal Muscle Satellite Cell Activation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Autophagy, Epigenetic
GO Term: Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Skeletal Muscle Contraction By Modulation Of Calcium Ion Sensitivity Of Myofibril -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of The Force Of Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Spectrin-Associated Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Skeletal Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Adaptation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Skeletal Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Muscle Hyperplasia -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Muscle Hyperplasia -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Muscle Hypertrophy -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Longitudinal Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Terminal Cisterna -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Terminal Cisterna Lumen -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Smooth Muscle Adaptation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Smooth Muscle Hyperplasia -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Somitogenesis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Apoptosis, Proteostasis, Unknown
GO Term: Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Muscle Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Skeletal Muscle Satellite Cell Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Regulation Of Skeletal Muscle Contraction -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Tonic Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Detection Of Wounding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Artery Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vein Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Intestine Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Urinary Bladder Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Myoblast Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Myoblast Migration Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Unknown
GO Term: Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Immune Response, Proteostasis
GO Term: Growth Factor Dependent Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Esophagus Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Response To Muscle Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Excitatory Postsynaptic Membrane Potential Involved In Skeletal Muscle Contraction -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Response To Inactivity -> Biodomain: Autophagy, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Unknown
GO Term: Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Contraction Via Regulation Of Action Potential -> Biodomain: Structural Stabilization, Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Skeletal Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Response To Muscle Inactivity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Muscle Activity Involved In Regulation Of Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Response To Injury Involved In Regulation Of Muscle Adaptation -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Autophagy, Immune Response
GO Term: Response To Electrical Stimulus Involved In Regulation Of Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Transition Between Fast And Slow Fiber -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Transition Between Slow And Fast Fiber -> Biodomain: Mitochondrial Metabolism, Synapse, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Striated Muscle Atrophy -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Oxidative Stress
GO Term: Response To Denervation Involved In Regulation Of Muscle Adaptation -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Smooth Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Muscle Hypertrophy -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Structural Stabilization, Proteostasis, Apoptosis, Vasculature
GO Term: Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Oxidative Stress, Vasculature
GO Term: Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Myotube Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Myotube Cell Development Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Apoptosis
GO Term: Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Unknown
GO Term: Heparan Sulfate N-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response, Endolysosome
GO Term: Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response
GO Term: Heparan-Alpha-Glucosaminide N-Acetyltransferase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Glucuronosyltransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Unknown
GO Term: Glucuronate-2-Sulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response
GO Term: Coreceptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Protein-Disulfide Reductase Activity -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Disulfide Oxidoreductase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutathione Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Beta3-Adrenergic Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Autophagy
GO Term: Gastrin Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Secretin Receptor Activity -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Corticotrophin-Releasing Factor Receptor Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Autophagy, Endolysosome
GO Term: Thrombin-Activated Receptor Activity -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
