Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: Chromosome -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Synapse
GO Term: Telomerase Holoenzyme Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Synapse
GO Term: Chiasma -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Recombination Nodule -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Synapse
GO Term: Late Recombination Nodule -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Synapse
GO Term: Perichromatin Fibrils -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, DNA Repair
GO Term: Nucleolus -> Biodomain: Proteostasis, Epigenetic, Synapse, RNA Spliceosome, Cell Cycle
GO Term: Nucleolus Organizer Region -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Rna Polymerase I Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Cytoplasm -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Autophagy, Mitochondrial Metabolism
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Endosome -> Biodomain: Endolysosome,Synapse,Proteostasis,Autophagy,Immune Response
GO Term: Early Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, APP Metabolism
GO Term: Late Endosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Structural Stabilization
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Oxidative Stress
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Peroxisome -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Peroxisomal Membrane -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Peroxisomal Matrix -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Structural Stabilization
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, RNA Spliceosome
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Synapse
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Endolysosome, Autophagy
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi Apparatus -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Golgi Stack -> Biodomain: Synapse, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Golgi Lumen -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Golgi Medial Cisterna -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Golgi-Associated Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cis-Golgi Network -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Trans-Golgi Network -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Centriole -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Microtubule Organizing Center -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Aster -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Actomyosin Contractile Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Polar Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Cytosol -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Autophagy, Epigenetic
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Structural Stabilization
GO Term: Hemoglobin Complex -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Structural Stabilization
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Synapse, Apoptosis, Oxidative Stress
GO Term: Ribosome -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Nuclear Cap Binding Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Endolysosome
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Cell Cycle
GO Term: Mrna Cleavage Factor Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.1/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.1/runtime_log.csv
