Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Gamma-Secretase Complex -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Cell Cycle, Autophagy
GO Term: Pas Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Unknown
GO Term: Protein-N-Terminal Glutamine Amidohydrolase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Apoptosis
GO Term: Moz/Morf Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Apoptosis
GO Term: D-Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: L-Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: D-Aspartate Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Dihydrosphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Response To Biotin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Immune Response, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Hydrogen Sulfide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Peptidyl-Lysine 5-Dioxygenase Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tertiary Granule -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Tertiary Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Sin3-Type Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Paraferritin Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Heterochromatin Organization -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Basement Membrane Assembly -> Biodomain: Structural Stabilization, Extracellular Matrix, Vasculature, Cell Adhesion, Synapse
GO Term: Chromium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Caveola Assembly -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Dehydroascorbic Acid Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dynein Complex Binding -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Autophagy, Proteostasis
GO Term: Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Unknown
GO Term: Aggresome Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Polyubiquitinated Misfolded Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Core Mediator Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Response To Growth Factor -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Epigenetic
GO Term: Response To Epidermal Growth Factor -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cell Body Fiber -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Unknown
GO Term: Myosin Vi Binding -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Myosin Vi Light Chain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Negative Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Rna Polymerase I Core Factor Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Regulation Of Glycogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Soss Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Microprocessor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Primary Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Pre-Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Proteostasis, Synapse, Metal Binding and Homeostasis, Apoptosis
GO Term: E-Box Binding -> Biodomain: Epigenetic, Synapse, Tau Homeostasis, APP Metabolism, Unknown
GO Term: Platelet Alpha Granule Organization -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Lipoteichoic Acid Binding -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Lipoteichoic Acid Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Rna Polymerase Iii Preinitiation Complex Assembly -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Mitochondrial Trna Wobble Uridine Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Mitochondrial Trna Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Trna Methylation -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Mitochondrial Trna Pseudouridine Synthesis -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Serine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Global Genome Nucleotide-Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Uv-Damage Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Lysophosphatidic Acid Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Regulatory Ncrna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Unknown, Immune Response, Autophagy
GO Term: Regulation Of Sirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, DNA Repair, Autophagy
GO Term: Risc Complex Assembly -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Organelle Assembly -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Proteostasis, RNA Spliceosome
GO Term: Golgi-Associated Vesicle Lumen -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Synapse
GO Term: Crd-Mediated Mrna Stabilization -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Immune Response
GO Term: Crd-Mediated Mrna Stability Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Contractile Ring -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Dsl1/Nzr Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Neutrophil-Mediated Killing Of Bacterium -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Neutrophil-Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Vasculature
GO Term: Neutrophil-Mediated Killing Of Gram-Positive Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Neutrophil-Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Regulation Of Neutrophil Mediated Cytotoxicity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Nuclear-Transcribed Mrna Catabolic Process, No-Go Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Epigenetic
GO Term: Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Protein Localization To Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Pou Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Fha Domain Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Tir Domain Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Bone Maturation -> Biodomain: Structural Stabilization, Endolysosome, Apoptosis, Cell Cycle, Vasculature
GO Term: Protein K11-Linked Ubiquitination -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Endolysosome
GO Term: L-Asparagine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: L-Asparagine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Transcription Factor Tfiik Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Left/Right Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Error-Free Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Autophagy
GO Term: Demethylation -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Oxidative Demethylation -> Biodomain: Oxidative Stress, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Medium-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Detection Of Oxidative Stress -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Type 1 Melanocortin Receptor Binding -> Biodomain: Epigenetic, Apoptosis, Oxidative Stress, Immune Response, Proteostasis
GO Term: Response To Magnetism -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Epigenetic, Immune Response
GO Term: U4/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, DNA Repair
GO Term: U4Atac/U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Unknown
GO Term: U2-Type Prespliceosome -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: U2-Type Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: U2-Type Catalytic Step 1 Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: U2-Type Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Unknown
GO Term: U2-Type Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Unknown
GO Term: Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Unknown
GO Term: Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U2-Type Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: Rna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Nuclear Rna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Nuclear Mrna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Nuclear Mrna Surveillance Of Mrna 3'-End Processing -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Unknown
GO Term: Cut Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Rrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Nuclear Polyadenylation-Dependent Snorna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Unknown
GO Term: Nuclear Polyadenylation-Dependent Snrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Tramp-Dependent Trna Surveillance Pathway -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Nuclear Polyadenylation-Dependent Cut Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Autophagy, Proteostasis
GO Term: Nuclear Polyadenylation-Dependent Antisense Transcript Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Autophagy
GO Term: Nuclear Polyadenylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Histone Mrna Catabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Histone Mrna Catabolic Process -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Poly(A)-Dependent Snorna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Unknown
GO Term: Alphav-Beta3 Integrin-Vitronectin Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Alpha9-Beta1 Integrin-Vascular Cell Adhesion Molecule-1 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Myelination, Synapse, Cell Cycle
GO Term: Eukaryotic Initiation Factor Eif2 Binding -> Biodomain: Proteostasis, Oxidative Stress, Cell Cycle, Autophagy, Apoptosis
GO Term: Dna Conformation Change -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Response To Interleukin-9 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Interleukin-11 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Response To Parathyroid Hormone -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle, Vasculature, Epigenetic
GO Term: Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Superior Temporal Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Alpha9-Beta1 Integrin-Adam8 Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Resolution Of Dna Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Resolution Of Mitotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Smad Protein Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Homomeric Smad Protein Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Unknown
GO Term: Heteromeric Smad Protein Complex -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, DNA Repair
GO Term: Nf-Kappab Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cmg Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Replication Preinitiation Complex Assembly -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Unknown
GO Term: Rna Cap Trimethylguanosine Synthase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Unknown
GO Term: Ribonucleoprotein Complex Localization -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Establishment Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Kv4.2-Kchip2 Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: Kv4.3-Kchip1 Channel Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Unknown
GO Term: Wash Complex -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Immune Response
GO Term: Histone Pre-Mrna 3'End Processing Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Establishment Of Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Histone Pre-Mrna Stem-Loop Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Histone Pre-Mrna Dcp Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Structural Stabilization
GO Term: U7 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Unknown
GO Term: Protein Targeting To Vacuole Involved In Autophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cellular Response To External Biotic Stimulus -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Misfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Bacterial Lipopeptide -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Cellular Response To Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Cellular Response To Lipoteichoic Acid -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Cellular Response To Peptidoglycan -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Muramyl Dipeptide -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Cellular Response To Amino Acid Stimulus -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To Folic Acid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To L-Leucine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Cellular Response To Antibiotic -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Cellular Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Ammonium Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Connexin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Cytoplasmic U Snrnp Body -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Cellular Response To Electrical Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Vasculature, Unknown
GO Term: Cellular Response To Magnetism -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Cellular Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Autophagy, Endolysosome, Proteostasis
GO Term: Ssh1 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Translational Initiation In Response To Starvation -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: 'De Novo' L-Methionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: L-Methionine Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cellular Response To Aluminum Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Response To Cadmium Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Endolysosome
GO Term: Cellular Response To Calcium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Cellular Response To Cobalt Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Response To Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cellular Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Cellular Response To Lead Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Structural Stabilization
