Running with TEMP=0.1, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Dermatan 4-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Amyloid-Beta Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Ovulation From Ovarian Follicle -> Biodomain: Apoptosis, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Ovarian Follicle Rupture -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization, Cell Cycle
GO Term: Initiation Of Primordial Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Vasculature, Autophagy
GO Term: Primary Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Preantral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Immune Response, Epigenetic
GO Term: Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Cumulus Cell Differentiation -> Biodomain: Reproduction, Developmental Process, Hormone Signaling, Extracellular Matrix Organization, Cell Adhesion
GO Term: Ovarian Cumulus Expansion -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Ovarian Follicle Atresia -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cell Cycle, Endolysosome
GO Term: Luteinization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Cell Cycle, Oxidative Stress
GO Term: Luteolysis -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Oocyte Growth -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Oocyte Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Cell Growth -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Regulation Of Cell Growth By Extracellular Stimulus -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Fatty Acid Alpha-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Response To Protozoan -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Cholesterol 25-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Branching Involved In Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Cell Cycle
GO Term: Lactosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Ganglioside Metabolic Process -> Biodomain: Lipid Metabolism, Glycosylation, Endolysosome, Synapse, Myelination
GO Term: Ganglioside Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Globoside Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Endolysosome, Autophagy
GO Term: Microtubule Bundle Formation -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Synapse, Proteostasis
GO Term: Medium-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Myelination, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sour Taste -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Gi/O-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Gq/11-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gs -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gi/Go -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Trace-Amine Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Vasculature
GO Term: Angiotensin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Angiotensin Type I Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Apoptosis, Oxidative Stress
GO Term: Peptide Yy Receptor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Immune Response, Autophagy
GO Term: Pancreatic Polypeptide Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Vasculature
GO Term: Urotensin Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Adrenomedullin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Apoptosis
GO Term: Neuromedin U Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Apoptosis
GO Term: G Protein-Coupled Adenosine Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Autophagy
GO Term: Purinergic Nucleotide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Growth Hormone Secretagogue Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Virus Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: G Protein-Coupled Adp Receptor Activity -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Nociceptin Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Cysteinyl Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Leukotriene B4 Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Pituitary Adenylate Cyclase-Activating Polypeptide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Calcitonin Gene-Related Peptide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Adenylate Cyclase Inhibiting G Protein-Coupled Glutamate Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Tau Homeostasis, Structural Stabilization
GO Term: Group Ii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Group Iii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Proteinase-Activated Receptor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Oxidative Stress
GO Term: Osteoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Fibrillar Center -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Dense Fibrillar Component -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Granular Component -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Peptide Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Eye Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Urogenital System Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Metanephros Development -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Vasculature
GO Term: Ureteric Bud Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Temperature Homeostasis -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Fever Generation -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Conditioned Taste Aversion -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Autophagy
GO Term: Behavioral Fear Response -> Biodomain: Synapse, Vasculature, Epigenetic, Immune Response, Oxidative Stress
GO Term: G Protein-Coupled Receptor Binding -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Alpha-N-Acetylgalactosaminide Alpha-2,6-Sialyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Synapse, Endolysosome
GO Term: Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Ameboidal-Type Cell Migration -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Acrosomal Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Atpase Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Male Germ Cell Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Female Germ Cell Nucleus -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Apoptosis
GO Term: Acrosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Intracellular Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Epigenetic
GO Term: Trna 3'-Terminal Cca Addition -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Sialate O-Acetylesterase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Trna 5'-Leader Removal -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Pseudophosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy, Apoptosis
GO Term: Histamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Histamine Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Histamine Catabolic Process -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Gastric Acid Secretion -> Biodomain: Digestion, Acid-Base Homeostasis, Gastrointestinal System, Cellular Secretion, Physiological Response
GO Term: Gastrin-Induced Gastric Acid Secretion -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: In Utero Embryonic Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Gastrulation With Mouth Forming Second -> Biodomain: Developmental Process, Morphogenesis, Cell Differentiation, Embryonic Development, Tissue Development
GO Term: Formation Of Primary Germ Layer -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Ectoderm Formation -> Biodomain: Epigenetic, Cell Cycle, Synapse, Myelination, Structural Stabilization
GO Term: Endoderm Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Mesoderm Formation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, DNA Repair
GO Term: Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, DNA Repair, Structural Stabilization
GO Term: Cell Fate Determination -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Autophagy
GO Term: Mesodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Endodermal Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Vasculature, Structural Stabilization
GO Term: Ectodermal Cell Fate Commitment -> Biodomain: Developmental Biology, Stem Cell Differentiation, Epigenetic Regulation, Neural Development, Cell Signaling
GO Term: Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, DNA Repair
GO Term: L-Amino-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Conversion Of Seryl-Trnasec To Selenocys-Trnasec -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Stress Fiber -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Adhesion and Migration, Mechanobiology, Cellular Stress Response
GO Term: Ruffle -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Ceramide Kinase Activity -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Oxidative Stress, Autophagy
GO Term: 2'-5'-Oligoadenylate Synthetase Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Formation Of Cytoplasmic Translation Initiation Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Galactosylceramide Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Mrna M(6)A Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Prenylcysteine Oxidase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Epigenetic
GO Term: Morphogenesis Of A Polarized Epithelium -> Biodomain: Structural Stabilization, Cell Adhesion, Cytoskeleton Organization, Cell Polarity, Developmental Processes
GO Term: Sex Chromatin -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Apoptosis
GO Term: Barr Body -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Autophagy
GO Term: Xy Body -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Photoreceptor Outer Segment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Eye Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Neural Crest Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Somitogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Epigenetic
GO Term: Somite Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Retinal Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Organ Induction -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Autophagy
GO Term: Aminocarboxymuconate-Semialdehyde Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Beta-Alanine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Beta-Alanine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Morphogenesis Of A Branching Structure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Myelination, Endolysosome
GO Term: Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Vasculature
GO Term: Membrane Raft Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Membrane Raft Polarization -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Establishment Of T Cell Polarity -> Biodomain: Immune Response, Synapse, Structural Stabilization, Vasculature, Proteostasis
GO Term: Establishment Of Natural Killer Cell Polarity -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Immunological Synapse -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Synapse, Autophagy
GO Term: Cell Activation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Leukocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: T Cell Homeostatic Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Neutrophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: B Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Phosphotyrosine Residue Binding -> Biodomain: Proteostasis, Epigenetic, Synapse, Immune Response, Apoptosis
GO Term: Prostaglandin J Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: Phosphatidylserine Binding -> Biodomain: Lipid Metabolism, Apoptosis, Immune Response, Endolysosome, Autophagy
GO Term: Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Polymeric Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Igm Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Polymeric Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Vasculature
GO Term: Positive Regulation Of Type Iia Hypersensitivity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Type Iii Hypersensitivity -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Type Iv Hypersensitivity -> Biodomain: Immune Response, Inflammation, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Regulation, Inflammation, Cell Signaling, Immunomodulation
GO Term: Positive Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Vasculature
GO Term: Histamine Secretion -> Biodomain: Immune Response, Vasculature, Endolysosome, Synapse, Oxidative Stress
GO Term: Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Mesonephros Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Blastocyst Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Blastocyst Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Inner Cell Mass Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Inner Cell Mass Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Inner Cell Mass Cellular Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Trophectodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, RNA Spliceosome, Lipid Metabolism
GO Term: Trophectodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Trophectodermal Cellular Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Blastocyst Growth -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Inner Cell Mass Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Trophectodermal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Structural Stabilization
GO Term: Blastocyst Hatching -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Epithelial To Mesenchymal Transition -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Immune Response
GO Term: Embryonic Epithelial Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Neural Plate Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Neural Plate Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, RNA Spliceosome
GO Term: Neural Tube Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, DNA Repair
GO Term: Neural Fold Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Phagolysosome Assembly -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Opsonin Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Opsonin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Complement Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Complement Component C1Q Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Complement Component C3A Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Complement Component C3B Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Complement Component C4B Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Complement Component C4B Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Nk T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Nk T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: (1->3)-Beta-D-Glucan Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
