Running with TEMP=0.9, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Response To Acrylamide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Torc2 Signaling -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Torc2 Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Respiratory Gaseous Exchange -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Synapse, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Nitric-Oxide Synthase Complex -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Arachidonate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Arachidonate Transport -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Monounsaturated Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Monounsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Glial Cell Migration -> Biodomain: Structural Stabilization, Myelination, Immune Response, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Glial Cell Migration -> Biodomain: Structural Stabilization, Myelination, Synapse, Immune Response, Endolysosome
GO Term: Positive Regulation Of Glial Cell Migration -> Biodomain: Immune Response, Myelination, Structural Stabilization, Synapse, Tau Homeostasis
GO Term: Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Synapse, Endolysosome, Autophagy
GO Term: Negative Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Endolysosome, Autophagy, Tau Homeostasis, Oxidative Stress
GO Term: Positive Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Synapse
GO Term: Enterobactin Binding -> Biodomain: Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Intestinal D-Glucose Absorption -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Iron Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Vasculature, Immune Response, Oxidative Stress, Endolysosome
GO Term: Regulation Of Eating Behavior -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Autophagy, Immune Response
GO Term: Negative Regulation Of Eating Behavior -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Eating Behavior -> Biodomain: Synapse, Lipid Metabolism, Autophagy, Endolysosome, Epigenetic
GO Term: Regulation Of Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Immune Response, Endolysosome
GO Term: Negative Regulation Of Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Epigenetic, Immune Response
GO Term: Response To Aroclor 1254 -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Cellular Response To Serotonin -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Response To Thyroglobulin Triiodothyronine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Thyroglobulin Triiodothyronine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Vasculature Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of G Protein-Coupled Receptor Internalization -> Biodomain: Proteostasis, Synapse, Endolysosome, Vasculature, Immune Response
GO Term: Positive Regulation Of G Protein-Coupled Receptor Internalization -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Negative Regulation Of Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Positive Regulation Of Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix Organization, Cell Adhesion, Proteostasis
GO Term: Negative Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Apoptosis
GO Term: Positive Regulation Of T-Snare Clustering -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Endolysosome, Cell Cycle
GO Term: Negative Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Iron Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Iron Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Response To Aldosterone -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Cellular Response To Aldosterone -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Apoptosis
GO Term: S-Adenosyl-L-Methionine Binding -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, DNA Repair
GO Term: Negative Regulation Of Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Immune Response
GO Term: Negative Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Immune Response, Vasculature
GO Term: Negative Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Locomotor Rhythm -> Biodomain: Synapse, Epigenetic, Myelination, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Regulation Of Monoatomic Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Immune Response, Vasculature
GO Term: Negative Regulation Of Cation Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: Presynaptic Active Zone Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Trophectodermal Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Pyrimidine Nucleobase Transmembrane Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Peptidase Inhibitor Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Autophagic Cell Death -> Biodomain: Autophagy, Apoptosis, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Autophagic Cell Death -> Biodomain: Autophagy, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Acadesine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Convergent Extension Involved In Gastrulation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Protein Localization To Microvillus -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Protein Localization To Ciliary Inversin Compartment -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Axon Cytoplasm -> Biodomain: Structural Stabilization, Tau Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cellular Response To Vasopressin -> Biodomain: Vasculature, Synapse, Epigenetic, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Otic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Phosphatidylethanolamine Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Synapse, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Apoptosis, Synapse, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Cellular Response To Nonylphenol -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Microglial Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Microglial Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Dn2 Thymocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Dn3 Thymocyte Differentiation -> Biodomain: Immune Response, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: Dn4 Thymocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Axonemal Central Apparatus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Dna Synthesis Involved In Uv-Damage Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Bleb Assembly -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Adipose Tissue Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Immune Response, Apoptosis
GO Term: Positive Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Membrane Depolarization -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Granulosa Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair, Autophagy
GO Term: Positive Regulation Of Regulation Of Vascular Associated Smooth Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Iodide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Hypertrophy -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Skeletal Muscle Hypertrophy -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Membrane Protein Proteolysis Involved In Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Substrate-Dependent Cell Migration, Cell Attachment To Substrate -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Pericyte Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Vcp-Npl4-Ufd1 Aaa Atpase Complex Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Polynucleotide Adenylyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Polynucleotide Adenylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, DNA Repair
GO Term: Regulation Of Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Zinc Ion Import Into Golgi Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Basement Membrane Assembly Involved In Embryonic Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Torc1 Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Torc1 Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Pyroptosome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: L-Proline Import Across Plasma Membrane -> Biodomain: Amino Acid Metabolism, Membrane Transport, Nutrient Metabolism, Stress Response, Cellular Homeostasis
GO Term: L-Alanine Import Across Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy, Immune Response
GO Term: Tricellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Bat3 Complex Binding -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Mitotic Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Mitotic Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Regulation Of Erad Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Erad Pathway -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Transcytosis -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Positive Regulation Of Transcytosis -> Biodomain: Vasculature, Endolysosome, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Gastro-Intestinal System Smooth Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Proteostasis, Vasculature
GO Term: Response To Desipramine -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Methamphetamine Hydrochloride -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Response To Forskolin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Forskolin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Localization To Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Regulation Of Myofibroblast Contraction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Myofibroblast Contraction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Colon Smooth Muscle Contraction -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Gastric Mucosal Blood Circulation -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Small Intestine Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Protein Catabolic Process In The Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Actin Cortical Patch -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Response To Kainic Acid -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Protein Localization To Cell Periphery -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Cell Periphery -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Endoplasmic Reticulum Mannose Trimming -> Biodomain: Proteostasis, Glycobiology, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Apparatus Mannose Trimming -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mannose Trimming Involved In Glycoprotein Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Response To Sodium Phosphate -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Immune Response, Cell Cycle
GO Term: Response To L-Phenylalanine Derivative -> Biodomain: Synapse, Vasculature, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Rod Bipolar Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Cone Retinal Bipolar Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Muscle System, Cell Adhesion
GO Term: Positive Regulation Of Neuromuscular Junction Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Heparan Sulfate Binding -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Response To Thyroid Stimulating Hormone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Thyroid Stimulating Hormone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Response To Formaldehyde -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Melatonin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Secretory Granule Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Cardiac Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Xenophagy -> Biodomain: Autophagy, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Xenophagy -> Biodomain: Autophagy, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Response To D-Galactosamine -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Lipid Metabolism, Autophagy
GO Term: Dehydrodolichyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Gtp Binding -> Biodomain: Cell Cycle, Endolysosome, Autophagy, Synapse, Proteostasis
GO Term: Positive Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Tubulin Deacetylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis, Synapse
GO Term: Negative Regulation Of T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
