Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Chromosome -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Telomerase Holoenzyme Complex -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, RNA Spliceosome, Structural Stabilization
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Chiasma -> Biodomain: DNA Repair, Cell Cycle, Chromatin Organization, Structural Stabilization, Epigenetic
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Late Recombination Nodule -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nucleolus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Nucleolus Organizer Region -> Biodomain: Epigenetic
Cell Cycle
Structural Stabilization
RNA Spliceosome
DNA Repair
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Rna Polymerase I Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Cytoplasm -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Late Endosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Autophagosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peroxisome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Peroxisomal Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy, Proteostasis
GO Term: Peroxisomal Matrix -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, RNA Spliceosome, Lipid Metabolism
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Apparatus -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi Stack -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Golgi Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi Medial Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, APP Metabolism
GO Term: Golgi-Associated Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Cis-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Trans-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Autophagy, Proteostasis
GO Term: Aster -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Actomyosin Contractile Ring -> Biodomain: Cell Cycle  
Actin Cytoskeleton  
Cytoskeleton  
Structural Stabilization  
Proteostasis
GO Term: Polar Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cytosol -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Hemoglobin Complex -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Proteostasis, Synapse, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Ribosome -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, RNA Spliceosome
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Cell Cycle
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Eukaryotic Translation Elongation Factor 1 Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Nascent Polypeptide-Associated Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Synapse, Proteostasis
GO Term: Axonemal Dynein Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Metal Binding and Homeostasis
GO Term: Muscle Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: Troponin Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Synapse, Endolysosome
GO Term: Muscle Thin Filament Tropomyosin -> Biodomain: Structural Stabilization, Contractile Fiber, Proteostasis, Vasculature, Oxidative Stress
GO Term: Striated Muscle Myosin Thick Filament -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Striated Muscle Thin Filament -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cytoplasmic Dynein Complex -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Dynactin Complex -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Kinesin Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Plus-End Kinesin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Synapse, Proteostasis
GO Term: Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: Microtubule Associated Complex -> Biodomain: Structural Stabilization, Cytoskeleton, Proteostasis, Synapse, Endolysosome
GO Term: Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Axonemal Microtubule -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Cytoplasmic Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Intermediate Filament -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Myelination, Autophagy
GO Term: Neurofilament -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Actin Filament -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Proteostasis
GO Term: Arp2/3 Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton, Cell Motility, Cellular Processes
GO Term: Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Vasculature, Immune Response
GO Term: Potassium:Proton Exchanging Atpase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Sodium:Potassium-Exchanging Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Structural Stabilization, Proteostasis
GO Term: Voltage-Gated Calcium Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Oxidative Stress
GO Term: Acetylcholine-Gated Channel Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Interleukin-2 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Interleukin-5 Receptor Complex -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Vasculature, Apoptosis
GO Term: Interleukin-6 Receptor Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Apoptosis
GO Term: Interleukin-13 Receptor Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Insulin Receptor Complex -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Epigenetic, Immune Response
GO Term: Oncostatin-M Receptor Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Vasculature
GO Term: Caveola -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Oxidative Stress, Vasculature
GO Term: Microvillus -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Brush Border -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Clathrin-Coated Pit -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Structural Stabilization
GO Term: Cell-Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Adherens Junction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Synapse
GO Term: Spot Adherens Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell-Cycle, Autophagy
GO Term: Zonula Adherens -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Cell Cycle
GO Term: Fascia Adherens -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Synapse
GO Term: Gap Junction -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Vasculature
GO Term: Connexin Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Endolysosome
GO Term: Bicellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Focal Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Muscle Tendon Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Cilium -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Myelination, Immune Response
GO Term: Axoneme -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Cell Cortex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Septin Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphatidylinositol 3-Kinase Complex -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ia -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ib -> Biodomain: Lipid Metabolism, Cell Signaling, Membrane Biology, Intracellular Signaling, Protein Modification
GO Term: 6-Phosphofructokinase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metabolic Processes, Cellular Metabolism, Energy Metabolism
GO Term: Acetolactate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Camp-Dependent Protein Kinase Complex -> Biodomain: Proteostasis, Synapse, Epigenetic, Cell Cycle, Apoptosis
GO Term: Caax-Protein Geranylgeranyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Calcium- And Calmodulin-Dependent Protein Kinase Complex -> Biodomain: Signal Transduction, Synapse, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Calcineurin Complex -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Protein Kinase Ck2 Complex -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Dna-Dependent Protein Kinase-Dna Ligase 4 Complex -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Glycine Cleavage Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Phosphorylase Kinase Complex -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Protein Farnesyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Rab-Protein Geranylgeranyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Ribonucleoside-Diphosphate Reductase Complex -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Carbohydrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Polysaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Glycogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Energy Metabolism, Metabolic Process, Lipid Metabolism
GO Term: Glycogen Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Glycogen Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Starch Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Disaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sucrose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Primary Metabolic Process
GO Term: Sucrose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Lactose Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Structural Stabilization
GO Term: Lactose Catabolic Process -> Biodomain: Carbohydrate Metabolism, Energy Metabolism, Metabolism, Catabolic Process, Primary Metabolic Process
GO Term: Trehalose Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Trehalose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Monosaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Xylulose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Xylulose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Fructose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fructose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Small Molecule Metabolic Process, Lipid Metabolism, Catabolic Process
GO Term: Fructose 6-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Fructose 2,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Fucose Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Mitochondrial Metabolism
GO Term: Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Small Molecule Metabolism, Primary Metabolic Process, Metabolic Process
GO Term: Glucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Udp-Alpha-D-Glucose Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Galactose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mannose Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: D-Ribose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: 5-Phosphoribose 1-Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome
GO Term: Inositol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Inositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Glycosaminoglycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Glycosaminoglycan Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Structural Stabilization
GO Term: Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, Vasculature
GO Term: Chitin Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Immune Response, Proteostasis
GO Term: Chitin Catabolic Process -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Amino Sugar Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Glucosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Glucosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
