Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Radial Spoke Head -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Radial Spoke Stalk -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Dermatan 4-Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Amyloid-Beta Binding -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Tau Homeostasis
GO Term: Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Ovulation From Ovarian Follicle -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Autophagy
GO Term: Ovarian Follicle Rupture -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Initiation Of Primordial Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy, Proteostasis
GO Term: Primary Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Preantral Ovarian Follicle Growth -> Biodomain: Developmental Biology, Reproductive System, Cellular Growth and Proliferation, Cell Differentiation, Regulation of Cellular Processes
GO Term: Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Cumulus Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Ovarian Cumulus Expansion -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Ovarian Follicle Atresia -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Luteinization -> Biodomain: Cell Cycle, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Luteolysis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Endolysosome, Vasculature
GO Term: Oocyte Growth -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Oocyte Maturation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Cell Growth By Extracellular Stimulus -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Fatty Acid Alpha-Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Response To Protozoan -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Cholesterol 25-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Branching Involved In Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Lactosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Autophagy, Myelination
GO Term: Ganglioside Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Ganglioside Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Myelination, Structural Stabilization, Endolysosome
GO Term: Globoside Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Myelination, Synapse, Endolysosome
GO Term: Microtubule Bundle Formation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Synapse
GO Term: Medium-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sour Taste -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Gi/O-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Gq/11-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gs -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gi/Go -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Trace-Amine Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Angiotensin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Angiotensin Type I Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis
GO Term: Peptide Yy Receptor Activity -> Biodomain: Lipid Metabolism, Synapse, Autophagy, Oxidative Stress, Proteostasis
GO Term: Pancreatic Polypeptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Urotensin Ii Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Lipid Metabolism, Synapse
GO Term: Adrenomedullin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Neuromedin U Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: G Protein-Coupled Adenosine Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Purinergic Nucleotide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Growth Hormone Secretagogue Receptor Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Epigenetic, Proteostasis
GO Term: Virus Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: G Protein-Coupled Adp Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Nociceptin Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Cysteinyl Leukotriene Receptor Activity -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Leukotriene B4 Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Vasculature, Oxidative Stress
GO Term: Pituitary Adenylate Cyclase-Activating Polypeptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Calcitonin Gene-Related Peptide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Adenylate Cyclase Inhibiting G Protein-Coupled Glutamate Receptor Activity -> Biodomain: Synapse, Signal Transduction, Neurotransmission, Regulation of cAMP Signaling, G-Protein Coupled Receptor Activity
GO Term: Group Ii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Group Iii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Proteinase-Activated Receptor Activity -> Biodomain: Proteostasis, Vasculature, Immune Response, Synapse, Structural Stabilization
GO Term: Osteoblast Differentiation -> Biodomain: Structural Stabilization, Mineralization, Mesenchymal Stem Cells, Skeletal System, Morphogenesis
GO Term: Fibrillar Center -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Dense Fibrillar Component -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Granular Component -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Peptide Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Endolysosome
GO Term: Eye Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Urogenital System Development -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Metanephros Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Ureteric Bud Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Developmental, Morphogenesis, Urinary System, Cell Adhesion, Signaling
GO Term: Temperature Homeostasis -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Fever Generation -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Conditioned Taste Aversion -> Biodomain: Synapse, Epigenetic, Proteostasis, Oxidative Stress, Immune Response
GO Term: Behavioral Fear Response -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: G Protein-Coupled Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Alpha-N-Acetylgalactosaminide Alpha-2,6-Sialyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response, Endolysosome
GO Term: Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Ameboidal-Type Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Acrosomal Vesicle -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Atpase Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Male Germ Cell Nucleus -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Female Germ Cell Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Acrosome Assembly -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Long-Chain Fatty Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Intracellular Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Trna 3'-Terminal Cca Addition -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Sialate O-Acetylesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Trna 5'-Leader Removal -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Pseudophosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Epigenetic
GO Term: Histamine Metabolic Process -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Endolysosome
GO Term: Histamine Biosynthetic Process -> Biodomain: Immune Response, Synapse, Vasculature, Oxidative Stress, Lipid Metabolism
GO Term: Histamine Catabolic Process -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Gastric Acid Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Gastrin-Induced Gastric Acid Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: In Utero Embryonic Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Gastrulation With Mouth Forming Second -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Lipid Metabolism
GO Term: Formation Of Primary Germ Layer -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Ectoderm Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Endoderm Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Mesoderm Formation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Immune Response, Structural Stabilization
GO Term: Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Cell Fate Determination -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Mesodermal Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Endodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Ectodermal Cell Fate Commitment -> Biodomain: Epigenetic, Synapse, Myelination, Tau Homeostasis, Cell Cycle
GO Term: Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: L-Amino-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Conversion Of Seryl-Trnasec To Selenocys-Trnasec -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism
GO Term: Stress Fiber -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Ruffle -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Autophagy, Endolysosome
GO Term: Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ceramide Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 2'-5'-Oligoadenylate Synthetase Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Formation Of Cytoplasmic Translation Initiation Complex -> Biodomain: Translation, Protein Synthesis, Macromolecular Complex Assembly, Regulation of Translation, Ribosome Biogenesis
GO Term: Galactosylceramide Sulfotransferase Activity -> Biodomain: Myelination, Lipid Metabolism, Glycosphingolipid Metabolism, Sulfation and Sulfotransferases, Structural Stabilization
GO Term: Mrna M(6)A Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Autophagy
GO Term: Prenylcysteine Oxidase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Morphogenesis Of A Polarized Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Sex Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Barr Body -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Xy Body -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Autophagy
GO Term: Photoreceptor Outer Segment -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Eye Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Neural Crest Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Somite Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Retinal Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Epigenetic, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Organ Induction -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Apoptosis, Structural Stabilization
GO Term: Aminocarboxymuconate-Semialdehyde Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Beta-Alanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metabolism, Amino Acid Metabolism, Transport, Membrane Transport
GO Term: Beta-Alanine Transport -> Biodomain: Amino Acid Transport and Metabolism, Metabolism, Muscle System, Cellular Processes, Molecular Transport
GO Term: Morphogenesis Of A Branching Structure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Cell Cycle
GO Term: Membrane Raft Assembly -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Membrane Raft Polarization -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Synapse
GO Term: Establishment Of T Cell Polarity -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Establishment Of Natural Killer Cell Polarity -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Immunological Synapse -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Structural Stabilization, Synapse
GO Term: Leukocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: T Cell Homeostatic Proliferation -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Natural Killer Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Neutrophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: B Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Phosphotyrosine Residue Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Prostaglandin J Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Vasculature, Oxidative Stress
GO Term: Phosphatidylserine Binding -> Biodomain: Lipid Metabolism, Apoptosis, Immune Response, Autophagy, Endolysosome
GO Term: Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Polymeric Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Igm Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Polymeric Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Type Iia Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Type Iii Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Vasculature
GO Term: Type Iv Hypersensitivity -> Biodomain: Immune Response, Inflammation, T Cell Activation, Cytokine Signaling, Autoimmunity
GO Term: Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Inflammation, Cell Death, Cell Communication, Vasculature
GO Term: Negative Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Negative Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Autophagy
GO Term: Negative Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Serotonin Secretion -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Histamine Secretion -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis
GO Term: Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Mesonephros Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Blastocyst Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, RNA Spliceosome
GO Term: Blastocyst Formation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Inner Cell Mass Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Lipid Metabolism, Vasculature
GO Term: Inner Cell Mass Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Inner Cell Mass Cellular Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Trophectodermal Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Apoptosis, Epigenetic
GO Term: Trophectodermal Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, DNA Repair
GO Term: Trophectodermal Cellular Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Blastocyst Growth -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Inner Cell Mass Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis, DNA Repair
GO Term: Trophectodermal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Blastocyst Hatching -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Epithelial To Mesenchymal Transition -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Embryonic Epithelial Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Neural Plate Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Neural Plate Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Neural Tube Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Neural Fold Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Phagolysosome Assembly -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Opsonin Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Opsonin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Complement Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Complement Component C1Q Complex Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Complement Component C3A Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Complement Component C3B Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Complement Component C4B Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Complement Component C4B Receptor Activity -> Biodomain: Immune Response, Signaling, Receptor, Innate Immunity, Cell Surface
GO Term: Nk T Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Cell Cycle, Synapse
GO Term: Nk T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Synapse
GO Term: Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
