Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Fat Pad Development -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Mammary Gland Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Vesicle-Mediated Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, APP Metabolism
GO Term: Regulation Of Er To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Microtubule-Based Movement -> Biodomain: Cell Cycle, Synapse, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Negative Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Autophagy, Proteostasis, Apoptosis
GO Term: Mesenchymal-Epithelial Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Mammary Gland Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Mammary Gland Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Nipple Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Submandibular Salivary Gland Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Immune Response
GO Term: Salivary Gland Cavitation -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Vasculature
GO Term: Epithelial Cell Proliferation Involved In Salivary Gland Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Autophagy
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Mesenchymal-Epithelial Signaling -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Vasculature
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Salivary Gland Branching -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Apoptosis, Cell Cycle
GO Term: Branch Elongation Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Synapse
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Extracellular Matrix-Epithelial Cell Signaling -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Embryonic Placenta Morphogenesis -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Branching Involved In Labyrinthine Layer Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Epithelial Cell Morphogenesis Involved In Placental Branching -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Placenta Blood Vessel Development -> Biodomain: Vasculature, Lipid Metabolism, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Endolysosome
GO Term: Ureteric Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Endolysosome
GO Term: Ureteric Bud Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Primary Ureteric Bud Growth -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Autophagy, Lipid Metabolism
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Epithelial-Mesenchymal Signaling -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Epigenetic
GO Term: Epithelial-Mesenchymal Cell Signaling -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Autophagy
GO Term: Regulation Of Prostatic Bud Formation -> Biodomain: Organ Morphogenesis, Epithelial Morphogenesis, Reproductive System Development, Developmental Biology, Cell Differentiation
GO Term: Negative Regulation Of Prostatic Bud Formation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Apoptosis, Cell Cycle, Endolysosome
GO Term: Regulation Of Morphogenesis Of A Branching Structure -> Biodomain: Vasculature, Synapse, Myelination, Structural Stabilization, Autophagy
GO Term: Cell Differentiation Involved In Salivary Gland Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Vasculature
GO Term: Epithelial Cell Maturation Involved In Salivary Gland Development -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Endoribonuclease Inhibitor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Immune Response, Endolysosome
GO Term: Regulation Of Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Ribonuclease Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Deoxyribonuclease Inhibitor Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Trophoblast Giant Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Chorio-Allantoic Fusion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Labyrinthine Layer Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Spongiotrophoblast Layer Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Labyrinthine Layer Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Syncytiotrophoblast Cell Differentiation Involved In Labyrinthine Layer Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Autophagy
GO Term: Labyrinthine Layer Blood Vessel Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Chorion Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Immune Response, Proteostasis
GO Term: Chorionic Trophoblast Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Immune Response, Epigenetic
GO Term: Chorionic Trophoblast Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Oxidative Stress
GO Term: Regulation Of Eif2 Alpha Phosphorylation By Dsrna -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Prostate Gland Growth -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Epithelial-Mesenchymal Signaling Involved In Prostate Gland Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Prostate Gland Epithelium Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Proteostasis
GO Term: Prostate Gland Stromal Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Epithelial Cell Differentiation Involved In Prostate Gland Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Epithelial Cell Maturation Involved In Prostate Gland Development -> Biodomain: Vasculature, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Mammary Gland Branching Involved In Thelarche -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Mammary Gland Branching Involved In Pregnancy -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Parental Behavior -> Biodomain: Immune Response, Synapse, Autophagy, Proteostasis, Apoptosis
GO Term: Tertiary Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Mammary Gland Alveolus Development -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Endolysosome, Autophagy
GO Term: Epithelial Cell Proliferation Involved In Mammary Gland Duct Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Branch Elongation Involved In Mammary Gland Duct Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Mammary Duct Terminal End Bud Growth -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Cell-Cell Signaling Involved In Mammary Gland Development -> Biodomain: Immune Response, Structural Stabilization, Epigenetic, Cell Cycle, Vasculature
GO Term: Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Hormone Activity, Regulation, Transcriptional Regulation, Protein Modification, Cell Signaling
GO Term: Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Proteostasis, Vasculature, Immune Response, Structural Stabilization
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Mesenchymal Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Mesenchymal Smoothened Signaling Pathway Involved In Prostate Gland Development -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Regulation Of Cell Proliferation Involved In Tissue Homeostasis -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Apoptosis Involved In Tissue Homeostasis -> Biodomain: Apoptosis, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Hair Follicle Placode Formation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Sweat Gland Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Endolysosome
GO Term: Cell Fate Commitment Involved In Formation Of Primary Germ Layer -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Vasculature, Apoptosis
GO Term: Epiblast Cell-Extraembryonic Ectoderm Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Vasculature
GO Term: Negative Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Structural Stabilization
GO Term: Mesodermal To Mesenchymal Transition Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Random Inactivation Of X Chromosome -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Autophagy
GO Term: Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Vasculature, Synapse
GO Term: Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Epigenetic, Synapse
GO Term: Lymphatic Endothelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Lymphatic Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Artery Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Venous Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Arterial Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Venous Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Endothelial Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Epigenetic
GO Term: Notch Signaling Pathway Involved In Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Branching Involved In Lymph Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Synapse
GO Term: Establishment Of Glial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Semicircular Canal Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Anterior Semicircular Canal Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Apoptosis, Epigenetic
GO Term: Lateral Semicircular Canal Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Endolysosome
GO Term: Semicircular Canal Formation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Semicircular Canal Fusion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Limb Epidermis Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, DNA Repair
GO Term: Neural Plate Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Embryonic Camera-Type Eye Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Vasculature
GO Term: Positive Regulation Of Meiosis I -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Regulation Of Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Positive Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Cardiac Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Cardiac Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Heart Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Mesenchymal Cell Differentiation Involved In Lung Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Cardiac Pacemaker Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Sinoatrial Node Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Autophagy
GO Term: Atrioventricular Node Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Cardiac Muscle Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Atrioventricular Node Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Atrioventricular Node Cell Fate Commitment -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Sinoatrial Node Cell Fate Commitment -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Sinoatrial Node Cell Development -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism
GO Term: His-Purkinje System Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cardiac Fibroblast Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Epicardium-Derived Cardiac Fibroblast Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Epithelial To Mesenchymal Transition Involved In Cardiac Fibroblast Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Cardiac Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Vasculature, Lipid Metabolism
GO Term: Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Cardiac Vascular Smooth Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Endocardial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Phospholipase D Inhibitor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Negative Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Embryonic Heart Tube Left/Right Pattern Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Left/Right Pattern Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Cell Migration Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Cardioblast Migration To The Midline Involved In Heart Field Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Immune Response
GO Term: Coronary Vasculature Development -> Biodomain: Vasculature, Cardiovascular, Structural Stabilization, Developmental Processes, Cell Growth and Proliferation
GO Term: Coronary Vasculature Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Angiogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Vasculogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Cell Migration Involved In Coronary Vasculogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cell Migration Involved In Coronary Angiogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Coronary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Lipid Tube -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Lipid Tube Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Lipid Tube Assembly Involved In Organelle Fusion -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Response To Fungicide -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Kidney Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cell Differentiation Involved In Kidney Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Proteostasis
GO Term: Regulation Of Cell Proliferation Involved In Kidney Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Common Bile Duct Development -> Biodomain: Vasculature, Lipid Metabolism, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Gallbladder Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Mrna Catabolic Process -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress, Autophagy
GO Term: Snrna Import Into Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Hepatoblast Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Membrane Organization -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Membrane Fusion -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Cardiac Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Eyelid Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Epithelial Cell Differentiation Involved In Mammary Gland Alveolus Development -> Biodomain: Epigenetic, Lipid Metabolism, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Endodermal Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Visceral Serous Pericardium Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Secretion By Lung Epithelial Cell Involved In Lung Growth -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Cell Cycle
