Running with TEMP=0.5, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Xanthine Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Synapse
GO Term: Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, DNA Repair
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Apoptosis
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, DNA Repair
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Oxidative Stress
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, DNA Repair
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Autophagy, Proteostasis
GO Term: Cmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Menaquinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Autophagy
GO Term: Cobalamin Metabolic Process -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Synapse, Proteostasis
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Response To Temperature Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Starvation -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Ph -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Mrna Transcription -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, APP Metabolism
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, APP Metabolism
GO Term: Rrna Transcription -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Trna Transcription -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Protein Secretion -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Amine Metabolic Process -> Biodomain: Neurotransmitter, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Amine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, APP Metabolism
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Response To Radiation -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Translational Attenuation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, APP Metabolism, Endolysosome
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Toxin Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Toxin Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Toxin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Cold -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, APP Metabolism
GO Term: Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Autophagy, Vasculature
GO Term: Response To Water -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Vasculature, Immune Response
GO Term: Response To Light Stimulus -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, DNA Repair
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glyoxylate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis, Lipid Metabolism
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Glycolate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Endolysosome, Autophagy
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Putrescine Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Putrescine Biosynthetic Process -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Putrescine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Tau Homeostasis
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Rna Modification -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Immune Response, Oxidative Stress
GO Term: Fertilization -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Oxidative Stress, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Detection Of Visible Light -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Autophagy, Proteostasis
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Apoptosis, Immune Response
GO Term: Detection Of Gravity -> Biodomain: Vasculature, Structural Stabilization, Synapse, Oxidative Stress, Immune Response
GO Term: Detection Of Chemical Stimulus -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Metal Binding and Homeostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.5/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.5/runtime_log.csv
