Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Synapse
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Phosphatase Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Macrophage Tolerance Induction -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Nadph Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Transcription By Competitive Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Coenzyme A Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Intestinal Phytosterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Negative Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Intracellular Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Regulation Of Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Autophagy, Proteostasis
GO Term: Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Structural Stabilization
GO Term: Regulation Of Neuron Projection Development -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neuron Projection Development -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Vitamin D 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Negative Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Immune Response
GO Term: Ubiquitin Recycling -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Response To Auditory Stimulus -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Anaphase-Promoting Complex Binding -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Autophagy
GO Term: Regulation Of Translational Initiation By Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Autophagy
GO Term: Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Induction Of Programmed Cell Death -> Biodomain: Apoptosis, Programmed Cell Death, Autophagy, Proteostasis, Endolysosome
GO Term: Endomembrane System -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, APP Metabolism
GO Term: Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Er To Golgi Transport Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Cell Cycle
GO Term: Oligodendrocyte Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Microglia Differentiation -> Biodomain: Immune Response, Synapse, Myelination, Endolysosome, Tau Homeostasis
GO Term: Microglia Development -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Microglia Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Synapse, Oxidative Stress
GO Term: Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Immune Response, Epigenetic, DNA Repair
GO Term: Schwann Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Structural Stabilization, Synapse, Autophagy
GO Term: Peripheral Nervous System Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Gliogenesis -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Autophagy
GO Term: Negative Regulation Of Gliogenesis -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Apoptosis, Synapse
GO Term: Positive Regulation Of Gliogenesis -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Neuroblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Notochord Formation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Neural Crest Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Mesenchymal Cell Development -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Autophagy, Apoptosis
GO Term: Neural Crest Cell Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Synapse, Myelination
GO Term: Neural Crest Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Immune Response
GO Term: Neural Crest Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Myelination, Synapse, Structural Stabilization
GO Term: Neural Crest Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Proteostasis
GO Term: Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Proteostasis
GO Term: Regulation Of Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Negative Regulation Of Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Schwann Cell Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Establishment Of Endothelial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Dopamine Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Positive Regulation Of Glutamate Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Glutamate Secretion -> Biodomain: Synapse, Neuronal Signaling, Excitotoxicity, Cell Stress Response, Proteostasis
GO Term: Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Serotonin Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Serotonin Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Amine -> Biodomain: Synapse, Oxidative Stress, Endolysosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Junctional Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Intercalated Disc -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Vasculature
GO Term: C Zone -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Branchiomeric Skeletal Muscle Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Skeletal Muscle Satellite Cell Activation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Skeletal Muscle Contraction By Modulation Of Calcium Ion Sensitivity Of Myofibril -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of The Force Of Skeletal Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Spectrin-Associated Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Vasculature
GO Term: Skeletal Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Skeletal Muscle Hypertrophy -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Epigenetic
GO Term: Negative Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Muscle Hyperplasia -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Muscle Hyperplasia -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Muscle Hypertrophy -> Biodomain: Muscle System, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Longitudinal Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Terminal Cisterna -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Terminal Cisterna Lumen -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Smooth Muscle Adaptation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Smooth Muscle Hyperplasia -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Regulation Of Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Muscle Function, Ion Homeostasis, Signal Transduction, Vasculature, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Muscle Cell Migration -> Biodomain: Muscle System, Cell Adhesion, Developmental Processes, Vasculature, Structural Stabilization
GO Term: Skeletal Muscle Satellite Cell Commitment -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Regulation Of Skeletal Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Tonic Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Detection Of Wounding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Artery Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Vein Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Intestine Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Urinary Bladder Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Myoblast Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Regeneration, Skeletal Muscle System, Stem Cell Biology, Tissue Differentiation, Tissue Repair
GO Term: Myoblast Migration Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Autophagy, Cell Cycle, Immune Response, Proteostasis
GO Term: Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Growth Factor Dependent Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Esophagus Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Muscle Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Excitatory Postsynaptic Membrane Potential Involved In Skeletal Muscle Contraction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Response To Inactivity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Contraction Via Regulation Of Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Skeletal Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Response To Muscle Inactivity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Muscle Activity Involved In Regulation Of Muscle Adaptation -> Biodomain: Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Response To Injury Involved In Regulation Of Muscle Adaptation -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Electrical Stimulus Involved In Regulation Of Muscle Adaptation -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Transition Between Fast And Slow Fiber -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Transition Between Slow And Fast Fiber -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Synapse, Myelination
GO Term: Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Striated Muscle Atrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Denervation Involved In Regulation Of Muscle Adaptation -> Biodomain: Muscle System, Neurodegeneration, Synapse, Proteostasis, Structural Stabilization
GO Term: Smooth Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Muscle Hypertrophy -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Structural Stabilization, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Myotube Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism
GO Term: Myotube Cell Development Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Heparan Sulfate N-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Heparan-Alpha-Glucosaminide N-Acetyltransferase Activity -> Biodomain: Glycosaminoglycan Metabolism, Endolysosome, Acetyltransferase Activity, Structural Stabilization, Immune Response
GO Term: Glucuronosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic, Mitochondrial Metabolism
GO Term: Glucuronate-2-Sulfatase Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Coreceptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Cajal Body -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Protein-Disulfide Reductase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutathione Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Beta3-Adrenergic Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gastrin Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
