Running with TEMP=0.9, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Chloride Channel Regulator Activity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: 4-Galactosyl-N-Acetylglucosaminide 3-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Endolysosome, Synapse
GO Term: Response To Insecticide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Mitochondrial Processing Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Glycolipid Transfer Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Meprin A Complex -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Synapse, Immune Response
GO Term: Heparan Sulfate 6-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Myelination, APP Metabolism
GO Term: Acetylserotonin O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Epigenetic
GO Term: Sulfonylurea Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Very-Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aminoacyl-Trna Synthetase Multienzyme Complex -> Biodomain: Protein Synthesis, Complex Assembly, Enzyme Mechanisms, Protein Modification, Cellular Processes
GO Term: 5'-Flap Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Glutamate-Cysteine Ligase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nucleoside Diphosphate Phosphatase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, DNA Repair, Autophagy, Epigenetic
GO Term: Ribonucleoside Triphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Dihydropyrimidine Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Single-Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Lipoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Golgi Transport Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Plasma Membrane Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Protein N-Acetylglucosaminyltransferase Complex -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Sh3 Domain Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Deoxycytidyl Transferase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleologenesis -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Phospholipid Scramblase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Apoptosis, Proteostasis
GO Term: Triglyceride Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Poly(C) Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Binding -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Histone Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Insecticide Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Stem Cell Division -> Biodomain: Cell Cycle, Stem Cell, Autophagy, Epigenetic, DNA Repair
GO Term: Nmda Selective Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Wnt-Protein Binding -> Biodomain: Proteostasis, Synapse, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Translation -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, Cell Cycle
GO Term: Trna Dihydrouridine Synthase Activity -> Biodomain: RNA Spliceosome, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Dead/H-Box Rna Helicase Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Sodium:Dicarboxylate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Semaphorin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Calcium-Ion Regulated Exocytosis -> Biodomain: Synapse, Immune Response, Metal Binding and Homeostasis, Vasculature, Endolysosome
GO Term: Regulation Of Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Pantetheine Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Inositol-1,3,4-Trisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Metabolism, Cell Signaling, Endolysosome
GO Term: Aryl Hydrocarbon Receptor Binding -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Vinculin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Immune Response
GO Term: 5-Oxoprolinase (Atp-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Serine Hydrolase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Cysteine Dioxygenase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Glycine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Myelination
GO Term: Glucosidase Ii Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Diphthine-Ammonia Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Protein Histidyl Modification To Diphthamide -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine Hydroxylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Peptidyl-Pyroglutamic Acid Biosynthetic Process, Using Glutaminyl-Peptide Cyclotransferase -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis, Endolysosome
GO Term: Peptidyl-Glutamic Acid Carboxylation -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Vasculature, Metal Binding and Homeostasis
GO Term: L-Aspartate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Myelination, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: N-Terminal Peptidyl-Aspartic Acid Acetylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Epigenetic
GO Term: N-Terminal Peptidyl-Glutamine Acetylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: N-Terminal Peptidyl-Methionine Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: N-Terminal Peptidyl-Glutamic Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine N6-Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: N-Terminal Peptidyl-Glycine N-Myristoylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Cell Cycle
GO Term: N-Terminal Peptidyl-L-Cysteine N-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Epigenetic
GO Term: N-Terminal Peptidyl-Glycine Methylation -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Structural Stabilization, Autophagy
GO Term: N-Terminal Peptidyl-Proline Dimethylation -> Biodomain: Proteostasis, Epigenetic, Methylation, Protein Modifications, Protein Processing
GO Term: Peptidyl-Histidine Methylation -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Peptidyl-Lysine Methylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Peptidyl-Lysine Trimethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Calmodulin-Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Peptidyl-Lysine Monomethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Peptidyl-Lysine Dimethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Peptidyl-Lysine N6-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Peptidyl-Lysine Oxidation -> Biodomain: Oxidative Stress, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Cytochrome C-Heme Linkage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Protein-L-Histidine N-Tele-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: N-Terminal Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Protein Polyglycylation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Protein Polyglutamylation -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Peptidyl-Serine Phosphorylation -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Epigenetic, Proteostasis
GO Term: Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Peptidyl-Tyrosine Phosphorylation -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Proline Racemase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Threonine Racemase Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Enzyme Activities, Metal Binding and Homeostasis
GO Term: Protein Adenylylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Peptidyl-Cysteine S-Nitrosylation -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Peptidyl-Cysteine Methylation -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Protein Hydroxylation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Keratan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse, Endolysosome
GO Term: Peptide Cross-Linking -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Metal Binding and Homeostasis, APP Metabolism
GO Term: Isopeptide Cross-Linking Via N6-(L-Isoglutamyl)-L-Lysine -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Protein Oxidation -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Peptidyl-Serine Octanoylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Peptidyl-Glutamic Acid Modification -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Peptidyl-Methionine Modification -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Peptidyl-Arginine Methylation -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Peptidyl-L-Cysteine S-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, APP Metabolism, Epigenetic
GO Term: Protein O-Linked Glycosylation Via Serine -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Protein O-Linked Glycosylation Via Threonine -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Autophagy, APP Metabolism
GO Term: Protein-Pyridoxal-5-Phosphate Linkage Via Peptidyl-N6-Pyridoxal Phosphate-L-Lysine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Protein Deamination -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Protein N-Linked Glycosylation Via Asparagine -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Protein-Fad Linkage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Prenylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Protein Farnesylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Protein Geranylgeranylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Protein Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, APP Metabolism, Structural Stabilization
GO Term: Peptidyl-Glutamine Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Internal Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, DNA Repair
GO Term: Peptidyl-Lysine Hydroxylation To 5-Hydroxy-L-Lysine -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Proline Hydroxylation To 4-Hydroxy-L-Proline -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Protein C-Terminal Leucine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Translation Release Factor Complex -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Alcohol Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Formaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, DNA Repair
GO Term: Benzaldehyde Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Malonate-Semialdehyde Dehydrogenase (Acetylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Benzaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Methanethiol Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: 4-Nitrophenol 2-Monooxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: (S)-Limonene 6-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: (S)-Limonene 7-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Alkane 1-Monooxygenase Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Thiol S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Propionate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: S-Formylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Acetylpyruvate Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: 3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cyanamide Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Benzoate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Arsonoacetate Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Benzoate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Biphenyl Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Carbon Tetrachloride Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Benzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Cell Cycle, DNA Repair
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Phthalate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Propylene Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Guanyl Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Gmp Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Gdp Binding -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Apoptosis
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Lipid Metabolism
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Autophagy, Vasculature, Proteostasis
GO Term: Virion Assembly -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Viral Rna Genome Packaging -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Immune Response
GO Term: Virus Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Viral Genome Replication -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Immune Response, Apoptosis
GO Term: Viral Translation -> Biodomain: Proteostasis, Immune Response, Oxidative Stress, Endolysosome, Autophagy
GO Term: Viral Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Viral Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Immune Response
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Late Viral Transcription -> Biodomain: Immune Response, Cell Cycle, Autophagy, Epigenetic, Proteostasis
GO Term: Reproductive Behavior -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Cell Cycle, Apoptosis
GO Term: Male Germ-Line Sex Determination -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Female Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Male Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Autophagy
GO Term: Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: D-Ribulokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Mannokinase Activity -> Biodomain: Carbohydrate Metabolism, Metabolic Processes, Cellular Processes, Enzyme Activity, Molecular Functions
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glyoxalase Iii Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nadp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Amino Acid Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism
