Running with TEMP=0.9, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nuclear Pore Transmembrane Ring -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Endolysosome
GO Term: Gamma-Secretase Complex -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Pas Complex -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Protein-N-Terminal Glutamine Amidohydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Tau Homeostasis, Epigenetic
GO Term: Moz/Morf Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Apoptosis, Autophagy
GO Term: D-Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: L-Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Aspartate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Dihydrosphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Structural Stabilization, Autophagy
GO Term: Response To Biotin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Immune Response, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Hydrogen Sulfide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Peptidyl-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Tertiary Granule -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Tertiary Granule Membrane -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Structural Stabilization
GO Term: Sin3-Type Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Paraferritin Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Heterochromatin Organization -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Basement Membrane Assembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Extracellular Matrix Organization
GO Term: Chromium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Caveola Assembly -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Endolysosome, Proteostasis
GO Term: Dehydroascorbic Acid Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Endolysosome
GO Term: Dynein Complex Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Inclusion Body Assembly -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Aggresome Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Polyubiquitinated Misfolded Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Core Mediator Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Response To Growth Factor -> Biodomain: Cell Cycle, Vasculature, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Response To Epidermal Growth Factor -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Immune Response, Vasculature, Apoptosis, Epigenetic
GO Term: Cell Body Fiber -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Myosin Vi Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Myosin Vi Light Chain Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Autophagy
GO Term: Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Rna Polymerase I Core Factor Complex -> Biodomain: Protein Synthesis, Transcription, Epigenetic, Cell Cycle, DNA Repair
GO Term: Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Glycogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Soss Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Microprocessor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Primary Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Pre-Mirna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Calcium Homeostasis, Proteostasis, Apoptosis, Synapse
GO Term: Negative Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: E-Box Binding -> Biodomain: Epigenetic, Synapse, Immune Response, Cell Cycle, Vasculature
GO Term: Platelet Alpha Granule Organization -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Vasculature, Immune Response
GO Term: Lipoteichoic Acid Binding -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Lipoteichoic Acid Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Iii Preinitiation Complex Assembly -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Mitochondrial Trna Wobble Uridine Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mitochondrial Trna Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Mitochondrial Trna Methylation -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Mitochondrial Trna Pseudouridine Synthesis -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Serine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Global Genome Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Uv-Damage Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Epigenetic, Autophagy
GO Term: Lysophosphatidic Acid Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Regulatory Ncrna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Sirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Risc Complex Assembly -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Organelle Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi-Associated Vesicle Lumen -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Crd-Mediated Mrna Stabilization -> Biodomain: Structural Stabilization, RNA Spliceosome, Proteostasis, Epigenetic, Synapse
GO Term: 3'-Utr-Mediated Mrna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Crd-Mediated Mrna Stability Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Contractile Ring -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Dsl1/Nzr Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Neutrophil-Mediated Killing Of Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Neutrophil-Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Neutrophil-Mediated Killing Of Gram-Positive Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Neutrophil-Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Regulation Of Neutrophil Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Nuclear-Transcribed Mrna Catabolic Process, No-Go Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Oxidative Stress, DNA Repair
GO Term: Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Protein Localization To Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Pou Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Fha Domain Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Tir Domain Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Vasculature
GO Term: Protein K11-Linked Ubiquitination -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: L-Asparagine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis, Cell Cycle
GO Term: L-Asparagine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Transcription Factor Tfiik Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Left/Right Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, DNA Repair
GO Term: Error-Free Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Demethylation -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Oxidative Demethylation -> Biodomain: Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, DNA Repair
GO Term: Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Medium-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Detection Of Oxidative Stress -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Type 1 Melanocortin Receptor Binding -> Biodomain: Pigmentation, Receptor Signaling, Stress Response, Metabolism, Cell Communication
GO Term: Response To Magnetism -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Apoptosis
GO Term: U4/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: U4Atac/U6Atac Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: U2-Type Prespliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U2-Type Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U2-Type Catalytic Step 1 Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U2-Type Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: U2-Type Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: U2-Type Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Rna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Nuclear Rna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Nuclear Mrna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Nuclear Mrna Surveillance Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Cut Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Rrna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Cell Cycle, Epigenetic
GO Term: Nuclear Polyadenylation-Dependent Snorna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Nuclear Polyadenylation-Dependent Snrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Tramp-Dependent Trna Surveillance Pathway -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Nuclear Polyadenylation-Dependent Cut Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Nuclear Polyadenylation-Dependent Antisense Transcript Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Nuclear Polyadenylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Histone Mrna Catabolic Process -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Histone Mrna Catabolic Process -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Poly(A)-Dependent Snorna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Alphav-Beta3 Integrin-Vitronectin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Alpha9-Beta1 Integrin-Vascular Cell Adhesion Molecule-1 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Myelination
GO Term: Negative Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Eukaryotic Initiation Factor Eif2 Binding -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair
GO Term: Dna Conformation Change -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Response To Interleukin-9 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Interleukin-11 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Parathyroid Hormone -> Biodomain: Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Autophagy, Apoptosis, DNA Repair
GO Term: Superior Temporal Gyrus Development -> Biodomain: Synapse, Myelination, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Alpha9-Beta1 Integrin-Adam8 Complex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Vasculature
GO Term: Resolution Of Dna Recombination Intermediates -> Biodomain: DNA Repair, DNA Metabolism, Genome Stability, Epigenetic, Cell Cycle
GO Term: Resolution Of Mitotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Smad Protein Complex -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Homomeric Smad Protein Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair
GO Term: Heteromeric Smad Protein Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Apoptosis
GO Term: Nf-Kappab Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Cmg Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Dna Replication Preinitiation Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Rna Cap Trimethylguanosine Synthase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Ribonucleoprotein Complex Localization -> Biodomain: Proteostasis, Synapse, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Establishment Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Kv4.2-Kchip2 Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Kv4.3-Kchip1 Channel Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome
GO Term: Wash Complex -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Histone Pre-Mrna 3'End Processing Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, DNA Repair
GO Term: Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism
GO Term: Establishment Of Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Tau Homeostasis
GO Term: Histone Pre-Mrna Stem-Loop Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Histone Pre-Mrna Dcp Binding -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, RNA Spliceosome
GO Term: U7 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Protein Targeting To Vacuole Involved In Autophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To External Biotic Stimulus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Response To Misfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Bacterial Lipopeptide -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Cellular Response To Lipopolysaccharide -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cellular Response To Lipoteichoic Acid -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Peptidoglycan -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Cellular Response To Muramyl Dipeptide -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Amino Acid Stimulus -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Cellular Response To Folic Acid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Cellular Response To L-Leucine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Cellular Response To Antibiotic -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Cellular Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Cellular Response To Ammonium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Cellular Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Connexin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Apoptosis
GO Term: Cytoplasmic U Snrnp Body -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cellular Response To Electrical Stimulus -> Biodomain: Synapse, Myelination, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Cellular Response To Magnetism -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Autophagy, Proteostasis
GO Term: Cellular Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Ssh1 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Translational Initiation In Response To Starvation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: 'De Novo' L-Methionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: L-Methionine Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Cellular Response To Aluminum Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Cadmium Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Calcium Ion -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Cobalt Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
