Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: P Granule -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: H4/H2A Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Atp-Binding Cassette (Abc) Transporter Complex -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Axon Initial Segment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Terminal Bouton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Varicosity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendritic Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Dendritic Shaft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Sulfate Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Response To Amino Acid -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Response To L-Leucine -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Lysosomal Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Axon Hillock -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Perikaryon -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Response To External Biotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Glycosphingolipid Binding -> Biodomain: Lipid Metabolism, Myelination, Synapse, Endolysosome, Autophagy
GO Term: Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis
GO Term: Daunorubicin Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Compact Myelin -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Lateral Loop -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Endolysosome
GO Term: Schmidt-Lanterman Incisure -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Smc Family Protein Binding -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Atpase-Coupled Inorganic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Vasculature
GO Term: Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Membraneless Organelle -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Intracellular Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Intracellular Membrane-Bounded Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Intracellular Membraneless Organelle -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Receptor Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Cell Cycle, Vasculature
GO Term: Laminin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Synapse
GO Term: Laminin-1 Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Fanconi Anaemia Nuclear Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Positive Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Proteasome Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Erythrocyte Maturation -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sodium-Dependent Organic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Synapse, Autophagy
GO Term: Sodium-Dependent Organic Anion Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: Sodium-Independent Organic Anion Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Cell Cycle
GO Term: Laminin Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Laminin-8 Complex -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Laminin-10 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Immune Response
GO Term: Laminin-11 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Adhesion and Migration, Extracellular Matrix Organization, Tissue Development
GO Term: Adp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Regulation Of Potassium Ion Transport -> Biodomain: Ion Homeostasis, Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Vasculature
GO Term: Positive Regulation Of Potassium Ion Transport -> Biodomain: Ion Homeostasis, Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Vasculature, Apoptosis
GO Term: Ctpase Activity -> Biodomain: Cell Cycle, RNA Spliceosome, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Phospholipase Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Anoikis -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Morphine -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Alkaloid -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Rave Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Contractile Muscle Fiber -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Apoptosome -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glutathione Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Apical Junction Complex -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Synapse
GO Term: Apical Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Endolysosome
GO Term: Leukocyte Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mast Cell Degranulation -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Eosinophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Inflammation, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylinositol-3,4-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Protein Transport To Vacuole Involved In Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Ubiquitin-Dependent Processes, Structural Stabilization
GO Term: Response To Exogenous Dsrna -> Biodomain: Immune Response, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Dsrna -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Protein Unfolding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Tau Homeostasis, Structural Stabilization
GO Term: Cardiolipin Synthase (Cmp-Forming) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Autophagy, Apoptosis
GO Term: Enucleate Erythrocyte Differentiation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Nucleate Erythrocyte Differentiation -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism
GO Term: Beta Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Positive T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Cd4-Positive Or Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Cd4-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Synapse, Epigenetic, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Endolysosome
GO Term: Memory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative T Cell Selection -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Protein Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Proteoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Lipid Metabolism
GO Term: Heparan Sulfate Proteoglycan Binding -> Biodomain: APP Metabolism, Synapse, Vasculature, Proteostasis, Structural Stabilization
GO Term: Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Synapse, Immune Response, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Hlh Domain Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Synapse, Myelination
GO Term: Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Steroid Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Map Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Map Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Regulation Of Mapk Cascade -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Mapk Cascade -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Mapk Cascade -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Oxidative Stress, Autophagy
GO Term: Macromolecule Glycosylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, APP Metabolism
GO Term: Macromolecule Methylation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Homocysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Anthranilate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Kinase B Binding -> Biodomain: Mitochondrial Metabolism, Apoptosis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Bhlh Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Mrf Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Peptide Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acetoacetic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pigmentation -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Pigment Metabolic Process Involved In Pigmentation -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Cellular Pigment Accumulation -> Biodomain: Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Regulation Of Rna Stability -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of Mrna Stability -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Synapse
GO Term: Rna Stabilization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Malate-Aspartate Shuttle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Membrane-Membrane Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Skeletal Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Skeletal Muscle Fiber Adaptation -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cenp-A Containing Nucleosome -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Jun Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Jun Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Epigenetic
GO Term: Activin A Complex -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Autophagy
GO Term: Inhibin A Complex -> Biodomain: Signaling, Peptide Hormone, Endocrine, Reproductive System, Cell Growth/Differentiation
GO Term: Inhibin B Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Interleukin-12 Complex -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Kinetochore Binding -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Mitochondrial Metabolism
GO Term: Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Myosin Ii Filament Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Vasculature
GO Term: Leucine Zipper Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Negative Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Trna Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Trna (M2G10) Methyltransferase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Get Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Adenosine 5'-Monophosphoramidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Adp Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Angiostatin Binding -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Inositol 1,3,4,5 Tetrakisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: 6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Udp-N-Acetylglucosamine Transferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Endothelial Cell Migration -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Molybdopterin Cofactor Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Molybdopterin Cofactor Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Gtpase Activity -> Biodomain: Signal Transduction, Cytoskeleton Organization, Cell Migration, Immune Response, Endolysosome
GO Term: Phosphatidylinositol 3-Kinase Binding -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Cell Cycle, Apoptosis
GO Term: Regulation Of Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, DNA Repair
GO Term: Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Endolysosome, Immune Response
GO Term: Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Insulin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Insulin Receptor Substrate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ku70:Ku80 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Immune Response, Structural Stabilization
GO Term: Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
