Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Glomerular Basement Membrane Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Dendrite Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Calcitonin Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Cellular Ph Reduction -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Cellular Ph Reduction -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Response To Insulin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Hormone Stimulus -> Biodomain: Cell Cycle, Lipid Metabolism, Autophagy, Epigenetic, Apoptosis
GO Term: Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Dna Endoreduplication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Dna Endoreduplication -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Dna Endoreduplication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Regulation Of Establishment Or Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Microtubule-Based Process -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Synapse, Autophagy
GO Term: Palmitoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Viral Transcription -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Neurotrophin Production -> Biodomain: Proteostasis, Epigenetic, Autophagy, Synapse, Apoptosis
GO Term: Positive Regulation Of Neurotrophin Production -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Myelination
GO Term: Nerve Growth Factor Production -> Biodomain: Proteostasis, Immune Response, Myelination, Epigenetic, Vasculature
GO Term: Regulation Of Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, APP Metabolism
GO Term: Negative Regulation Of Nerve Growth Factor Production -> Biodomain: Synapse, Apoptosis, Immune Response, Epigenetic, Proteostasis
GO Term: Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Vasculature
GO Term: Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Structural Stabilization
GO Term: Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Spermidine Acetylation -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Spermine Acetylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Putrescine Acetylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Circadian Regulation Of Gene Expression -> Biodomain: Circadian Rhythm, Transcriptional Regulation, Signal Transduction, Metabolic Regulation, Systems Biology
GO Term: Activin Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Structural Stabilization
GO Term: Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Autophagy, Proteostasis
GO Term: Negative Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Epigenetic
GO Term: Sterol Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Sterol Sensor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Srebp-Scap Complex -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: Srebp-Scap-Insig Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Negative Regulation Of Translation In Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Secretion By Cell -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Endolysosome
GO Term: Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Endolysosome
GO Term: Inositol Trisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Synapse
GO Term: Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Synapse, Apoptosis
GO Term: Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Endolysosome
GO Term: Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Extracellular Matrix Organization, Tissue Development, Cell Adhesion
GO Term: Negative Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Actin Filament-Based Process -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Regulation Of Muscle Filament Sliding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Muscle Filament Sliding Speed -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Amino Acid Export Across Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Release Of Matrix Enzymes From Mitochondria -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Membrane Insertase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Protein Insertion Into Mitochondrial Inner Membrane From Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Keratinocyte Activation -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Mitochondrial Respiratory Chain Complex I Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Myosin Filament -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Kainate Selective Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Protein-Dna Complex Disassembly -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Cellular Anatomical Entity Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Protein-Containing Complex -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Protein-Dna Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Protein-Lipid Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Bcl3-Bcl10 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Fc-Epsilon Receptor I Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Fc-Gamma Receptor Iii Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Muscle Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Paranodal Junction -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Perinuclear Theca -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Tetrapyrrole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Tetrapyrrole Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Sarcoplasmic Reticulum Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Apoptosis, Lipid Metabolism
GO Term: Mast Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Polysaccharide Localization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Bitter Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Sour Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Sweet Taste Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Organelle Organization -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Regulation Of Chromosome Organization -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Regulation Of Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Directional Locomotion -> Biodomain: Immune Response, Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Pigmentation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Rad51B-Rad51C-Rad51D-Xrcc2 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Rad51C-Xrcc3 Complex -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Isoquinoline Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Extrathymic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Immature T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Positive Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Weibel-Palade Body -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Cis-Golgi Network Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Mitochondrial Respiratory Chain Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Acetylcholine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Tau Homeostasis, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Epigenetic, Myelination
GO Term: Nuclear Progesterone Receptor Binding -> Biodomain: Steroid Hormone Receptor Binding, Transcription Regulation, Cellular Signaling, Reproductive Biology, Protein Binding and Interactions
GO Term: Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Apoptosis
GO Term: Ffat Motif Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Cytoskeletal Calyx -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Immunoglobulin V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: T Cell Receptor V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Mitochondrial Metabolism
GO Term: Melanosome Membrane -> Biodomain: Endolysosome, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Interphotoreceptor Matrix -> Biodomain: Structural Stabilization, Synapse, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Vasculature, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Proton-Transporting Two-Sector Atpase Complex, Proton-Transporting Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Proton-Transporting Two-Sector Atpase Complex, Catalytic Domain -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Immune Response
GO Term: Plasma Membrane Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dolichol-Phosphate-Mannose Synthase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Caf-1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Sphingomyelin Synthase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Response To Vitamin A -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Calmodulin-Dependent Protein Phosphatase Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Synapse, Apoptosis
GO Term: Response To Hydroperoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Vitamin E -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Atp -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ribonuclease P Rna Binding -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Meiotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Leptin-Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Adiponectin-Activated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Iron Import Into Cell -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Reductive Iron Assimilation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Epigenetic
GO Term: Amide Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Dsrna Transport -> Biodomain: Immune Response, Endolysosome, Autophagy, RNA Spliceosome, Proteostasis
GO Term: Cysteine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: I-Kappab/Nf-Kappab Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Bcl3/Nf-Kappab2 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Nuclear Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
