Running with TEMP=0.1, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Ether Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glycerolipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glyoxylate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Isopentenyl Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: L-Methylmalonyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Nicotinamide Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: S-Adenosylhomocysteine Metabolic Process -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: S-Adenosylmethioninamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: S-Adenosylmethionine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Protoporphyrinogen Ix Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Sphinganine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Myelination
GO Term: Sphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Immune Response
GO Term: Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Ceramide Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Sphingoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Sphingoid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: S-Methyl-5-Thioribose-1-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Xylosylprotein 4-Beta-Galactosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Synapse
GO Term: D-Xylulose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Photoreceptor Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Dosage Compensation Complex -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Histamine N-Methyltransferase Activity -> Biodomain: Synapse, Immune Response, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: U4/U6 X U5 Tri-Snrnp Complex -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Saliva Secretion -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Development Of Secondary Female Sexual Characteristics -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Development Of Secondary Male Sexual Characteristics -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Development Of Primary Female Sexual Characteristics -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Development Of Primary Male Sexual Characteristics -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Retinal Rod Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Retinal Cone Cell Development -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: L-Malate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Alpha-L-Arabinofuranosidase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Immune Response
GO Term: Methylthioribulose 1-Phosphate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism, DNA Repair
GO Term: Long-Chain-Alcohol Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Positive Regulation Of Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Lipid Metabolism, Immune Response, Autophagy, Vasculature
GO Term: Negative Regulation Of Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Intercellular Canaliculus -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Polyamine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Host-Mediated Suppression Of Symbiont Invasion -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Centriole Replication -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Centrosome Cycle -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Lysosomal Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Xenobiotic Export From Cell -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Lens Placode Formation Involved In Camera-Type Eye Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Regulation Of Organ Growth -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Organ Growth -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Organ Growth -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Sphingolipid Floppase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Sphingolipid Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Sphingolipid Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Gamma-Delta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Structural Stabilization
GO Term: Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Negative Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Endolysosome, Synapse, Autophagy, Proteostasis
GO Term: Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Lymphocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Tetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Tetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Folic Acid Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Folic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Digestive Hormone Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Male Sex Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Endolysosome
GO Term: Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Antibiotic -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Response To Ddt -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism, Endolysosome
GO Term: Response To Pyrethroid -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Response To Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Response To Cadmium Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Response To Mercury Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Immune Response
GO Term: Intracellular Canaliculus -> Biodomain: Mitochondrial Metabolism, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Slik (Saga-Like) Complex -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Lipopolysaccharide Receptor Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Decidualization -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Natural Killer Cell Lectin-Like Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Cdp Biosynthetic Process -> Biodomain: Nucleotide Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Gdp Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Gdp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Gdp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Borate Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Active Borate Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Muscle Cell Cellular Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Acid Secretion -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Symbiont Entry Into Host Cell -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Citric Acid Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Lactic Acid Secretion -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Oxalic Acid Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation By Virus Of Viral Protein Levels In Host Cell -> Biodomain: Proteostasis, Autophagy, Endolysosome, Epigenetic, Immune Response
GO Term: Positive Regulation By Virus Of Viral Protein Levels In Host Cell -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Epigenetic
GO Term: Viral Exocytosis -> Biodomain: Endolysosome, Immune Response, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Viral Budding -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Viral Budding From Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Protein Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Microtubule Polymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Synapse
GO Term: Host Cell Surface Receptor Binding -> Biodomain: Immune Response, Cell Signaling, Microbial Pathogenesis, Infection Response, Membrane Receptors
GO Term: Virion Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Histone Deacetylase Inhibitor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Receptor-Mediated Virion Attachment To Host Cell -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Apoptosis, Synapse
GO Term: Coreceptor-Mediated Virion Attachment To Host Cell -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Endolysosome
GO Term: Chemokine Receptor Antagonist Activity -> Biodomain: Immune Response, Signal Transduction, Receptor Activity, Cell Communication, Cell Surface Receptor Signaling Pathway
GO Term: Regulation Of Nucleocytoplasmic Transport -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Nucleocytoplasmic Transport -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, DNA Repair
GO Term: Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Proteostasis
GO Term: Negative Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Lipid Phosphorylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Carbohydrate Phosphorylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Glycolipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Structural Stabilization
GO Term: Phospholipid Dephosphorylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Myelination
GO Term: Filopodium Assembly -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Hydroxyapatite Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Bone Remodeling -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Regulation Of Bone Remodeling -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Immune Response, Apoptosis, Vasculature
GO Term: Negative Regulation Of Bone Remodeling -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: Phosphatidylinositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Terpenoid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cadmium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Metal Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Metal Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Quinolinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Ephrin Receptor Binding -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Myelination
GO Term: Regulation Of Saliva Secretion -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Saliva Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism
GO Term: Hormone Secretion -> Biodomain: Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Synapse, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Regulation Of Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Follicle-Stimulating Hormone Secretion -> Biodomain: Vasculature, Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Hormone Secretion -> Biodomain: Synapse, Proteostasis, Vasculature, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Hormone Secretion -> Biodomain: Endocrine, Cell Signaling, Proteostasis, Immune Response, Vasculature
GO Term: Positive Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Cycloheximide -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Cellular Stress Response
GO Term: Nucleoside Triphosphate Adenylate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Tetrahydrofolylpolyglutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, DNA Repair, Lipid Metabolism
GO Term: Tetrahydrofolylpolyglutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Secretion -> Biodomain: Endolysosome, Synapse, Immune Response, Autophagy, Vasculature
GO Term: Calcium Oxalate Binding -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Tetrapyrrole Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Metal Chelating Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Acyltransferase Activity, Acyl Groups Converted Into Alkyl On Transfer -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Transition Metal Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Transition Metal Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Alpha-(1->3)-Fucosyltransferase Activity -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Alpha-(1->6)-Fucosyltransferase Activity -> Biodomain: Glycosylation, Post-translational Modification, Secretory Pathway, Immune Response, Cell Surface
GO Term: Peptide-O-Fucosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, APP Metabolism, Immune Response
GO Term: Er Retention Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Pore Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Pore Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Proton-Transporting Atp Synthase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: 1-Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Immune Response, Autophagy, Apoptosis, Cell Cycle
GO Term: 1-Phosphatidylinositol-3-Kinase Regulator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: 2'-Deoxyadenosine Deaminase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Nucleoside Monophosphate Phosphorylation -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Carboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
