Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Beta-Galactoside Alpha-2,6-Sialyltransferase Activity -> Biodomain: Glycosylation, Lipid Metabolism, Cell Surface, Protein Modification, Immune Response
GO Term: Beta-Galactoside (Cmp) Alpha-2,3-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, Epigenetic
GO Term: Beta-Ureidopropionase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Gamma-Glutamylcyclotransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: 1-Acylglycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: L-Glutamate Gamma-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 1,4-Alpha-Glucan Branching Enzyme Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Acylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: N-Acylsphingosine Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Immune Response, Autophagy
GO Term: Short-Chain 2-Methyl Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: 3-Beta-Hydroxy-Delta5-Steroid Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Hydroxybutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: 3-Hydroxyisobutyryl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Branched-Chain 2-Oxo Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 3-Oxo-5-Alpha-Steroid 4-Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: 4-Hydroxyphenylpyruvate Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: 5-Aminolevulinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: 6-Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: 6-Phosphofructo-2-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Glycolysis and Glucose Metabolism, Metabolic Processes, Cell Signaling, Energy Metabolism
GO Term: 6-Pyruvoyltetrahydropterin Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Synapse, Proteostasis
GO Term: Adp-Ribosylarginine Hydrolase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Amp Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Atp:Adp Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Atp Citrate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Protein C-Terminal Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Cdp-Diacylglycerol-Inositol 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Cdp-Diacylglycerol-Serine O-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Ctp Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: D-Amino-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dna (Cytosine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Metal Binding and Homeostasis
GO Term: Dna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Dna-Directed Rna Polymerase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Deoxyribodipyrimidine Photo-Lyase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Epigenetic
GO Term: Alkylbase Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Methylated-Dna-[Protein]-Cysteine S-Methyltransferase Activity -> Biodomain: DNA Repair, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Dna Ligase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dna Ligase (Atp) Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Dna Nucleotidylexotransferase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Dna (6-4) Photolyase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Dna Topoisomerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Dna Topoisomerase Type I (Single Strand Cut, Atp-Independent) Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Fmn Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Gmp Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, DNA Repair, Epigenetic
GO Term: Gmp Synthase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Gmp Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Gpi-Anchor Transamidase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: Gtpase Activity -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: G Protein Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Cell Cycle
GO Term: Gtp Cyclohydrolase I Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Imp Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Imp Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: L-Iditol 2-Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: L-Iduronidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: L-Serine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: N-Acetylgalactosamine-4-Sulfatase Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Immune Response, Vasculature
GO Term: N-Acetylglucosamine-1-Phosphodiester Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: N-Acetyllactosamine Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: (N-Acetylneuraminyl)-Galactosylglucosylceramide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Immune Response
GO Term: N4-(Beta-N-Acetylglucosaminyl)-L-Asparaginase Activity -> Biodomain: Proteostasis, Glycan Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Nad+ Poly-Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Nad+ Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nad+ Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Nad+ Nucleosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nadh Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Nad(P)H Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nad(P)+ Transhydrogenase (Si-Specific) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nadph-Hemoprotein Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nadph:Quinone Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Rna-3'-Phosphate Cyclase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Immune Response, Autophagy
GO Term: Rna-Directed Rna Polymerase Activity -> Biodomain: Immune Response, RNA Spliceosome, Oxidative Stress, Autophagy, Epigenetic
GO Term: Rna Ligase (Atp) Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair
GO Term: (S)-2-Hydroxy-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Udp-N-Acetylglucosamine 4-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Udp-N-Acetylglucosamine-Dolichyl-Phosphate N-Acetylglucosaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Udp-N-Acetylglucosamine-Lysosomal-Enzyme N-Acetylglucosaminephosphotransferase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Udp-N-Acetylglucosamine Diphosphorylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Epigenetic, Autophagy
GO Term: Udp-Glucose 4-Epimerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Udp-Glucose 6-Dehydrogenase Activity -> Biodomain: Carbohydrate Metabolism, Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Small Molecule Metabolic Process, Biosynthetic Process
GO Term: Udp-Glucose:Glycoprotein Glucosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Utp:Glucose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Acetolactate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Acetyl-Coa C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Acetyl-Coa C-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acetyl-Coa Carboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetylcholinesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Acid Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Aconitate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acylphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Adenine Phosphoribosyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Adenosine Deaminase Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Adenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Adenosylhomocysteinase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Adenosylmethionine Decarboxylase Activity -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Adenylate Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: Amp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: N6-(1,2-Dicarboxyethyl)Amp Amp-Lyase (Fumarate-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Adenylosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Adenylylsulfate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Myelination, Epigenetic
GO Term: L-Alanine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Alcohol Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 3-Chloroallyl Aldehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aldehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Aldehyde Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Aldose Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Aldose 1-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Alkaline Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Allantoicase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Amidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: L-Glutamate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Aminoadipate-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Amidophosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Peptidyl-Trna Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Apoptosis
GO Term: Aminoacylase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Aminomethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Apyrase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Arachidonate 5-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Autophagy
GO Term: Arachidonate 12(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: Arginase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Argininosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Argininosuccinate Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Arginyl-Trna--Protein Transferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Aromatic-L-Amino-Acid Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Drug Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Arylformamidase Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Endolysosome
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Arylesterase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Arylsulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Asparaginase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Biotin Carboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Vasculature, Metal Binding and Homeostasis
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Nitrogen Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Carbonate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Apoptosis
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Structural Stabilization, Proteostasis
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Choline Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Myelination, Oxidative Stress
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Vasculature, Lipid Metabolism
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Cell Cycle
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Synapse, Immune Response, Autophagy
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Vasculature, Synapse, Immune Response, Cell Cycle, Proteostasis
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cytidine Deaminase Activity -> Biodomain: Immune Response, Epigenetic, DNA Repair, Metal Binding and Homeostasis, RNA Spliceosome
