Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Facial Nucleus Development -> Biodomain: Structural Stabilization, Apoptosis, Synapse, Myelination, Vasculature
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Putamen Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Globus Pallidus Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Proteostasis
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Hippocampus Development -> Biodomain: Synapse, Myelination, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Mammillary Body Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Limbic System, Developmental Biology
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse
Cell Cycle
Epigenetic
Lipid Metabolism
Proteostasis
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination  
Structural Stabilization  
Cell Cycle  
RNA Spliceosome  
Synapse
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Epigenetic, Immune Response, DNA Repair
GO Term: Glial Cell Fate Commitment -> Biodomain: Myelination  
Structural Stabilization  
Cell Cycle  
Synapse  
Immune Response
GO Term: Glial Cell Development -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Immune Response, Synapse
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Autophagy
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Vasculature
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse  
Structural Stabilization  
Proteostasis  
Autophagy  
Lipid Metabolism
GO Term: Thalamus Development -> Biodomain: Structural Stabilization  
Cell Cycle  
Myelination  
Apoptosis  
Lipid Metabolism
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization  
Synapse  
Tau Homeostasis  
Myelination  
Cell Cycle
GO Term: Cerebral Cortex Regionalization -> Biodomain: Structural Stabilization  
Epigenetic  
Synapse  
Myelination  
Autophagy
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, RNA Spliceosome
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Autophagy
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Myelination, Autophagy
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Myelination, Autophagy
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Migration, Developmental Process
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization  
Synapse  
Myelination  
Tau Homeostasis  
APP Metabolism
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Tau Homeostasis
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse  
Structural Stabilization  
Brain Development  
Myelination  
Cell Migration
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Autophagy
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Neurogenesis  
Cytoskeleton  
Cell Migration  
Regulation  
Brain Regions
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Structural Stabilization  
Synapse  
Proteostasis  
Cell Cycle  
Autophagy
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Cell Cycle
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse  
Neuronal Signaling  
Cell Migration  
Developmental  
Neurogenesis
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse  
Structural Stabilization  
Proteostasis  
Autophagy  
Cell Cycle
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Cell Migration, Nervous System Development, Cell Motility, Vasculature
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, Autophagy
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Developmental Process, Neurogenesis, Neural Development, Cellular Proliferation
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Cell Migration, Neurogenesis, Neuronal Development, Developmental Process
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Hypothalamus Development -> Biodomain: Structural Stabilization  
Cell Cycle  
Synapse  
Epigenetic  
Apoptosis
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Myelination
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Myelination, Structural Stabilization, Synapse, Epigenetic
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Forebrain Generation Of Neurons -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Autophagy, Epigenetic
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Synapse, Structural Stabilization
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Synapse, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Myelination, Epigenetic
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Neurogenesis, Neurodevelopment, Synaptic Function, Neural Circuitry
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Structural Stabilization, Myelination
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Myelination
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Neurogenesis, CNS Development, Forebrain Development, Developmental Process
GO Term: Forebrain Astrocyte Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Vasculature, Immune Response
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Developmental Biology, Neurogenesis, Cell Differentiation
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Cell Cycle, Apoptosis, Epigenetic, RNA Spliceosome
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Myelination
GO Term: Neural Tube Development -> Biodomain: Nervous System Development, Developmental Process, Embryonic Development, Epithelium Development, Anatomical Structure Development
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Myelination, Synapse, Structural Stabilization, Epigenetic
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Synapse
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Myelination
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Myelination, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Tau Homeostasis
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.9/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.9/runtime_log.csv
