Running with TEMP=0.1, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Torc2 Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Torc2 Signaling -> Biodomain: Apoptosis, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Positive Regulation Of Respiratory Gaseous Exchange -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Autophagy, Apoptosis
GO Term: Positive Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Nitric-Oxide Synthase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Synapse
GO Term: Arachidonate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Arachidonate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Vasculature
GO Term: Monounsaturated Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Monounsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Glial Cell Migration -> Biodomain: Structural Stabilization, Myelination, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Glial Cell Migration -> Biodomain: Structural Stabilization, Myelination, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of Glial Cell Migration -> Biodomain: Synapse, Immune Response, Myelination, Structural Stabilization, Vasculature
GO Term: Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Synapse, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Enterobactin Binding -> Biodomain: Metal Binding and Homeostasis, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Intestinal D-Glucose Absorption -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Iron Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Eating Behavior -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Eating Behavior -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Eating Behavior -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Immune Response, Autophagy
GO Term: Response To Aroclor 1254 -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Endolysosome, Proteostasis
GO Term: Cellular Response To Serotonin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Response To Thyroglobulin Triiodothyronine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Cellular Response To Thyroglobulin Triiodothyronine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Vasculature Development -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Autophagy
GO Term: Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of G Protein-Coupled Receptor Internalization -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of G Protein-Coupled Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Negative Regulation Of Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Autophagy, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Apoptosis, Immune Response
GO Term: Positive Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Autophagy
GO Term: Positive Regulation Of T-Snare Clustering -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: Negative Regulation Of Iron Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Iron Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Aldosterone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Aldosterone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Epigenetic
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: S-Adenosyl-L-Methionine Binding -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Proteostasis
GO Term: Positive Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Negative Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Immune Response, Myelination, Vasculature, Oxidative Stress
GO Term: Positive Regulation Of Sensory Perception Of Pain -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Synapse, Lipid Metabolism
GO Term: Regulation Of Locomotor Rhythm -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Monoatomic Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Positive Regulation Of Cation Transmembrane Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Presynaptic Active Zone Assembly -> Biodomain: Synapse, Structural Stabilization, Cell Adhesion, Synaptic Function, Neuronal Function
GO Term: Positive Regulation Of Trophectodermal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Pyrimidine Nucleobase Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: Peptidase Inhibitor Complex -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Autophagic Cell Death -> Biodomain: Autophagy, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Autophagic Cell Death -> Biodomain: Autophagy, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Acadesine -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Convergent Extension Involved In Gastrulation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Epigenetic
GO Term: Protein Localization To Microvillus -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Localization To Ciliary Inversin Compartment -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Axon Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Cellular Response To Vasopressin -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Positive Regulation Of Otic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Phosphatidylethanolamine Transfer Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Synapse, Oxidative Stress, Autophagy, Endolysosome
GO Term: Positive Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Cellular Response To Nonylphenol -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Microglial Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Microglial Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Dn2 Thymocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Dn3 Thymocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Dn4 Thymocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Axonemal Central Apparatus Assembly -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Dna Synthesis Involved In Uv-Damage Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Positive Regulation Of Bleb Assembly -> Biodomain: Apoptosis, Structural Stabilization, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Membrane Depolarization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Granulosa Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Regulation Of Vascular Associated Smooth Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Iodide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Hypertrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Endolysosome
GO Term: Positive Regulation Of Skeletal Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Membrane Protein Proteolysis Involved In Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Substrate-Dependent Cell Migration, Cell Attachment To Substrate -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Pericyte Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Vcp-Npl4-Ufd1 Aaa Atpase Complex Assembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Polynucleotide Adenylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Polynucleotide Adenylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Zinc Ion Import Into Golgi Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Basement Membrane Assembly Involved In Embryonic Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Torc1 Signaling -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Torc1 Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Pyroptosome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Proline Import Across Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: L-Alanine Import Across Plasma Membrane -> Biodomain: Amino Acid Transport, Membrane Transport, Metabolism, Nutrient Uptake, Small Molecule Transport
GO Term: Tricellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Bat3 Complex Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Mitotic Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Mitotic Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Erad Pathway -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Erad Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Transcytosis -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Transcytosis -> Biodomain: Endolysosome, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Gastro-Intestinal System Smooth Muscle Contraction -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Response To Desipramine -> Biodomain: Synapse, Oxidative Stress, Vasculature, Immune Response, Epigenetic
GO Term: Response To Methamphetamine Hydrochloride -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Response To Forskolin -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Cellular Response To Forskolin -> Biodomain: Signaling Pathways, Intracellular Signaling, Signal Transduction, Cellular Response to Stimulus, Regulation of Biological Processes
GO Term: Protein Localization To Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Regulation Of Myofibroblast Contraction -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of Myofibroblast Contraction -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Immune Response
GO Term: Positive Regulation Of Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Myelination
GO Term: Positive Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Colon Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Gastric Mucosal Blood Circulation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Small Intestine Smooth Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Protein Catabolic Process In The Vacuole -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Telomere Capping -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Actin Cortical Patch -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Response To Kainic Acid -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Protein Localization To Cell Periphery -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Protein Localization To Cell Periphery -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Lipid Metabolism
GO Term: Endoplasmic Reticulum Mannose Trimming -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Golgi Apparatus Mannose Trimming -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Mannose Trimming Involved In Glycoprotein Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Response To Sodium Phosphate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Angiotensin -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Response To L-Phenylalanine Derivative -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Rod Bipolar Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cone Retinal Bipolar Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Neuromuscular Junction Development -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Heparan Sulfate Binding -> Biodomain: Vasculature, Immune Response, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Response To Thyroid Stimulating Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Thyroid Stimulating Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Formaldehyde -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Melatonin Binding -> Biodomain: Circadian Rhythm, Endocrine, Neurotransmission, Hormone Binding, Signal Transduction
GO Term: Positive Regulation Of Secretory Granule Organization -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Autophagy
GO Term: Positive Regulation Of Cardiac Ventricle Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Xenophagy -> Biodomain: Autophagy, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Xenophagy -> Biodomain: Autophagy, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Response To D-Galactosamine -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Endolysosome
GO Term: Dehydrodolichyl Diphosphate Synthase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Gtp Binding -> Biodomain: Proteostasis, Cell Cycle, Synapse, Autophagy, Immune Response
GO Term: Positive Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Tubulin Deacetylation -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of T-Circle Formation -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
