Running with TEMP=0.5, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Response To Acrylamide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Torc2 Signaling -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Torc2 Signaling -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Cell Cycle
GO Term: Positive Regulation Of Respiratory Gaseous Exchange -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Negative Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Nitric-Oxide Synthase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Arachidonate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Arachidonate Transport -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Mitochondrial Metabolism, Synapse
GO Term: Monounsaturated Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Monounsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Glial Cell Migration -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Immune Response, Synapse
GO Term: Negative Regulation Of Glial Cell Migration -> Biodomain: Structural Stabilization, Myelination, Immune Response, Synapse, Proteostasis
GO Term: Positive Regulation Of Glial Cell Migration -> Biodomain: Immune Response, Myelination, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Synapse, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Enterobactin Binding -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Intestinal D-Glucose Absorption -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Iron Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Eating Behavior -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Eating Behavior -> Biodomain: Neurological System Involvement, Endocrine Signaling, Metabolic Pathways, Cellular Processes, Homeostasis
GO Term: Positive Regulation Of Eating Behavior -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Immune Response, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Response To Aroclor 1254 -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis, DNA Repair
GO Term: Cellular Response To Serotonin -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Response To Thyroglobulin Triiodothyronine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Thyroglobulin Triiodothyronine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Positive Regulation Of Vasculature Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of G Protein-Coupled Receptor Internalization -> Biodomain: Proteostasis, Synapse, Endolysosome, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of G Protein-Coupled Receptor Internalization -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Negative Regulation Of Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of T-Snare Clustering -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Negative Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Positive Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Iron Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Iron Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Aldosterone -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Cellular Response To Aldosterone -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Epigenetic, Proteostasis, Oxidative Stress
GO Term: S-Adenosyl-L-Methionine Binding -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Immune Response
GO Term: Negative Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Positive Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Negative Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Regulation Of Locomotor Rhythm -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Monoatomic Cation Transmembrane Transport -> Biodomain: Synapse, Endolysosome, Metal Binding and Homeostasis, Vasculature, Immune Response
GO Term: Negative Regulation Of Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Cation Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response
GO Term: Presynaptic Active Zone Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Trophectodermal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Apoptosis, Immune Response
GO Term: Pyrimidine Nucleobase Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Peptidase Inhibitor Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Autophagic Cell Death -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Autophagic Cell Death -> Biodomain: Autophagy, Apoptosis, Proteostasis, Endolysosome, Cell Cycle
GO Term: Cellular Response To Acadesine -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Convergent Extension Involved In Gastrulation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Protein Localization To Microvillus -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Protein Localization To Ciliary Inversin Compartment -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Vasculature
GO Term: Positive Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Axon Cytoplasm -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Cellular Response To Vasopressin -> Biodomain: Vasculature, Endolysosome, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Otic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Phosphatidylethanolamine Transfer Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Structural Stabilization, Synapse, Oxidative Stress, Vasculature
GO Term: Cellular Response To Nonylphenol -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Microglial Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Microglial Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Synapse
GO Term: Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Apoptosis
GO Term: Negative Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Dn2 Thymocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Dn3 Thymocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Dn4 Thymocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Axonemal Central Apparatus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Dna Synthesis Involved In Uv-Damage Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Bleb Assembly -> Biodomain: Apoptosis, Oxidative Stress, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Membrane Depolarization -> Biodomain: Synapse, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, DNA Repair, Proteostasis
GO Term: Negative Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Granulosa Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Regulation Of Vascular Associated Smooth Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Iodide Transmembrane Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Vasculature, Immune Response
GO Term: Negative Regulation Of Skeletal Muscle Hypertrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Skeletal Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Membrane Protein Proteolysis Involved In Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Substrate-Dependent Cell Migration, Cell Attachment To Substrate -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Pericyte Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Vcp-Npl4-Ufd1 Aaa Atpase Complex Assembly -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Polynucleotide Adenylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Polynucleotide Adenylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Zinc Ion Import Into Golgi Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Basement Membrane Assembly Involved In Embryonic Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Torc1 Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Torc1 Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Pyroptosome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Proline Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: L-Alanine Import Across Plasma Membrane -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Endolysosome, Lipid Metabolism
GO Term: Tricellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Bat3 Complex Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Structural Stabilization
GO Term: Negative Regulation Of Mitotic Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Mitotic Dna Damage Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Regulation Of Erad Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Erad Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Transcytosis -> Biodomain: Vasculature, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Transcytosis -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Gastro-Intestinal System Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Response To Desipramine -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Response To Methamphetamine Hydrochloride -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Response To Forskolin -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Forskolin -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Protein Localization To Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Myofibroblast Contraction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Myofibroblast Contraction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Colon Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Gastric Mucosal Blood Circulation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Small Intestine Smooth Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Protein Catabolic Process In The Vacuole -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Immune Response
GO Term: Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Positive Regulation Of Protein Localization To Actin Cortical Patch -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Response To Kainic Acid -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Proteostasis, Immune Response
GO Term: Regulation Of Protein Localization To Cell Periphery -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Positive Regulation Of Protein Localization To Cell Periphery -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Cell Cycle
GO Term: Endoplasmic Reticulum Mannose Trimming -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Golgi Apparatus Mannose Trimming -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Immune Response
GO Term: Mannose Trimming Involved In Glycoprotein Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Sodium Phosphate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To Angiotensin -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Response To L-Phenylalanine Derivative -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Rod Bipolar Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cone Retinal Bipolar Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Muscle System, Cell Signaling
GO Term: Positive Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Neuromuscular Junction Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Heparan Sulfate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Response To Thyroid Stimulating Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Thyroid Stimulating Hormone -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle, Endolysosome
GO Term: Response To Formaldehyde -> Biodomain: Oxidative Stress, Proteostasis, DNA Repair, Apoptosis, Immune Response
GO Term: Positive Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Melatonin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Vasculature, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Secretory Granule Organization -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Ventricle Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Xenophagy -> Biodomain: Autophagy, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Xenophagy -> Biodomain: Autophagy, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Response To D-Galactosamine -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Endolysosome, Mitochondrial Metabolism
GO Term: Dehydrodolichyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Gtp Binding -> Biodomain: Signal Transduction, Cell Signaling, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Tubulin Deacetylation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Negative Regulation Of T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Positive Regulation Of T-Circle Formation -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
