Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Metal Binding and Homeostasis, Autophagy
GO Term: Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Fat Pad Development -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Mammary Gland Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Autophagy
GO Term: Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Regulation Of Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Regulation Of Er To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Regulation Of Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Microtubule-Based Movement -> Biodomain: Tau Homeostasis, Cell Cycle, Autophagy, Synapse, Structural Stabilization
GO Term: Negative Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Mesenchymal-Epithelial Cell Signaling -> Biodomain: Signal Transduction, Cytoskeleton, Morphogenesis, Cell Adhesion, Development
GO Term: Mammary Gland Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Mammary Gland Bud Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Nipple Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Submandibular Salivary Gland Formation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Salivary Gland Cavitation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Vasculature
GO Term: Epithelial Cell Proliferation Involved In Salivary Gland Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Mesenchymal-Epithelial Signaling -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Salivary Gland Branching -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Branch Elongation Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Extracellular Matrix-Epithelial Cell Signaling -> Biodomain: Structural Stabilization, Extracellular Matrix Organization, Developmental Processes, Cell Communication, Cell Adhesion
GO Term: Embryonic Placenta Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Branching Involved In Labyrinthine Layer Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Epithelial Cell Morphogenesis Involved In Placental Branching -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Placenta Blood Vessel Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Lipid Metabolism
GO Term: Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Ureteric Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Ureteric Bud Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Mitochondrial Metabolism
GO Term: Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Primary Ureteric Bud Growth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Epithelial-Mesenchymal Signaling -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Immune Response
GO Term: Epithelial-Mesenchymal Cell Signaling -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Regulation Of Prostatic Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Prostatic Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulation Of Morphogenesis Of A Branching Structure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Myelination, Tau Homeostasis
GO Term: Cell Differentiation Involved In Salivary Gland Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Epithelial Cell Maturation Involved In Salivary Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Endoribonuclease Inhibitor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, DNA Repair
GO Term: Regulation Of Endoribonuclease Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Ribonuclease Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Cell Cycle, RNA Spliceosome
GO Term: Negative Regulation Of Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Deoxyribonuclease Inhibitor Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Trophoblast Giant Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: Chorio-Allantoic Fusion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Labyrinthine Layer Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Spongiotrophoblast Layer Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Labyrinthine Layer Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Syncytiotrophoblast Cell Differentiation Involved In Labyrinthine Layer Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Labyrinthine Layer Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Chorion Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Chorionic Trophoblast Cell Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Immune Response, Epigenetic
GO Term: Chorionic Trophoblast Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Eif2 Alpha Phosphorylation By Dsrna -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Prostate Gland Growth -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Epithelial-Mesenchymal Signaling Involved In Prostate Gland Development -> Biodomain: Developmental Process, Cell Signaling, Tissue Morphogenesis, Cell-Cell Communication, Organogenesis
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Prostate Gland Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Prostate Gland Epithelium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Prostate Gland Stromal Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Epithelial Cell Differentiation Involved In Prostate Gland Development -> Biodomain: Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Epithelial Cell Maturation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Mammary Gland Branching Involved In Thelarche -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Mammary Gland Branching Involved In Pregnancy -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Parental Behavior -> Biodomain: Reproductive Process, Metabolic Process, Cell Communication, Developmental Process, Response to Stimulus
GO Term: Tertiary Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Mammary Gland Alveolus Development -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Vasculature, Epigenetic
GO Term: Epithelial Cell Proliferation Involved In Mammary Gland Duct Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Branch Elongation Involved In Mammary Gland Duct Branching -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Vasculature, Autophagy
GO Term: Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Mammary Duct Terminal End Bud Growth -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Cell-Cell Signaling Involved In Mammary Gland Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Vasculature, Immune Response
GO Term: Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Proteostasis
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Mesenchymal Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Mesenchymal Smoothened Signaling Pathway Involved In Prostate Gland Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Regulation Of Cell Proliferation Involved In Tissue Homeostasis -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, DNA Repair
GO Term: Regulation Of Apoptosis Involved In Tissue Homeostasis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Hair Follicle Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Sweat Gland Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Cell Fate Commitment Involved In Formation Of Primary Germ Layer -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Epigenetic
GO Term: Epiblast Cell-Extraembryonic Ectoderm Cell Signaling -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Mesodermal To Mesenchymal Transition Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Autophagy, Epigenetic
GO Term: Random Inactivation Of X Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning -> Biodomain: Developmental Biology, Cell Signaling, Neuroscience, Cell Differentiation, Morphogenesis
GO Term: Lymphatic Endothelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Autophagy, Proteostasis
GO Term: Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Lymphatic Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Artery Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Venous Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Arterial Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Venous Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Immune Response
GO Term: Endothelial Cell Fate Specification -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Notch Signaling Pathway Involved In Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Proteostasis, Immune Response
GO Term: Branching Involved In Lymph Vessel Morphogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Establishment Of Glial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Myelination, Immune Response, Lipid Metabolism
GO Term: Semicircular Canal Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Myelination
GO Term: Anterior Semicircular Canal Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Lateral Semicircular Canal Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Apoptosis
GO Term: Semicircular Canal Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Semicircular Canal Fusion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Epigenetic
GO Term: Limb Epidermis Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Neural Plate Pattern Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Embryonic Camera-Type Eye Formation -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Cardiac Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Cardiac Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Heart Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Mesenchymal Cell Differentiation Involved In Lung Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Cardiac Pacemaker Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Sinoatrial Node Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Atrioventricular Node Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Cardiac Muscle Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome
GO Term: Atrioventricular Node Cell Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Atrioventricular Node Cell Fate Commitment -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Sinoatrial Node Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Vasculature
GO Term: Sinoatrial Node Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Vasculature
GO Term: His-Purkinje System Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Cardiac Fibroblast Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Vasculature
GO Term: Epicardium-Derived Cardiac Fibroblast Cell Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Epithelial To Mesenchymal Transition Involved In Cardiac Fibroblast Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Cardiac Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Cardiac Vascular Smooth Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Endocardial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Phospholipase D Inhibitor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Embryonic Heart Tube Left/Right Pattern Formation -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Left/Right Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Synapse
GO Term: Cell Migration Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Cardioblast Migration To The Midline Involved In Heart Field Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Coronary Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Coronary Vasculature Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Angiogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Vasculogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Cell Migration Involved In Coronary Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cell Migration Involved In Coronary Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Coronary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Lipid Tube -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Lipid Tube Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Lipid Tube Assembly Involved In Organelle Fusion -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Fungicide -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Kidney Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Cell Differentiation Involved In Kidney Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Cell Proliferation Involved In Kidney Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Vasculature
GO Term: Common Bile Duct Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Lipid Metabolism, Cell Cycle
GO Term: Gallbladder Development -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Oxidative Stress, Cell Cycle
GO Term: Snrna Import Into Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Hepatoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Proteostasis
GO Term: Membrane Organization -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Membrane Fusion -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Vasculature
GO Term: Cardiac Muscle Tissue Regeneration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Structural Stabilization, Vasculature
GO Term: Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Eyelid Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Epithelial Cell Differentiation Involved In Mammary Gland Alveolus Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Endodermal Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Visceral Serous Pericardium Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
