Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Thermoception -> Biodomain: Sensory System, Signal Transduction, Neuronal Signaling, Ion Transport, Stress Response
GO Term: Equilibrioception -> Biodomain: Proprioception, Sensory Processing, Neuronal Signaling, Synapse, Structural Stabilization
GO Term: Detection Of Temperature Stimulus Involved In Thermoception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Vasculature
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Myelination, Oxidative Stress
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Sensory Perception Of Touch -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Touch -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Detection Of Mechanical Stimulus -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Dimethylallyl Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Quaternary Ammonium Group Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Epigenetic, Oxidative Stress
GO Term: Nitric-Oxide Synthase Binding -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Proteostasis
GO Term: Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Hsp27 Protein Binding -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization
GO Term: Microtubule Plus-End Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Synapse, Proteostasis
GO Term: Microtubule Minus-End Binding -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Autophagy
GO Term: Microtubule Sliding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Microtubule Severing -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Actin Filament Severing -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Synapse
GO Term: Actin Filament Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Immune Response
GO Term: Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Vasculature
GO Term: Protein Kinase A Binding -> Biodomain: Synapse, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Mitogen-Activated Protein Kinase Binding -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Oxidative Stress, Autophagy
GO Term: Gtpase Binding -> Biodomain: Signal Transduction, Molecular Switch, Protein Complex, Cell Communication, Cell Cycle
GO Term: Rho Gdp-Dissociation Inhibitor Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Chiasma Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Mrna Transport -> Biodomain: Synapse, Myelination, Proteostasis, Cell Cycle, Immune Response
GO Term: Rrna Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Apoptosis
GO Term: Trna Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Nucleic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Rna Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Epigenetic, Autophagy, Immune Response
GO Term: Regulation Of Endosome Size -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Negative Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Cell Cycle, Proteostasis
GO Term: Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Vasculature
GO Term: Positive Regulation Of Secretion -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Secretion -> Biodomain: Proteostasis, Autophagy, Immune Response, Endolysosome, Synapse
GO Term: Regulation Of Transport -> Biodomain: Vasculature, Synapse, Immune Response, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Transport -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Transport -> Biodomain: Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Negative Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Synapse
GO Term: Positive Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Synapse
GO Term: Negative Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Cell Cycle, Immune Response, Synapse, Proteostasis, Autophagy
GO Term: Nf-Kappab Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dihydrobiopterin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nuclear Membrane Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Unfolded Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: 'De Novo' Cotranslational Protein Folding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: 'De Novo' Post-Translational Protein Folding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Protein-Folding Chaperone Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Constitutive Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Developmental Process -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Positive Regulation Of Developmental Process -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Atpase Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Sugar Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Hepoxilin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Rna Polymerase Ii Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Immune Response, Autophagy
GO Term: Negative Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Positive Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Endolysosome
GO Term: Regulation Of Cellular Component Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Cellular Component Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cellular Component Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Chaperone-Mediated Protein Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Nk T Cell Activation -> Biodomain: Immune Response, Cytokine Signaling, Cell Activation, Cell Differentiation, Cell Proliferation
GO Term: Negative Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Autophagy
GO Term: Metal Cation:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Striated Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Muscle Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Glucose 6-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Xylitol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Xylitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Nuclear Export -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Nuclear Transport -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair
GO Term: Import Into Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Regulation Of Phosphorus Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Meiotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Vitamin Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Protein Insertion Into Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Protein Insertion Into Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Phosphoprotein Binding -> Biodomain: Proteostasis, Signal Transduction, Epigenetic, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Regulation Of Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Mitotic Spindle Disassembly -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Meiotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Maintenance Of Location -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Regulation Of Multicellular Organismal Process -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Epigenetic, Autophagy
GO Term: Positive Regulation Of Multicellular Organismal Process -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Synapse
GO Term: Negative Regulation Of Multicellular Organismal Process -> Biodomain: Apoptosis, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Synapse
GO Term: Positive Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Rna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Positive Regulation Of Rna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Mitotic Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Meiotic Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Protein Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Myelination, APP Metabolism
GO Term: Protein Complex Oligomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Depolymerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Protein Tetramerization -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Mono-Olein Transacylation Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Diolein Transacylation Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Cp2 Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Chromosome Organization -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Negative Regulation Of Sequestering Of Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Metal Binding and Homeostasis, Cell Cycle
GO Term: Cell Tip -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Myelination
GO Term: Nad Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Protein Homotetramerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Heterotetramerization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Protein Heterooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Apoptosis
GO Term: Nuclear Pore Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Establishment Of Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Establishment Of Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Establishment Of Meiotic Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Epigenetic
GO Term: Establishment Of Meiotic Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Autophagy, Apoptosis
GO Term: Cell Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cell Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Establishment Of Chromosome Localization -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Meiotic Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Male Meiosis Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Autophagy
GO Term: Female Meiosis Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Apoptosis
GO Term: Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Autophagy
GO Term: Meiotic Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Positive Regulation Of Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Ligase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Proprioception Involved In Equilibrioception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Autophagy
GO Term: Cellular Response To Potassium Ion Starvation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Muscle Alpha-Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Fatz Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Serotonin Binding -> Biodomain: Synapse, Proteostasis, Myelination, Lipid Metabolism, Oxidative Stress
GO Term: Epinephrine Binding -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Norepinephrine Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Histamine Binding -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Oxidative Stress
GO Term: Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Proteostasis
