Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Myelination, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Autophagy
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Limbic System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Myelination, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Endolysosome
GO Term: Amygdala Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Vasculature
GO Term: Hippocampus Development -> Biodomain: Synapse, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Mammillary Body Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Endolysosome
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Endolysosome
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Structural Stabilization  
Synapse  
Myelination  
Autophagy  
Apoptosis
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Neural Development, Stem Cell Biology, Signaling Pathways, Developmental Biology, Gene Regulation
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination  
Lipid Metabolism  
Structural Stabilization  
Epigenetic  
Proteostasis
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination  
Synapse  
Epigenetic  
Cell Cycle  
Structural Stabilization
GO Term: Glial Cell Fate Commitment -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Epigenetic
GO Term: Glial Cell Development -> Biodomain: Myelination  
Synapse  
Immune Response  
Cell Cycle  
Structural Stabilization
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Cell Cycle
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization  
Synapse  
Cell Cycle  
Autophagy  
Apoptosis
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Tau Homeostasis
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Proteostasis
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Myelination
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Developmental Process, Nervous System Development, Cell Migration, Brain Region Development, Cellular Process
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse  
Myelination  
Structural Stabilization  
Autophagy  
Proteostasis
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Immune Response
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Developmental Process, Cell Motility, Nervous System Development, Neurogenesis, Gliogenesis
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization  
Synapse  
Proteostasis  
Autophagy  
Cell Cycle
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse  
Structural Stabilization  
Cell Cycle  
Proteostasis  
Tau Homeostasis
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Autophagy
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization
Cell Cycle
Synapse
Autophagy
Proteostasis
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse  
Structural Stabilization  
Cell Cycle  
Autophagy  
Proteostasis
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse  
Proteostasis  
Structural Stabilization  
Epigenetic  
Cell Cycle
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse  
Proteostasis  
Structural Stabilization  
Autophagy  
Lipid Metabolism
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Cell Migration, Neurogenesis, Neuronal Signaling, Developmental Biology
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Myelination, Synapse, Epigenetic, DNA Repair
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Synapse, Myelination, Structural Stabilization, Proteostasis
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Structural Stabilization  
Proteostasis  
Synapse  
Epigenetic  
Cell Cycle
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Proteostasis
GO Term: Hypothalamus Cell Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Cell Cycle, Myelination, Structural Stabilization, Autophagy
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Cell Differentiation, Developmental Process, Neurogenesis, Gliogenesis, Neural Development
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, DNA Repair
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse  
Cell Cycle  
Structural Stabilization  
Proteostasis  
Autophagy
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Myelination, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Neurogenesis, Neural Development, Cell Differentiation, Developmental Process
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Vasculature
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Epigenetic, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Synapse, Myelination
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Structural Stabilization, Myelination, Cell Cycle, Epigenetic, Immune Response
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Epigenetic
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Nervous System Development, Developmental Biology, Pattern Formation, Embryonic Development, Morphogenesis
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Synapse, Myelination, Structural Stabilization, Proteostasis
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle  
Developmental Process  
Nervous System Development  
Neurogenesis  
Stem Cell Proliferation
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Myelination
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Myelination, Proteostasis
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Synapse
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle  
Autophagy  
Epigenetic  
Structural Stabilization  
Apoptosis
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Myelination, Cell Cycle, Proteostasis, Endolysosome
Saved results to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.0/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.0/runtime_log.csv
