Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Initiation Of Primordial Ovarian Follicle Growth -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, Unknown
GO Term: Primary Ovarian Follicle Growth -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Preantral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Structural Stabilization
GO Term: Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Cumulus Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Ovarian Cumulus Expansion -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, Unknown
GO Term: Ovarian Follicle Atresia -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Luteinization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Luteolysis -> Biodomain: Apoptosis, Cell Cycle, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Oocyte Growth -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Oocyte Maturation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Regulation Of Cell Growth By Extracellular Stimulus -> Biodomain: Cell Cycle, Immune Response, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Fatty Acid Alpha-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Protozoan -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Cholesterol 25-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Autophagy
GO Term: Branching Involved In Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Immune Response
GO Term: Vasculogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Lactosylceramide Biosynthetic Process -> Biodomain: Glycosphingolipid Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Ganglioside Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Proteostasis
GO Term: Ganglioside Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Globoside Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Microtubule Bundle Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Medium-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Proteostasis, Unknown, Lipid Metabolism, Oxidative Stress
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sour Taste -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Gi/O-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Autophagy
GO Term: Gq/11-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Vasculature, Mitochondrial Metabolism
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gs -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gi/Go -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Trace-Amine Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Angiotensin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Angiotensin Type I Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Peptide Yy Receptor Activity -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Pancreatic Polypeptide Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Urotensin Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Adrenomedullin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Neuromedin U Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: G Protein-Coupled Adenosine Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Autophagy
GO Term: Purinergic Nucleotide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Autophagy
GO Term: Growth Hormone Secretagogue Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Virus Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: G Protein-Coupled Adp Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Nociceptin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Unknown
GO Term: Cysteinyl Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Leukotriene B4 Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Pituitary Adenylate Cyclase-Activating Polypeptide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Autophagy
GO Term: Calcitonin Gene-Related Peptide Receptor Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Apoptosis
GO Term: Adenylate Cyclase Inhibiting G Protein-Coupled Glutamate Receptor Activity -> Biodomain: Synapse, APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Group Ii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Group Iii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Unknown, Immune Response, Vasculature
GO Term: Proteinase-Activated Receptor Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Osteoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Fibrillar Center -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Dense Fibrillar Component -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Unknown
GO Term: Granular Component -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Peptide Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Eye Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Synapse
GO Term: Urogenital System Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Metanephros Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Ureteric Bud Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Unknown, Mitochondrial Metabolism
GO Term: Temperature Homeostasis -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Conditioned Taste Aversion -> Biodomain: Synapse, Unknown, Immune Response, Epigenetic, Proteostasis
GO Term: Behavioral Fear Response -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: G Protein-Coupled Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Alpha-N-Acetylgalactosaminide Alpha-2,6-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Ameboidal-Type Cell Migration -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Vasculature, Apoptosis
GO Term: Acrosomal Vesicle -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Atpase Activator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Male Germ Cell Nucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Female Germ Cell Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Acrosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Long-Chain Fatty Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Intracellular Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Trna 3'-Terminal Cca Addition -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Unknown
GO Term: Sialate O-Acetylesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Trna 5'-Leader Removal -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Pseudophosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Histamine Metabolic Process -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Histamine Biosynthetic Process -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Oxidative Stress
GO Term: Histamine Catabolic Process -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Gastric Acid Secretion -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Gastrin-Induced Gastric Acid Secretion -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: In Utero Embryonic Development -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Epigenetic, Structural Stabilization
GO Term: Gastrulation With Mouth Forming Second -> Biodomain: Structural Stabilization, Unknown, Cell Cycle, Epigenetic, Proteostasis
GO Term: Formation Of Primary Germ Layer -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Ectoderm Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Endoderm Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Immune Response, Autophagy
GO Term: Mesoderm Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Unknown
GO Term: Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Cell Fate Determination -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Mesodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Immune Response
GO Term: Endodermal Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Unknown
GO Term: Ectodermal Cell Fate Commitment -> Biodomain: Epigenetic, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Autophagy
GO Term: L-Amino-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Conversion Of Seryl-Trnasec To Selenocys-Trnasec -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Stress Fiber -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Ruffle -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Oxidative Stress
GO Term: Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ceramide Kinase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Immune Response, Endolysosome
GO Term: 2'-5'-Oligoadenylate Synthetase Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Formation Of Cytoplasmic Translation Initiation Complex -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Unknown
GO Term: Galactosylceramide Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Synapse, Endolysosome
GO Term: Mrna M(6)A Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy
GO Term: Prenylcysteine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Epigenetic, Proteostasis
GO Term: Morphogenesis Of A Polarized Epithelium -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Cell Cycle
GO Term: Sex Chromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Unknown
GO Term: Barr Body -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Unknown
GO Term: Xy Body -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Unknown
GO Term: Photoreceptor Outer Segment -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Eye Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Neural Crest Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Myelination, Immune Response, Cell Cycle
GO Term: Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Vasculature
GO Term: Somite Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Retinal Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Organ Induction -> Biodomain: Development, Organogenesis, Cell Differentiation, Morphogenesis, Pattern Specification
GO Term: Aminocarboxymuconate-Semialdehyde Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Beta-Alanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Beta-Alanine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Proteostasis
GO Term: Morphogenesis Of A Branching Structure -> Biodomain: Vasculature, Structural Stabilization, Synapse, Endolysosome, Immune Response
GO Term: Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Mitochondrial Metabolism
GO Term: Membrane Raft Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Membrane Raft Polarization -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Synapse, Immune Response, Endolysosome
GO Term: Establishment Of Natural Killer Cell Polarity -> Biodomain: Immune Response, Synapse, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Immunological Synapse -> Biodomain: Immune Response, Synapse, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Synapse, Endolysosome, Proteostasis
GO Term: Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Leukocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: T Cell Homeostatic Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Natural Killer Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Neutrophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: B Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Phosphotyrosine Residue Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, DNA Repair
GO Term: Prostaglandin J Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Phosphatidylserine Binding -> Biodomain: Lipid Metabolism, Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Unknown, Oxidative Stress, Proteostasis
GO Term: Polymeric Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Igm Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Polymeric Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: Positive Regulation Of Type Iia Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Positive Regulation Of Type Iii Hypersensitivity -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Serotonin Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Histamine Secretion -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Synapse
GO Term: Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Mesonephros Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Blastocyst Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Blastocyst Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Unknown
GO Term: Inner Cell Mass Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, DNA Repair, Autophagy
GO Term: Inner Cell Mass Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Inner Cell Mass Cellular Morphogenesis -> Biodomain: Structural Stabilization, Stem Cell Function, Developmental Biology, Cell Cycle, Apoptosis
GO Term: Trophectodermal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Apoptosis
GO Term: Trophectodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Unknown, Structural Stabilization, Mitochondrial Metabolism
GO Term: Trophectodermal Cellular Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Unknown, Apoptosis
GO Term: Blastocyst Growth -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Inner Cell Mass Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Trophectodermal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Blastocyst Hatching -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Autophagy, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Embryonic Epithelial Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Neural Plate Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Neural Plate Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Synapse
GO Term: Neural Tube Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Unknown
GO Term: Neural Fold Formation -> Biodomain: Structural Stabilization, Epigenetic, Unknown, Synapse, Cell Cycle
GO Term: Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Phagolysosome Assembly -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Opsonin Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Opsonin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Complement Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Complement Component C1Q Complex Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Complement Component C3A Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Endolysosome
GO Term: Complement Component C3B Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Complement Component C4B Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Complement Component C4B Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Nk T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Nk T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: (1->3)-Beta-D-Glucan Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Lipopolysaccharide Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Response To Yeast -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Detection Of Yeast -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Mullerian Duct Regression -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Epigenetic, Endolysosome
GO Term: Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Immune Response, Synapse, Autophagy
GO Term: Nucleoside Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Immune Response
GO Term: Purine Nucleoside Binding -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Apoptosis, Oxidative Stress
