Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Chromosome -> Biodomain: Epigenetic,DNA Repair,Synapse,Oxidative Stress,Proteostasis
GO Term: Telomerase Holoenzyme Complex -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Synapse, Proteostasis
GO Term: Chiasma -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Late Recombination Nodule -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Synapse
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Perichromatin Fibrils -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Autophagy
GO Term: Nucleolus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Nucleolus Organizer Region -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Rna Polymerase I Complex -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Synapse
GO Term: Cytoplasm -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Endolysosome
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Immune Response
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Late Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Vasculature
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Vacuole -> Biodomain: Autophagy, Endolysosome, Proteostasis, Synapse, Lipid Metabolism
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Oxidative Stress
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Synapse
GO Term: Peroxisome -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Peroxisomal Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Peroxisomal Matrix -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Synapse, Oxidative Stress, Apoptosis
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Autophagy, Oxidative Stress
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Apparatus -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Stack -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Lumen -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Medial Cisterna -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Golgi-Associated Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cis-Golgi Network -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Trans-Golgi Network -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Centriole -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Microtubule Organizing Center -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Aster -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Actomyosin Contractile Ring -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Polar Microtubule -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Cytosol -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Endolysosome
GO Term: Hemoglobin Complex -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Oxidative Stress
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Oxidative Stress
GO Term: Ribosome -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Nuclear Cap Binding Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, DNA Repair
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: Epigenetic, RNA Spliceosome, Synapse, Proteostasis, DNA Repair
GO Term: Mrna Cleavage Factor Complex -> Biodomain: Synapse, Epigenetic, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.5/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.5/runtime_log.csv
