Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: 1-Acylglycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: L-Glutamate Gamma-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 1,4-Alpha-Glucan Branching Enzyme Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis, Unknown
GO Term: 2-Acylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Autophagy
GO Term: N-Acylsphingosine Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Myelination, Autophagy
GO Term: Short-Chain 2-Methyl Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Beta-Hydroxy-Delta5-Steroid Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: 3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Hydroxybutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Hydroxyisobutyryl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Unknown, Oxidative Stress, Autophagy
GO Term: Branched-Chain 2-Oxo Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Oxo-5-Alpha-Steroid 4-Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Autophagy, Oxidative Stress
GO Term: 4-Hydroxyphenylpyruvate Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 5-Aminolevulinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 6-Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: 6-Phosphofructo-2-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: 6-Pyruvoyltetrahydropterin Synthase Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Unknown
GO Term: Adp-Ribosylarginine Hydrolase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Amp Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Atp:Adp Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Unknown
GO Term: Atp Citrate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Cell Cycle
GO Term: Protein C-Terminal Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Cdp-Diacylglycerol-Inositol 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Cdp-Diacylglycerol-Serine O-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Ctp Synthase Activity -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic, Lipid Metabolism
GO Term: D-Amino-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dna (Cytosine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Dna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dna-Directed Rna Polymerase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Deoxyribodipyrimidine Photo-Lyase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Alkylbase Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Apoptosis
GO Term: Methylated-Dna-[Protein]-Cysteine S-Methyltransferase Activity -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Dna Ligase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dna Ligase (Atp) Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Dna Nucleotidylexotransferase Activity -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Dna (6-4) Photolyase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Epigenetic, Apoptosis
GO Term: Dna Topoisomerase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Apoptosis
GO Term: Dna Topoisomerase Type I (Single Strand Cut, Atp-Independent) Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Fmn Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Gmp Reductase Activity -> Biodomain: Unknown, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair
GO Term: Gmp Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, DNA Repair
GO Term: Gmp Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Gpi-Anchor Transamidase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Structural Stabilization
GO Term: Gtpase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Vasculature
GO Term: G Protein Activity -> Biodomain: Signal Transduction, Cell Signaling, Molecular Function Regulator, Intracellular Signaling Cascade, Protein Activity Regulation
GO Term: Gtp Cyclohydrolase I Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Imp Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Imp Dehydrogenase Activity -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Immune Response
GO Term: L-Iditol 2-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: L-Iduronidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: L-Serine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: N-Acetylgalactosamine-4-Sulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: N-Acetylglucosamine-1-Phosphodiester Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: N-Acetyllactosamine Synthase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Autophagy, Endolysosome
GO Term: (N-Acetylneuraminyl)-Galactosylglucosylceramide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Myelination, Proteostasis
GO Term: N4-(Beta-N-Acetylglucosaminyl)-L-Asparaginase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Nad+ Poly-Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Nad+ Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nad+ Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nad+ Nucleosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nadh Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nad(P)H Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair
GO Term: Nad(P)+ Transhydrogenase (Si-Specific) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, DNA Repair, Unknown
GO Term: Nadph-Hemoprotein Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nadph:Quinone Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Rna-3'-Phosphate Cyclase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Rna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Immune Response, Cell Cycle
GO Term: Rna-Directed Rna Polymerase Activity -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Unknown, Proteostasis
GO Term: Rna Ligase (Atp) Activity -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Autophagy, Unknown
GO Term: (S)-2-Hydroxy-Acid Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Udp-N-Acetylglucosamine 4-Epimerase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Immune Response, Unknown
GO Term: Udp-N-Acetylglucosamine-Dolichyl-Phosphate N-Acetylglucosaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Udp-N-Acetylglucosamine-Lysosomal-Enzyme N-Acetylglucosaminephosphotransferase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Udp-N-Acetylglucosamine Diphosphorylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Epigenetic, Myelination
GO Term: Udp-Glucose 4-Epimerase Activity -> Biodomain: Glycosylation, Carbohydrate Metabolism, Protein Glycosylation, Metabolic Pathways, Mitochondrial Metabolism
GO Term: Udp-Glucose 6-Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Udp-Glucose:Glycoprotein Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Utp:Glucose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Unknown
GO Term: Acetolactate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Acetyl-Coa C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Acetyl-Coa C-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Acetyl-Coa Carboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Acetylcholinesterase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Acid Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Aconitate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acylphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Adenine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, DNA Repair, Epigenetic
GO Term: Adenosine Deaminase Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Adenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Adenosylhomocysteinase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Adenosylmethionine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Adenylate Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Cell Cycle, Autophagy
GO Term: Amp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: N6-(1,2-Dicarboxyethyl)Amp Amp-Lyase (Fumarate-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Adenylosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Adenylylsulfate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: L-Alanine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Lipid Metabolism
GO Term: Alcohol Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: 3-Chloroallyl Aldehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Aldehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Aldehyde Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism
GO Term: Aldose Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Aldose 1-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Proteostasis, Oxidative Stress, Autophagy
GO Term: Alkaline Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Allantoicase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Amidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: L-Glutamate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: L-Aminoadipate-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Amidophosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Peptidyl-Trna Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Aminoacylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Aminomethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Unknown
GO Term: Apyrase Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Arachidonate 5-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Arachidonate 12(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Arginase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Vasculature
GO Term: Argininosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Argininosuccinate Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Arginyl-Trna--Protein Transferase Activity -> Biodomain: Proteostasis, Amino Acid Metabolism, RNA Binding/Processing, Mitochondrial Metabolism, Unknown
GO Term: Aromatic-L-Amino-Acid Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Unknown, Oxidative Stress
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Arylformamidase Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Arylesterase Activity -> Biodomain: Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Arylsulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Lipid Metabolism, Unknown, Autophagy, Mitochondrial Metabolism
GO Term: Asparaginase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Biotin Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Unknown, Oxidative Stress
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Unknown, Immune Response
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Carbonate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Synapse, Oxidative Stress
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Unknown
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Choline Kinase Activity -> Biodomain: Lipid Metabolism, Epigenetic, APP Metabolism, Mitochondrial Metabolism, Cell Cycle
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Unknown
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Proteostasis
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Cell Cycle
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Synapse, Oxidative Stress, Immune Response
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Autophagy
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Cytidine Deaminase Activity -> Biodomain: Immune Response, Epigenetic, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Glycogen Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Unknown
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Deoxycytidine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Autophagy, Apoptosis
