Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Lipid Metabolism, Structural Stabilization
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Autophagy
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Synapse, Apoptosis
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Vasculature, Apoptosis
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Immune Response, Tau Homeostasis, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Tau Homeostasis, Synapse
GO Term: Protein Kinase Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Protein Histidine Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Immune Response, Apoptosis
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Oxidative Stress
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Vasculature, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Phosphorylase Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Synapse
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Tau Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Vasculature, Proteostasis, Synapse, Oxidative Stress, Tau Homeostasis
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Tau Homeostasis, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Proteostasis,Synapse,APP Metabolism,Lipid Metabolism,Autophagy
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Tau Homeostasis
GO Term: Jun Kinase Activity -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Map Kinase Activity -> Biodomain: Oxidative Stress, Tau Homeostasis, Apoptosis, Immune Response, Proteostasis
GO Term: Map Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Tau Homeostasis, Proteostasis
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Tau Homeostasis, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Immune Response, APP Metabolism
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Immune Response, Oxidative Stress
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis, Endolysosome
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Vasculature, Proteostasis, Metal Binding and Homeostasis
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Tau Homeostasis, Synapse, Apoptosis, Immune Response, Proteostasis
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Immune Response, APP Metabolism
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy, Proteostasis
GO Term: Ribokinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Apoptosis, Autophagy
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Spermidine Synthase Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Tau Homeostasis
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Synapse
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Threonine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Threonine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis
GO Term: Thymidine Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dtmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Thymidylate Synthase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Transaldolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Transketolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Transposase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, APP Metabolism, Synapse, Oxidative Stress, Tau Homeostasis
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis, Lipid Metabolism
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Tau Homeostasis
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Tau Homeostasis
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, APP Metabolism, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Tau Homeostasis
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, APP Metabolism, Oxidative Stress, Endolysosome
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, Oxidative Stress, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Oxidative Stress, Apoptosis
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Synapse, Apoptosis
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Apoptosis, APP Metabolism
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Immune Response, Autophagy
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Uridine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Uridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Endolysosome
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: D-Xylulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Enzyme Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Autophagy, Oxidative Stress
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Synapse
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.0/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.0/runtime_log.csv
