Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Limbic System Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Substantia Nigra Development -> Biodomain: Tau Homeostasis, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Immune Response
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Mammillary Body Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Structural Stabilization, Endolysosome
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Neuron Fate Commitment, Neurogenesis, Cell Differentiation, Cell Morphogenesis
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Glial Cell Fate Specification -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Myelination
GO Term: Glial Cell Fate Commitment -> Biodomain: Immune Response, Endolysosome, Synapse, Structural Stabilization, Myelination
GO Term: Glial Cell Development -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Neuron Development, Neurogenesis and Neuronal Development, Cellular Component Organization, Signal Transduction
GO Term: Thalamus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Cerebral Cortex Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Synapse
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Endolysosome, Structural Stabilization
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, APP Metabolism, Endolysosome, Synapse
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Immune Response
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Immune Response, Proteostasis
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Autophagy
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Immune Response, Myelination, Proteostasis
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Proteostasis
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Immune Response
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Immune Response
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Tau Homeostasis
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Immune Response, Autophagy
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Neurogenesis, Cell Migration, Neuronal Development, Structural Stabilization
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Immune Response, Endolysosome
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Endolysosome, Immune Response
GO Term: Cell Proliferation In Forebrain -> Biodomain: Developmental Biology, Neurogenesis, Stem Cell Biology, Cell Cycle, Neurodegeneration
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Developmental, Neurogenesis, Stem Cells, Neuronal Structure and Function
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Oxidative Stress, Mitochondrial Metabolism
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, APP Metabolism, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Cell Cycle, Proteostasis, Structural Stabilization, Immune Response
GO Term: Hypothalamus Development -> Biodomain: Structural Stabilization, Central Nervous System, Limbic System, System Development, Neurodegenerative Diseases
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Tau Homeostasis
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Tau Homeostasis, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Immune Response, Structural Stabilization, Apoptosis
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Developmental Process, Myelination, Proteostasis
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Tau Homeostasis
GO Term: Forebrain Regionalization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Endolysosome
GO Term: Forebrain Generation Of Neurons -> Biodomain: Cell Cycle, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Synapse, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Neurogenesis, Developmental Process, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Cell Cycle, Apoptosis
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Forebrain Cell Migration -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Immune Response, Endolysosome
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Cell Cycle, Tau Homeostasis, Immune Response, Structural Stabilization
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Forebrain Astrocyte Development -> Biodomain: Immune Response, Proteostasis, Vasculature, Synapse, Endolysosome
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Proteostasis, Endolysosome
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Immune Response, Proteostasis
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Myelination
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, APP Metabolism, Developmental Process
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Cell Cycle, Endolysosome
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Neurogenesis, Cell Signaling Pathways, Neurodevelopmental Processes, Cellular Communication
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Synapse, Immune Response
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Tau Homeostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.9/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.9/runtime_log.csv
