Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Lipid Metabolism, Autophagy
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Autophagy, Epigenetic
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Structural Stabilization, Vasculature, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Catalytic Activity, Metal Binding and Homeostasis, Proteostasis
GO Term: Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Protein Farnesyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Proteostasis, Epigenetic, Immune Response, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Protein Histidine Kinase Activity -> Biodomain: Proteostasis, Immune Response, Oxidative Stress, Apoptosis, Autophagy
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Cell Cycle, Apoptosis
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Apoptosis
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Phosphorylase Kinase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Metal Binding and Homeostasis, Proteostasis, Tau Homeostasis
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Oxidative Stress
GO Term: Jun Kinase Activity -> Biodomain: Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis, Immune Response
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Map Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Map Kinase Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Cell Cycle
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Cell Cycle
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Immune Response, Cell Cycle, Apoptosis, Vasculature
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Synapse
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Tau Homeostasis
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Synapse, Autophagy
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Immune Response, Synapse, Cell Cycle, Structural Stabilization
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress, Lipid Metabolism
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ribokinase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, DNA Repair, Lipid Metabolism
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Cell Cycle, DNA Repair, Mitochondrial Metabolism
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Synapse, Lipid Metabolism
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Spermidine Synthase Activity -> Biodomain: Autophagy, Cell Cycle, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Coenzyme Metabolism, Sulfur Compound Metabolism, Cellular Metabolism
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Threonine Deaminase Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Threonine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Thymidine Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism
GO Term: Dtmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Thymidylate Synthase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Transaldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Transketolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Cell Cycle
GO Term: Transposase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, RNA Spliceosome
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Structural Stabilization
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, RNA Spliceosome
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Metal Binding and Homeostasis
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Autophagy
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Protein Synthesis, Translation, Mitochondrial Metabolism, Metabolism, Amino Acid Metabolism
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Structural Stabilization
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, RNA Spliceosome
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Amino Acid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Redox Metabolism
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Protein Degradation, Autophagy, Endolysosome
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Uridine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Uridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: D-Xylulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Enzyme Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Synapse, Lipid Metabolism, Autophagy
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.1/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.1/runtime_log.csv
