Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Glial Cell Fate Commitment -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Glial Cell Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Cell Projection Organization, Cell Morphogenesis
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Developmental Process, Structural Stabilization, Cell Migration, Myelination
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Epigenetic, Proteostasis
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Developmental Process, Cell Migration, Forebrain Development, Nervous System Development
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Epigenetic, Autophagy
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Cell Proliferation In Forebrain -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Neurogenesis, Structural Stabilization, Epigenetic, Synapse
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Cell Cycle, Epigenetic
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Synapse, Proteostasis
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Forebrain Neuroblast Division -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Synapse, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Epigenetic, Proteostasis
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Cell Cycle, Nervous System Development, Structural Stabilization, Epigenetic
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Neurogenesis, Cell Differentiation, Neurodevelopment, Developmental Process
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Endolysosome
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Developmental Process, Neurogenesis, Cell Differentiation, Forebrain Development
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Structural Stabilization, Myelination, Epigenetic, Synapse, Cell Cycle
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Epigenetic
GO Term: Neural Tube Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Developmental Process, Epigenetic
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Endolysosome
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Proteostasis
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Epigenetic, Synapse
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.9/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.9/runtime_log.csv
