Running with TEMP=0.5, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Apoptosis
GO Term: Radial Spoke -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Radial Spoke Head -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Radial Spoke Stalk -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Dermatan 4-Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Amyloid-Beta Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Ovulation From Ovarian Follicle -> Biodomain: Reproductive Process, Structural Stabilization, Hormone Signaling, Cell Cycle, Apoptosis
GO Term: Ovarian Follicle Rupture -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Initiation Of Primordial Ovarian Follicle Growth -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Primary Ovarian Follicle Growth -> Biodomain: Cell Cycle, Structural Stabilization, Endolysosome, Proteostasis, Vasculature
GO Term: Preantral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Cumulus Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Ovarian Cumulus Expansion -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Ovarian Follicle Atresia -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Luteinization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis
GO Term: Luteolysis -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Oocyte Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Oocyte Maturation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Cell Growth -> Biodomain: Cell Cycle, Immune Response, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Regulation Of Cell Growth By Extracellular Stimulus -> Biodomain: Cell Cycle, Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Fatty Acid Alpha-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Protozoan -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Cholesterol 25-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Branching Involved In Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Lactosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Ganglioside Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Oxidative Stress
GO Term: Ganglioside Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Endolysosome, Proteostasis
GO Term: Globoside Biosynthetic Process -> Biodomain: Lipid Metabolism, Glycosphingolipid Metabolism, Myelination, Cell Membrane Biogenesis, Glycan Biosynthesis
GO Term: Microtubule Bundle Formation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Medium-Chain Fatty Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sour Taste -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Gi/O-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Vasculature
GO Term: Gq/11-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Vasculature, Immune Response
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gs -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gi/Go -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Trace-Amine Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Angiotensin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Endolysosome, Immune Response, Proteostasis
GO Term: Angiotensin Type I Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Peptide Yy Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Pancreatic Polypeptide Receptor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Urotensin Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Adrenomedullin Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Neuromedin U Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: G Protein-Coupled Adenosine Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Purinergic Nucleotide Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Autophagy
GO Term: Growth Hormone Secretagogue Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Virus Receptor Activity -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Apoptosis, Proteostasis
GO Term: G Protein-Coupled Adp Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Synapse
GO Term: Nociceptin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Apoptosis
GO Term: Cysteinyl Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Leukotriene B4 Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Apoptosis, Oxidative Stress
GO Term: Pituitary Adenylate Cyclase-Activating Polypeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Calcitonin Gene-Related Peptide Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Adenylate Cyclase Inhibiting G Protein-Coupled Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Group Ii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Group Iii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Proteinase-Activated Receptor Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Autophagy
GO Term: Osteoblast Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Fibrillar Center -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Dense Fibrillar Component -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Granular Component -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Peptide Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Apoptosis
GO Term: Eye Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Apoptosis
GO Term: Urogenital System Development -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Metanephros Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Ureteric Bud Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Vasculature
GO Term: Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Vasculature
GO Term: Temperature Homeostasis -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis
GO Term: Fever Generation -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Conditioned Taste Aversion -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Behavioral Fear Response -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: G Protein-Coupled Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Alpha-N-Acetylgalactosaminide Alpha-2,6-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Synapse, Proteostasis, Structural Stabilization
GO Term: Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ameboidal-Type Cell Migration -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Acrosomal Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response
GO Term: Atpase Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Male Germ Cell Nucleus -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Female Germ Cell Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Acrosome Assembly -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Intracellular Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Trna 3'-Terminal Cca Addition -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, Epigenetic
GO Term: Sialate O-Acetylesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Trna 5'-Leader Removal -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Pseudophosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Cell Cycle
GO Term: Histamine Metabolic Process -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Histamine Biosynthetic Process -> Biodomain: Immune Response, Mitochondrial Metabolism, Synapse, Vasculature, Oxidative Stress
GO Term: Histamine Catabolic Process -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Gastric Acid Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gastrin-Induced Gastric Acid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: In Utero Embryonic Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Gastrulation With Mouth Forming Second -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Formation Of Primary Germ Layer -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, RNA Spliceosome, Lipid Metabolism
GO Term: Ectoderm Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Vasculature
GO Term: Endoderm Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Mesoderm Formation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Cell Fate Specification -> Biodomain: Developmental Processes, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Cell Fate Determination -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Mesodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Autophagy
GO Term: Endodermal Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Ectodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: L-Amino-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Conversion Of Seryl-Trnasec To Selenocys-Trnasec -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Stress Fiber -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Ruffle -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Synapse
GO Term: Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Ceramide Kinase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: 2'-5'-Oligoadenylate Synthetase Activity -> Biodomain: Immune Response, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle, Epigenetic
GO Term: Formation Of Cytoplasmic Translation Initiation Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Structural Stabilization, Cell Cycle
GO Term: Galactosylceramide Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Immune Response, Endolysosome
GO Term: Mrna M(6)A Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Prenylcysteine Oxidase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Morphogenesis Of A Polarized Epithelium -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Sex Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Barr Body -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Autophagy
GO Term: Xy Body -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Apoptosis
GO Term: Photoreceptor Outer Segment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Eye Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Neural Crest Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Synapse, Autophagy, Epigenetic
GO Term: Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Somite Specification -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Retinal Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Organ Induction -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Immune Response
GO Term: Aminocarboxymuconate-Semialdehyde Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Beta-Alanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Beta-Alanine Transport -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Morphogenesis Of A Branching Structure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Myelination, Cell Cycle
GO Term: Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Membrane Raft Assembly -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Membrane Raft Polarization -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Synapse
GO Term: Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Synapse, Endolysosome, Vasculature
GO Term: Establishment Of Natural Killer Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Vasculature, Proteostasis
GO Term: Immunological Synapse Formation -> Biodomain: Synapse, Immune Response, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Immunological Synapse -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Microglial Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Cell Activation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Leukocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: T Cell Homeostatic Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Plasma Membrane Repair -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Neutrophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: B Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: B Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Phosphotyrosine Residue Binding -> Biodomain: Proteostasis, Signal Transduction, Epigenetic, Cell Cycle, Immune Response
GO Term: Prostaglandin J Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Phosphatidylserine Binding -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Polymeric Immunoglobulin Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Igm Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Polymeric Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Positive Regulation Of Type Iia Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Type Iii Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Endolysosome
GO Term: Type Iv Hypersensitivity -> Biodomain: Immune Response, Inflammatory Response, T Cell Activation, Cytokine Production, Leukocyte Activation
GO Term: Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Adhesion and Migration, Adaptive Immunity
GO Term: Negative Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Serotonin Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Histamine Secretion -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Kidney Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Mesonephros Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Blastocyst Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Blastocyst Formation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Inner Cell Mass Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Inner Cell Mass Cell Fate Commitment -> Biodomain: Developmental Biology, Cell Differentiation, Cell Fate Specification, Embryonic Development, Stem Cell Maintenance
GO Term: Inner Cell Mass Cellular Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Trophectodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Trophectodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Trophectodermal Cellular Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Blastocyst Growth -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Inner Cell Mass Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Trophectodermal Cell Proliferation -> Biodomain: Cell Cycle, Developmental Processes, Vasculature, Structural Stabilization, Epigenetic
GO Term: Blastocyst Hatching -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Embryonic Epithelial Tube Formation -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Neural Plate Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Neural Plate Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Neural Tube Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Neural Fold Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Phagolysosome Assembly -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Opsonin Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Opsonin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Complement Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Complement Component C1Q Complex Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Complement Component C3A Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Complement Component C3B Binding -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Complement Component C4B Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Complement Component C4B Receptor Activity -> Biodomain: Immune Response, Signaling, Innate Immunity, Receptor Binding, Inflammation
GO Term: Nk T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
