Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Mitochondrial Metabolism, Epigenetic
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Synapse, Proteostasis
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cmp Biosynthetic Process -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Synapse
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Menaquinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cobalamin Metabolic Process -> Biodomain: Epigenetic, Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Myelination, Endolysosome, Proteostasis
GO Term: Protein Lipoylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ribonucleotide Metabolic Process -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Temperature Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Cellular Response To Starvation -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Response To Ph -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Cell Cycle
GO Term: Mrna Transcription -> Biodomain: Synapse, Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, DNA Repair
GO Term: Rrna Transcription -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Trna Transcription -> Biodomain: Proteostasis, Epigenetic, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Protein Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Amine Metabolic Process -> Biodomain: Synapse, Proteostasis, Neurotransmission, Neurodevelopment, Lipid Metabolism
GO Term: Amine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Radiation -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, Autophagy
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Translational Attenuation -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Toxin Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Toxin Metabolic Process -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Toxin Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Synapse, Endolysosome
GO Term: Response To Heat -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Cold -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Uv -> Biodomain: Synapse, Oxidative Stress, Proteostasis, DNA Repair, Apoptosis
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Water -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Response To Light Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Nad+ Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glyoxylate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Glycolate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Putrescine Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Putrescine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Putrescine Catabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Rna Modification -> Biodomain: Epigenetic, Synapse, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Fertilization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Synapse
GO Term: Detection Of Gravity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Response to Stimulus
GO Term: Detection Of Chemical Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.1/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.1/runtime_log.csv
