Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Interleukin-35-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Apoptosis, Oxidative Stress, Autophagy
GO Term: Pre-Snornp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Nuclear Pore Transmembrane Ring -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, RNA Spliceosome, DNA Repair
GO Term: Gamma-Secretase Complex -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Pas Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein-N-Terminal Glutamine Amidohydrolase Activity -> Biodomain: Proteostasis, Autophagy, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Moz/Morf Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: D-Aspartate Transmembrane Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: L-Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: D-Aspartate Import Across Plasma Membrane -> Biodomain: Transport, Amino Acid Metabolism, Mitochondrial Metabolism, Signaling, Membrane Biology
GO Term: Dihydrosphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Response To Biotin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Lipid Metabolism, Immune Response, Endolysosome, Proteostasis
GO Term: Hydrogen Sulfide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Peptidyl-Lysine 5-Dioxygenase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tertiary Granule -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Tertiary Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Sin3-Type Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Paraferritin Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Heterochromatin Organization -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Cell Cycle
GO Term: Basement Membrane Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Cell Cycle
GO Term: Chromium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Caveola Assembly -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Vasculature, Proteostasis
GO Term: Dehydroascorbic Acid Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Dynein Complex Binding -> Biodomain: Structural Stabilization, Autophagy, Endolysosome, Cell Cycle, Synapse
GO Term: Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Aggresome Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Polyubiquitinated Misfolded Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Ubiquitin Proteasome, APP Metabolism
GO Term: Core Mediator Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Response To Growth Factor -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Response To Epidermal Growth Factor -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Vasculature, Synapse, Immune Response, Endolysosome
GO Term: Cell Body Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Myosin Vi Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Autophagy
GO Term: Myosin Vi Light Chain Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Autophagy
GO Term: Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Rna Polymerase I Core Factor Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Glycogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Soss Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Microprocessor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Primary Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Pre-Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Synapse
GO Term: Negative Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: E-Box Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Platelet Alpha Granule Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Lipoteichoic Acid Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Lipoteichoic Acid Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Rna Polymerase Iii Preinitiation Complex Assembly -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Mitochondrial Trna Wobble Uridine Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Trna Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Trna Methylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Mitochondrial Trna Pseudouridine Synthesis -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Serine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Global Genome Nucleotide-Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Uv-Damage Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Lysophosphatidic Acid Receptor Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Regulation Of Regulatory Ncrna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Sirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Risc Complex Assembly -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Immune Response
GO Term: Organelle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome, Cell Cycle
GO Term: Golgi-Associated Vesicle Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Crd-Mediated Mrna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Immune Response
GO Term: Crd-Mediated Mrna Stability Complex -> Biodomain: RNA Spliceosome, Oxidative Stress, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Contractile Ring -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Dsl1/Nzr Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Neutrophil-Mediated Killing Of Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Neutrophil-Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Neutrophil-Mediated Killing Of Gram-Positive Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Neutrophil-Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Neutrophil Mediated Cytotoxicity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Nuclear-Transcribed Mrna Catabolic Process, No-Go Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Protein Localization To Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Pou Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Fha Domain Binding -> Biodomain: Signal Transduction, DNA Repair, Cell Cycle, Epigenetic, Proteostasis
GO Term: Tir Domain Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Bone Maturation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Protein K11-Linked Ubiquitination -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: L-Asparagine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Asparagine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Transcription Factor Tfiik Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Left/Right Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Error-Free Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Demethylation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidative Demethylation -> Biodomain: Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Medium-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Detection Of Oxidative Stress -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Type 1 Melanocortin Receptor Binding -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Response To Magnetism -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Cell Cycle, Autophagy
GO Term: U4/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: U4Atac/U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: U2-Type Prespliceosome -> Biodomain: RNA Spliceosome, RNA Metabolism, Macromolecular Complex, RNA Processing, Gene Expression
GO Term: U2-Type Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: U2-Type Catalytic Step 1 Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U2-Type Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: U2-Type Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, DNA Repair, Autophagy
GO Term: Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, RNA Processing, RNP Granules, Proteostasis, Epigenetic
GO Term: Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U2-Type Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Rna Surveillance -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Immune Response
GO Term: Nuclear Rna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, DNA Repair
GO Term: Nuclear Mrna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Nuclear Mrna Surveillance Of Mrna 3'-End Processing -> Biodomain: Proteostasis, RNA Spliceosome, DNA Repair, Epigenetic, Autophagy
GO Term: Cut Catabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Rrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Nuclear Polyadenylation-Dependent Snorna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Nuclear Polyadenylation-Dependent Snrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Tramp-Dependent Trna Surveillance Pathway -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Cut Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Antisense Transcript Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone Mrna Catabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Nuclear Histone Mrna Catabolic Process -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Poly(A)-Dependent Snorna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Alphav-Beta3 Integrin-Vitronectin Complex -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Alpha9-Beta1 Integrin-Vascular Cell Adhesion Molecule-1 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Eukaryotic Initiation Factor Eif2 Binding -> Biodomain: Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy, Epigenetic
GO Term: Dna Conformation Change -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Response To Interleukin-9 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Response To Interleukin-11 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Response To Parathyroid Hormone -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Superior Temporal Gyrus Development -> Biodomain: Neurogenesis and Neuronal Function, Neuronal Development, Synaptogenesis and Plasticity, Structural Stabilization, Cellular Differentiation
GO Term: Alpha9-Beta1 Integrin-Adam8 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Resolution Of Dna Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Resolution Of Mitotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Smad Protein Complex -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Homomeric Smad Protein Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Heteromeric Smad Protein Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, DNA Repair
GO Term: Nf-Kappab Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Cmg Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Dna Replication Preinitiation Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Rna Cap Trimethylguanosine Synthase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Ribonucleoprotein Complex Localization -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Cell Cycle, Epigenetic
GO Term: Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Establishment Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Kv4.2-Kchip2 Channel Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Metal Binding and Homeostasis
GO Term: Kv4.3-Kchip1 Channel Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Wash Complex -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Histone Pre-Mrna 3'End Processing Complex -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, DNA Repair, Proteostasis
GO Term: Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Establishment Of Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Histone Pre-Mrna Stem-Loop Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Histone Pre-Mrna Dcp Binding -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, DNA Repair
GO Term: U7 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Protein Targeting To Vacuole Involved In Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cellular Response To External Biotic Stimulus -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Misfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Response To Bacterial Lipopeptide -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Lipoteichoic Acid -> Biodomain: Immune Response, Endolysosome, Apoptosis, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Peptidoglycan -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Muramyl Dipeptide -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Amino Acid Stimulus -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Cellular Response To Folic Acid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cellular Response To L-Leucine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Antibiotic -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cellular Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Ammonium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Response To Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Apoptosis
GO Term: Cellular Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Connexin Binding -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Cytoplasmic U Snrnp Body -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Cellular Response To Electrical Stimulus -> Biodomain: Synapse, Epigenetic, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Magnetism -> Biodomain: Calcium Signaling, Oxidative Stress, Cell Signaling, Cellular Stress Response, Membrane Function
GO Term: Cellular Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Proteostasis
GO Term: Ssh1 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Translational Initiation In Response To Starvation -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: 'De Novo' L-Methionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: L-Methionine Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Cellular Response To Aluminum Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Calcium Ion -> Biodomain: Synapse, Apoptosis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
