Running with TEMP=0.9, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Sphingolipid Homeostasis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Membrane Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Golgi To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Golgi Ribbon Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Establishment Of Epithelial Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Asymmetric Golgi Ribbon Formation -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Golgi Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Golgi Reassembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Golgi Inheritance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Organelle Membrane Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Developmental, Cell Morphogenesis, Signal Transduction, Cellular Organization
GO Term: Microtubule Cytoskeleton Organization Involved In Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Autophagy
GO Term: Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Developmental Biology, Cell Morphology and Motility, Signaling Pathways, Neurodevelopment, Tissue Organization
GO Term: Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Kidney Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Kidney Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Positive Regulation Of Pancreatic Juice Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Endolysosome, Vasculature
GO Term: Negative Regulation Of Pancreatic Juice Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Negative Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Endolysosome
GO Term: Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Localization To Nuclear Pore -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Chromosome Localization To Nuclear Envelope Involved In Homologous Chromosome Segregation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Chromosome Organization
GO Term: Centrosome-Templated Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Centromere Complex Assembly -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Regulation Of Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Epigenetic
GO Term: Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Positive Regulation Of Arachidonate Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Wnt Signaling Pathway Involved In Somitogenesis -> Biodomain: Developmental Biology, Cell Signaling, Cell Differentiation, Morphogenesis, Tissue Development
GO Term: Axis Elongation Involved In Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Autophagy, Mitochondrial Metabolism
GO Term: Convergent Extension Involved In Somitogenesis -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Regulation Of Cell Migration Involved In Somitogenic Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Protein Localization Involved In Establishment Of Planar Polarity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Regulation Of Muscle System Process -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Negative Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response
GO Term: Positive Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Transcription-Coupled Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Fibroblast Growth Factor Production -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Fibroblast Growth Factor Production -> Biodomain: Signaling, Development, Regulation, Vasculature, Immune Response
GO Term: Positive Regulation Of Somatostatin Secretion -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Negative Regulation Of Somatostatin Secretion -> Biodomain: Endolysosome, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Peptide Hormone Secretion -> Biodomain: Proteostasis, Immune Response, Endolysosome, Synapse, Autophagy
GO Term: Positive Regulation Of Peptide Hormone Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Calcium Ion Import -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Positive Regulation Of Calcium Ion Import -> Biodomain: Synapse, Vasculature, Apoptosis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Calcium Ion Import -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Osteoclast Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Osteoclast Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Nuclear Matrix Anchoring At Nuclear Membrane -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neural Crest Formation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Synapse
GO Term: Positive Regulation Of Wound Healing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Immune Response
GO Term: Nucleic Acid Metabolic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Meiotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Mitotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Dna Methylation-Dependent Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Chylomicron Remnant Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Superoxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Positive Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Myelination
GO Term: Negative Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Oxidative Stress, Autophagy
GO Term: Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Organofluorine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Organofluorine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Cell Cycle, Immune Response, Oxidative Stress, Proteostasis
GO Term: Regulation Of Proteasome Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Mrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Ornithine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Phagosome Maturation -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phagosome Acidification -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phagosome-Lysosome Docking -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Oxidative Stress
GO Term: Phagosome-Lysosome Fusion -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Phagosome-Lysosome Fusion Involved In Apoptotic Cell Clearance -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Senescence -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Replicative Senescence -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, DNA Repair, Autophagy
GO Term: Oncogene-Induced Cell Senescence -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Oxidative Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Organophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Malonyl-Coa Synthetase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Malonate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nicotinate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, DNA Repair, Oxidative Stress
GO Term: Thiamine Pyrophosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Acinar Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Activation Of Meiosis -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Palmitoyl-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oleoyl-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Protein Localization To Nuclear Envelope -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Far/Sin/Stripak Complex -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Intracellular Aspartate Homeostasis -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Intracellular Glutamate Homeostasis -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Dibasic Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Apoptosis
GO Term: Pyrimidine Nucleotide-Sugar Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Vitamin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Small Rna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Catecholamine Uptake -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Dopamine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Mesenchymal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Extrinsic Component Of Golgi Membrane -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Endocardial Cushion To Mesenchymal Transition -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Sphingolipid Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Podocyte Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Vesicle Tethering Involved In Exocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Vasculature
GO Term: Cation-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Synapse, Vasculature
GO Term: Calcium Ion-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Wich Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Norc Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Cerf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Mit Domain Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Flemming Body -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphatidylcholine Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Phosphatidylethanolamine Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphatidylserine Floppase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Establishment Of Endothelial Intestinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Regulation Of Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: 2-(3-Amino-3-Carboxypropyl)Histidine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Apoptosis, Autophagy
GO Term: Rna Polymerase Ii Transcription Repressor Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Rna Polymerase Ii Transcription Regulator Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Phosphodiesterase Activity, Acting On 3'-Phosphoglycolate-Terminated Dna Strands -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Inflammatory Response To Wounding -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Oxidative Stress
GO Term: Sensory Organ Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Ubiquitin-Independent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Mitochondrial Mrna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Mrna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Meiotic Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Endoribonuclease Activity, Cleaving Mirna-Paired Mrna -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Apoptosis
GO Term: Sirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Proteostasis, Autophagy
GO Term: Activation Of Gtpase Activity -> Biodomain: Cell Cycle, Synapse, Immune Response, Endolysosome, Structural Stabilization
GO Term: Outer Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Inner Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Mitochondrial Trna Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Response To Environmental Enrichment -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Response To Oxygen-Glucose Deprivation -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Oxygen-Glucose Deprivation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Apical Cytoplasm -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Double-Stranded/Single-Stranded Junction Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Telomeric Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Cone Matrix Sheath -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Walking Behavior -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Cerebrospinal Fluid Circulation -> Biodomain: Vasculature, Structural Stabilization, APP Metabolism, Immune Response, Proteostasis
GO Term: Box H/Aca Telomerase Rnp Complex -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Galanin-Activated Signaling Pathway -> Biodomain: Synapse, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Scarna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Synapse, Epigenetic
GO Term: Telomerase Rna Stabilization -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Apoptosis
GO Term: Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Epigenetic, Autophagy
