Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Immune Response, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Regulation Of Hemostasis -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Hemostasis -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Peroxisome Organization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Cellular Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Positive Regulation Of Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Arginine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Arginine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Peptidyl-Tyrosine Autophosphorylation -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Myelination
GO Term: Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Negative Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, DNA Repair
GO Term: Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Hyaluranon Cable Assembly -> Biodomain: Immune Response, Structural Stabilization, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Regulation Of Nodal Signaling Pathway -> Biodomain: Signaling Pathways, Developmental Biology, Gene Expression Regulation, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Nodal Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Extracellular Negative Regulation Of Signal Transduction -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Apoptosis
GO Term: Negative Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Negative Regulation Of Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Vasculature
GO Term: Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Lipid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Negative Regulation Of Arachidonate Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Negative Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Bone Trabecula Formation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Negative Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Phospholipid Scramblase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Glial Cell-Derived Neurotrophic Factor Production -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Negative Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Collecting Duct Development -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Nephron Tubule Development -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Positive Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Single-Species Biofilm Formation In Or On Host Organism -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Kit Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Phenotypic Switching -> Biodomain: Epigenetic, Cell Cycle, Immune Response, RNA Spliceosome, Proteostasis
GO Term: Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Mda-5 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Rna-Dependent Rna Polymerase Activity -> Biodomain: Immune Response, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Dna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress
GO Term: Positive Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Post-Transcriptional Gene Silencing By Regulatory Ncrna -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Positive Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Palmitic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Monocyte Aggregation -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Uterine Smooth Muscle Relaxation -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Synapse, Apoptosis
GO Term: Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: (R)-Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Doxorubicin Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Vasculature, Structural Stabilization
GO Term: Negative Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Rna Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Glycine Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Fermentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Cell Cycle
GO Term: Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Dextrin Catabolic Process -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Sarcosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sarcosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Relaxation Of Muscle -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Relaxation Of Muscle -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Positive Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Gentamycin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Carbohydrate Derivative Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Carbohydrate Derivative Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Carbohydrate Derivative Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Insulin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Autophagy
GO Term: Gene Expression Involved In Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: D-Xylulose 5-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Neural Crest Cell Migration Involved In Autonomic Nervous System Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Mitochondrial Metabolism, Cell Cycle
GO Term: Naphthalene Catabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Lycopene Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Erbb Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Vasculature, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Erbb Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Immune Response
GO Term: Positive Regulation Of Erbb Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Negative Regulation Of Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Negative Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Heart Looping -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Heart Looping -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Cardiac Chamber Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: (R)-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Nucleotide-Excision Repair Involved In Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Oxidative Stress
