Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, Immune Response, Apoptosis, Cell Cycle
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Methionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: L-Methionine Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Glycoprotein Metabolic Process -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Xanthine Catabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Lipid Metabolism
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, DNA Repair
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Apoptosis, Cell Cycle, Endolysosome, Synapse
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Autophagy
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Vasculature, Oxidative Stress
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, DNA Repair, Apoptosis
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, DNA Repair
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Cmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Menaquinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Autophagy
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Ribonucleotide Metabolic Process -> Biodomain: RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Autophagy, Cell Cycle, Oxidative Stress
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Response To Temperature Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Response To Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Mrna Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Macromolecule Metabolic Process, Biosynthetic Process, Nucleic Acid Metabolic Process
GO Term: Rrna Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Trna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Amine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Amine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Myelination, Vasculature
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Catalytic Activity, ATP-dependent Activity, Isomerase Activity, Nucleic Acid Binding
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Translational Attenuation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Toxin Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Toxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Toxin Catabolic Process -> Biodomain: Proteostasis, Detoxification, Endolysosome, Oxidative Stress, Immune Response
GO Term: Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Response To Cold -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Water -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Response To Light Stimulus -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Autophagy, Epigenetic
GO Term: Glyoxylate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolic Process, Oxidative Stress, Proteostasis
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cyanate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Putrescine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Putrescine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Putrescine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Rna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Fertilization -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, DNA Repair, Structural Stabilization
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Signal Transduction, Photoreceptor, Nervous System Development, Sensory Perception
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Immune Response
GO Term: Detection Of Gravity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Detection Of Chemical Stimulus -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.9/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.9/runtime_log.csv
