Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Pre-Mrna 5'-Splice Site Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Pre-Mrna 3'-Splice Site Binding -> Biodomain: RNA Spliceosome, Unknown, Epigenetic, DNA Repair, Proteostasis
GO Term: U6 Snrna 3'-End Binding -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Cellular Ph -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Intracellular Phosphate Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Intracellular Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Oxidative Stress, Unknown
GO Term: Regulation Of Vitamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Small Molecule Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Cytoplasmic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Golgi-Associated Vesicle Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Copi-Coated Vesicle Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Clathrin-Coated Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Secretory Granule Membrane -> Biodomain: Proteostasis, Synapse, Endolysosome, APP Metabolism, Autophagy
GO Term: Clathrin-Coated Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Phagocytic Vesicle Membrane -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Synaptic Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Axolemma -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Vasculature
GO Term: Protein-Macromolecule Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Lipid Metabolism
GO Term: Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Mitochondrial Ribonuclease P Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Multimeric Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: 90S Preribosome -> Biodomain: Proteostasis, RNA Spliceosome, Unknown, Cell Cycle, Autophagy
GO Term: Preribosome, Large Subunit Precursor -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Unknown, Structural Stabilization
GO Term: Preribosome, Small Subunit Precursor -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Unknown
GO Term: Noc1P-Noc2P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Unknown
GO Term: Noc2P-Noc3P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Unknown
GO Term: Noc4P-Nop14P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Gtpase Regulator Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Immune Response, Autophagy
GO Term: Trna (Uracil(54)-C5)-Methyltransferase Activity, S-Adenosyl Methionine-Dependent -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Vitelline Membrane Formation -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Lipid Metabolism, Cell Cycle
GO Term: Cytoskeleton-Dependent Intracellular Transport -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Germ-Line Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Immune Response
GO Term: P Granule Organization -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Ovulation -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Autophagy, Epigenetic
GO Term: Acetoacetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Triglyceride Storage -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Guanidinoacetate N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Carnosine N-Methyltransferase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Gtp-Dependent Protein Binding -> Biodomain: Cell Cycle, Synapse, Immune Response, Proteostasis, Autophagy
GO Term: Amine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Pyridine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Arsenite Methyltransferase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Actin Filament Length -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Actin Filament Depolymerization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Cell Cycle
GO Term: Positive Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Positive Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Positive Regulation Of Intermediate Filament Depolymerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Phospholipase C-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Signal Transduction, Cell Communication, Regulation of Biological Process, Cellular Process
GO Term: Autosome -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Unknown
GO Term: Prostate Gland Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Oxidative Stress
GO Term: Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Unknown
GO Term: Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Endolysosome, Immune Response
GO Term: Negative Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Endolysosome, Proteostasis
GO Term: Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Synapse, Immune Response
GO Term: Positive Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Developmental Process, Epithelial Function, Cell Differentiation, Tissue Development, Structural Stabilization
GO Term: Cortical Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Cortical Actin Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Cortical Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle, Autophagy
GO Term: Cortical Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Endolysosome
GO Term: Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Smooth Endoplasmic Reticulum Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Mre11 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Beta-Catenin Destruction Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Thyroid Gland Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Mammary Gland Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Vasculature, Epigenetic
GO Term: Rna Polymerase Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Beta-2-Microglobulin Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Lipid Antigen Binding -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Endogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Exogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Vcb Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle, DNA Repair
GO Term: Mitotic Cohesin Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization, Epigenetic
GO Term: Meiotic Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Replisome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Apolipoprotein B Mrna Editing Enzyme Complex -> Biodomain: Lipid Metabolism, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, APP Metabolism
GO Term: Checkpoint Clamp Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Hops Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Calcium-Dependent Atpase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Synapse
GO Term: Forebrain Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Midbrain Development -> Biodomain: Synapse, Myelination, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Hindbrain Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Notochord Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Unknown
GO Term: Retromer Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Retromer, Tubulation Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Retromer, Cargo-Selective Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Olfactory Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Unknown
GO Term: Tpr Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Paranodal Junction Assembly -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: Smc5-Smc6 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Otic Vesicle Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Unknown
GO Term: Midbrain-Hindbrain Boundary Development -> Biodomain: Synapse  
Structural Stabilization  
Cell Cycle  
Autophagy  
Unknown
GO Term: Endoplasmic Reticulum Signal Peptide Binding -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Mitochondrion Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Structural Stabilization, Immune Response
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Endolysosome, Unknown, Apoptosis
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: Establishment Or Maintenance Of Actin Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Establishment Or Maintenance Of Microtubule Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy, Cell Cycle
GO Term: Astral Microtubule Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Astral Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Unknown, Autophagy
GO Term: Potassium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Glutamyl-Trna(Gln) Amidotransferase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Unknown, Structural Stabilization
GO Term: Tat Protein Binding -> Biodomain: Epigenetic, Immune Response, Proteostasis, Autophagy, Unknown
GO Term: Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Receptor Tyrosine Kinase Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Thiamine Pyrophosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Thiamine Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Thiamine Pyrophosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Taurine Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Cortical Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Morphology, Intracellular Transport, Cell Adhesion
GO Term: Mismatched Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic
GO Term: Kininogen Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Intraciliary Transport Particle -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Endolysosome
GO Term: Intraciliary Transport Particle A -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Intraciliary Transport Particle B -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Response To Caffeine -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Potassium Ion-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Filamin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, APP Metabolism, Proteostasis
GO Term: Iswi-Type Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Ino80 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Extracellular Matrix -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Cell Cycle
GO Term: Troponin I Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Cell Cycle
GO Term: Troponin T Binding -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Synapse, Autophagy
GO Term: Pancreas Development -> Biodomain: Vasculature, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Exocrine Pancreas Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Endocrine Pancreas Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Interphase Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Nuclear Migration Along Microfilament -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Unknown, Autophagy
GO Term: Microtubule Organizing Center Organization -> Biodomain: Structural Stabilization, Cell Cycle, Cytoskeleton Organization, Organelle Organization, Tau Homeostasis
GO Term: Actomyosin Structure Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Myosin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Myosin Ii Filament Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Actin Cytoskeleton, Cytoskeleton Organization, Cellular Component Organization
GO Term: Dense Core Granule -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, APP Metabolism
GO Term: Regulatory Ncrna-Mediated Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Regulatory Ncrna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy
GO Term: Pre-Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Autophagy, Immune Response, Proteostasis
GO Term: Hair Follicle Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Cysteine Desulfurase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Heat Shock Protein Binding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Cholesterol 26-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Embryonic Camera-Type Eye Development -> Biodomain: Unknown, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Post-Embryonic Camera-Type Eye Development -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Histone H3K14 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Nuclear Pore Outer Ring -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Bloc-1 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Bloc-2 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Bloc-3 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Independent Decay -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Platelet Dense Granule Membrane -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Platelet Dense Granule Lumen -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Unknown
GO Term: Organelle Membrane -> Biodomain: Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Platelet Alpha Granule -> Biodomain: Proteostasis, Endolysosome, Immune Response, Vasculature, Synapse
GO Term: Platelet Alpha Granule Membrane -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Platelet Alpha Granule Lumen -> Biodomain: Immune Response, Proteostasis, Vasculature, Lipid Metabolism, Unknown
GO Term: Platelet Dense Tubular Network -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Vasculature
GO Term: Platelet Dense Tubular Network Membrane -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Immune Response, Proteostasis
GO Term: Regeneration -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Animal Organ Regeneration -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Response to Stress, Proteostasis, Autophagy
GO Term: Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Oxidative Stress, Autophagy
GO Term: Dendrite Regeneration -> Biodomain: Synapse, Structural Stabilization, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Septin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Septin Ring Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Tau Homeostasis, Cell Cycle
GO Term: Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Synapse
GO Term: Positive Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization  
Proteostasis  
Cell Cycle  
Autophagy  
Synapse
GO Term: Positive Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization  
Proteostasis  
Tau Homeostasis  
Cell Cycle  
Apoptosis
GO Term: Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Unknown, Autophagy
GO Term: Trna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Snrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Cytoplasmic Microtubule Organization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Rrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Alpha-(1,2)-Fucosyltransferase Activity -> Biodomain: Glycosylation, Protein Modification, Glycobiology, Enzymatic Activity, Metabolism
GO Term: Developmental Induction -> Biodomain: Epigenetic, Cell Cycle, Unknown, Autophagy, Apoptosis
GO Term: Inductive Cell-Cell Signaling -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Synapse, Vasculature
GO Term: Regulation Of Axon Diameter -> Biodomain: Structural Stabilization, Myelination, Synapse, Tau Homeostasis, Lipid Metabolism
GO Term: Sister Chromatid Biorientation -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Pseudopodium -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Endolysosome, Apoptosis
GO Term: Proteasome Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
