Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Unknown
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methionine Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: L-Methionine Catabolic Process -> Biodomain: Amino Acid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Glycoprotein Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Xanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Nucleoside Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Nucleotide Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Autophagy
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Unknown, Autophagy, Endolysosome, Oxidative Stress
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Unknown, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, DNA Repair, Epigenetic
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Endolysosome
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Nucleotide Catabolic Process -> Biodomain: Autophagy
Lipid Metabolism
Mitochondrial Metabolism
Proteostasis
Endolysosome
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Oxidative Stress, Autophagy
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, DNA Repair, Epigenetic
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Apoptosis
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair  
Cell Cycle  
Mitochondrial Metabolism  
Metal Binding and Homeostasis  
Epigenetic
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, Apoptosis
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair  
Cell Cycle  
Autophagy  
Mitochondrial Metabolism  
Apoptosis
GO Term: Cmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair, Epigenetic
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Unknown, DNA Repair
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Menaquinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Immune Response
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Ribonucleotide Metabolic Process -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair  
Cell Cycle  
Mitochondrial Metabolism  
Autophagy  
Endolysosome
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Temperature Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Cellular Response To Starvation -> Biodomain: Autophagy, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Response To Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Mrna Transcription -> Biodomain: Epigenetic, DNA Repair, APP Metabolism, RNA Spliceosome, Autophagy
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Unknown
GO Term: Rrna Transcription -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Cell Cycle, Unknown
GO Term: Trna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Mitochondrial Metabolism, Unknown
GO Term: Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Amine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Amine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, APP Metabolism
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Carbohydrate Metabolism, Proteostasis, APP Metabolism, Lipid Metabolism, Immune Response
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Radiation -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Immune Response
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Unknown
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Unknown
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Unknown, Oxidative Stress
GO Term: Translational Attenuation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Unknown
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Unknown
GO Term: Toxin Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress, Immune Response
GO Term: Toxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Toxin Catabolic Process -> Biodomain: Endolysosome, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Cold -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Response To Water -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Response To Light Stimulus -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Immune Response, Synapse
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glyoxylate Catabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Putrescine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Putrescine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Putrescine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Rna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: Fertilization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Vasculature, Apoptosis, Autophagy, Epigenetic
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Autophagy, Epigenetic
GO Term: Detection Of Gravity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Unknown
GO Term: Detection Of Chemical Stimulus -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Unknown_Temp_0.0/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Unknown_Temp_0.0/runtime_log.csv
