Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U4 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U4Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U5 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U6Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: U12 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization, DNA Repair
GO Term: Pre-Mrna 5'-Splice Site Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Pre-Mrna 3'-Splice Site Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: U6 Snrna 3'-End Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Regulation Of Cellular Ph -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Intracellular Phosphate Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Intracellular Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Vitamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Cytoplasmic Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Golgi-Associated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Copi-Coated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Clathrin-Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Secretory Granule Membrane -> Biodomain: Synapse, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Clathrin-Coated Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Phagocytic Vesicle Membrane -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Synaptic Vesicle Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vesicular Trafficking
GO Term: Axolemma -> Biodomain: Synapse, Myelination, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Protein-Macromolecule Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism, Autophagy
GO Term: Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Mitochondrial Ribonuclease P Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Multimeric Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Preribosome -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: 90S Preribosome -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Preribosome, Large Subunit Precursor -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Preribosome, Small Subunit Precursor -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Epigenetic
GO Term: Noc1P-Noc2P Complex -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Noc2P-Noc3P Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Noc4P-Nop14P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Gtpase Regulator Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Trna (Uracil(54)-C5)-Methyltransferase Activity, S-Adenosyl Methionine-Dependent -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Vitelline Membrane Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Cytoskeleton-Dependent Intracellular Transport -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Germ-Line Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Stem Cell Population Maintenance, Developmental Process, Multicellular Organismal Process, Epigenetic
GO Term: P Granule Organization -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Synapse
GO Term: Ovulation -> Biodomain: Reproductive Process, Female Gamete Generation, Cellular Process, Multicellular Organismal Process, Sexual Reproduction
GO Term: Acetoacetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Guanidinoacetate N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Carnosine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Gtp-Dependent Protein Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Amine N-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis
GO Term: Pyridine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Arsenite Methyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Actin Filament Length -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Positive Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Positive Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Intermediate Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Phospholipase C-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Vasculature, Endolysosome
GO Term: Autosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, RNA Spliceosome
GO Term: Prostate Gland Development -> Biodomain: Cell Cycle, Lipid Metabolism, Autophagy, Epigenetic, Apoptosis
GO Term: Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, DNA Repair
GO Term: Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Negative Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Immune Response, Autophagy
GO Term: Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization  
Epigenetic  
Cell Cycle  
Proteostasis  
Vasculature
GO Term: Cortical Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Lipid Metabolism
GO Term: Cortical Actin Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Cortical Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Cortical Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Smooth Endoplasmic Reticulum Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Mre11 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Beta-Catenin Destruction Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Thyroid Gland Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Mammary Gland Development -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Apoptosis, Autophagy
GO Term: Rna Polymerase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Beta-2-Microglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Lipid Antigen Binding -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Endogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis
GO Term: Exogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Cell Cycle
GO Term: Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Vcb Complex -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Autophagy, Cell Cycle
GO Term: Mitotic Cohesin Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization, Epigenetic
GO Term: Meiotic Cohesin Complex -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Replisome -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Apolipoprotein B Mrna Editing Enzyme Complex -> Biodomain: Lipid Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Checkpoint Clamp Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Hops Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Calcium-Dependent Atpase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Forebrain Development -> Biodomain: Synapse, Myelination, Cell Cycle, Epigenetic, Apoptosis
GO Term: Midbrain Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Hindbrain Development -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Notochord Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Retromer Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Retromer, Tubulation Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Retromer, Cargo-Selective Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Olfactory Placode Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Cell Cycle
GO Term: Tpr Domain Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Paranodal Junction Assembly -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Smc5-Smc6 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Otic Vesicle Formation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Autophagy, Synapse
GO Term: Midbrain-Hindbrain Boundary Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Endoplasmic Reticulum Signal Peptide Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Mitochondrion Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Establishment Or Maintenance Of Actin Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Establishment Or Maintenance Of Microtubule Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Astral Microtubule Organization -> Biodomain: Cell Cycle, Structural Stabilization, Cytoskeleton Organization, Cellular Component Organization, Cellular Process
GO Term: Astral Microtubule Nucleation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Cellular Component Organization, Autophagy
GO Term: Potassium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Apoptosis, Autophagy
GO Term: Glutamyl-Trna(Gln) Amidotransferase Complex -> Biodomain: Proteostasis, Catalytic Activity, Protein Synthesis, Enzyme Complex, RNA Processing
GO Term: Tat Protein Binding -> Biodomain: Metal Binding and Homeostasis, Immune Response, Epigenetic, RNA Spliceosome, Apoptosis
GO Term: Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Receptor Tyrosine Kinase Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Thiamine Pyrophosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Thiamine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Thiamine Pyrophosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Taurine Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cortical Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Cell Cycle
GO Term: Mismatched Dna Binding -> Biodomain: DNA Repair, DNA Binding, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Kininogen Binding -> Biodomain: Protein Binding, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Intraciliary Transport Particle -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Intraciliary Transport Particle A -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Intraciliary Transport Particle B -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Response To Caffeine -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Potassium Ion-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Filamin Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Myelination
GO Term: Iswi-Type Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Ino80 Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Extracellular Matrix -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Troponin I Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Troponin T Binding -> Biodomain: Muscle System, Cytoskeleton, Protein Binding, Muscle Contraction, Cardiovascular System
GO Term: Pancreas Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Exocrine Pancreas Development -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Immune Response
GO Term: Endocrine Pancreas Development -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Interphase Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Migration Along Microfilament -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Microtubule Organizing Center Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Actomyosin Structure Organization -> Biodomain: Structural Stabilization, Cytoskeleton, Actin Cytoskeleton, Cell Morphology, Muscle Contraction
GO Term: Myosin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Myosin Ii Filament Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Dense Core Granule -> Biodomain: Proteostasis, Synapse, Endolysosome, APP Metabolism, Autophagy
GO Term: Regulatory Ncrna-Mediated Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulatory Ncrna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic  
RNA Binding and Processing  
Chromatin Organization  
Transcriptional Regulation  
Genome Stability
GO Term: Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Hair Follicle Morphogenesis -> Biodomain: Skin Development, Structural Stabilization, Developmental Processes, Epithelial Development, Hair Development
GO Term: Cysteine Desulfurase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Heat Shock Protein Binding -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cholesterol 26-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Embryonic Camera-Type Eye Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Vasculature
GO Term: Post-Embryonic Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Myelination
GO Term: Histone H3K14 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Nuclear Pore Outer Ring -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Bloc-1 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Bloc-2 Complex -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Bloc-3 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Immune Response
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Independent Decay -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy, Proteostasis
GO Term: Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Platelet Dense Granule Membrane -> Biodomain: Endolysosome, Proteostasis, Vasculature, Structural Stabilization, Synapse
GO Term: Platelet Dense Granule Lumen -> Biodomain: Vasculature, Proteostasis, Endolysosome, Immune Response, Apoptosis
GO Term: Organelle Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Platelet Alpha Granule -> Biodomain: Proteostasis, Endolysosome, Immune Response, Vasculature, Autophagy
GO Term: Platelet Alpha Granule Membrane -> Biodomain: Vasculature, Lipid Metabolism, Structural Stabilization, Immune Response, Proteostasis
GO Term: Platelet Alpha Granule Lumen -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Platelet Dense Tubular Network -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Platelet Dense Tubular Network Membrane -> Biodomain: Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Animal Organ Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dendrite Regeneration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Septin Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Oxidative Stress
GO Term: Septin Ring Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Cytoskeleton Organization, Cellular Component Organization
GO Term: Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization  
Tau Homeostasis  
Proteostasis  
Cell Cycle  
Autophagy
GO Term: Positive Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Trna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Cell Cycle
GO Term: Snrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Cytoplasmic Microtubule Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
