Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Prenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Farnesyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Proteostasis, Epigenetic, Immune Response, Oxidative Stress, Autophagy
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, DNA Repair
GO Term: Protein Histidine Kinase Activity -> Biodomain: Proteostasis, Epigenetic, Unknown, Oxidative Stress, Immune Response
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Vasculature
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Cell Cycle, Metal Binding and Homeostasis
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Phosphorylase Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Synapse, Epigenetic
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Vasculature, Immune Response
GO Term: Jun Kinase Activity -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Map Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Immune Response, Proteostasis
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Unknown
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Kinase Activity, Protein Phosphorylation, Cellular Signaling, Cell Communication
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome, Autophagy
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Metal Binding and Homeostasis
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Oxidative Stress
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Phosphatase Activity, Cell Signaling, Immune Response, Cancer Biology
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Proteostasis, Cell Cycle, Apoptosis
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown, Autophagy
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Unknown
GO Term: Ribokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Unknown
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Immune Response
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, DNA Repair, Immune Response, Mitochondrial Metabolism
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Unknown, Autophagy
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Oxidative Stress, Synapse, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Myelination, Autophagy, Apoptosis
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Spermidine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Unknown
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Unknown
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Myelination
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Unknown
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Threonine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Threonine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Thymidine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Dtmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Thymidylate Synthase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Transaldolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Transketolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Transposase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Unknown
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Unknown, Epigenetic
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Unknown, Autophagy
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, RNA Spliceosome, Autophagy
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Ligase Activity, Catalytic Activity, Aminoacyl-tRNA Synthetase Activity
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Unknown, Autophagy, Apoptosis
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Unknown
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Epigenetic
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Unknown
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Unknown
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Unknown, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown, Autophagy
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Uridine Kinase Activity -> Biodomain: Cell Cycle, Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Uridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: D-Xylulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Enzyme Inhibitor Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Immune Response
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Unknown
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
Saved results to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Unknown_Temp_0.0/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Unknown_Temp_0.0/runtime_log.csv
