Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: T-Helper 1 Cell Activation -> Biodomain: Immune Response, Endolysosome, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: T-Helper 2 Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Nitrogen Dioxide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Chemokine (C-C Motif) Ligand 2 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 12 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 7 Binding -> Biodomain: Immune Response, Chemokine, Cell Surface, Inflammatory Response, Signal Transduction
GO Term: Macrophage Migration Inhibitory Factor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Intraciliary Anterograde Transport -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Unknown
GO Term: Intraciliary Retrograde Transport -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Interleukin-12-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Interleukin-15-Mediated Signaling Pathway -> Biodomain: Immune Response, Cytokine Signaling, Cell Activation, Apoptosis, Receptor Signaling
GO Term: Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Common Myeloid Progenitor Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Lysophosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Response To Hepatocyte Growth Factor -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: S-Nitrosoglutathione Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Dinitrosyl-Iron Complex Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Nitric Oxide Storage -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Intraciliary Transport Involved In Cilium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Myelin Sheath Adaxonal Region -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Protein Localization To Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Proteostasis, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: Regulation Of Lysosomal Lumen Ph -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Lysosomal Lumen Ph Elevation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: B Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cardiolipin Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis, Oxidative Stress
GO Term: Chemokine (C-C Motif) Ligand 19 Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 21 Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Mesangial Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Apoptosis, Endolysosome, Proteostasis
GO Term: Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Ribonucleoprotein Granule -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Synapse, Unknown
GO Term: Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Unknown
GO Term: Interleukin-13-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mature Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Unknown
GO Term: Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Epigenetic
GO Term: Cell Migration Involved In Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Apoptosis
GO Term: Cell Migration Involved In Metanephros Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Unknown
GO Term: Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Epigenetic
GO Term: Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Myelination, Endolysosome
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration By Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Alkenal Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ureter Maturation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Deubiquitinase Activator Activity -> Biodomain: Proteostasis, Ubiquitin System, Protein Degradation, Regulation of Proteolysis, Autophagy
GO Term: Adrenal Cortex Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Structural Stabilization, Endolysosome
GO Term: Adrenal Cortex Formation -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Epigenetic, Cell Cycle
GO Term: Egg Coat Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Structural Constituent Of Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Egg Coat -> Biodomain: Structural Stabilization, Cell Adhesion, Developmental Processes, Extracellular Matrix, Membrane Trafficking
GO Term: Regulation Of Urine Volume -> Biodomain: Vasculature, Metal Binding and Homeostasis, Epigenetic, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Urine Volume -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Urine Volume -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Ion Homeostasis, Transport Processes, Metal Binding and Homeostasis, Organismal Homeostasis
GO Term: Positive Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Modulation Of Process Of Another Organism -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Gene Conversion -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Growing Cell Tip -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: New Growing Cell Tip -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Cloaca Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Photoreceptor Cell Outer Segment Organization -> Biodomain: Structural Stabilization, Autophagy, Lipid Metabolism, Proteostasis, Synapse
GO Term: Oviduct Epithelium Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Uterine Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Epigenetic, Vasculature
GO Term: Nephric Duct Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Krueppel-Associated Box Domain Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Chromosome Passenger Complex Localization To Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Eosinophil Fate Commitment -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Megakaryocyte Development -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Structural Stabilization
GO Term: Seh1-Associated Complex -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Site Of Double-Strand Break -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Ditp Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Response To Potassium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Synapse, Immune Response
GO Term: Cellular Response To Potassium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Synapse
GO Term: Alphav-Beta3 Integrin-Pkcalpha Complex -> Biodomain: Signal Transduction, Cell Adhesion, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Alphav-Beta3 Integrin-Igf-1-Igf1R Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Alphav-Beta3 Integrin-Hmgb1 Complex -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Ciliary Transition Zone -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Ditp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Unknown
GO Term: Protein K11-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome System, Apoptosis, Cell Cycle
GO Term: Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lactate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Vasculature, Immune Response
GO Term: Death Effector Domain Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Structural Stabilization, Autophagy
GO Term: Nail Development -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Apoptosis, Metal Binding and Homeostasis
GO Term: Plasma Membrane Lactate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Immune Response
GO Term: Embryonic Nail Plate Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Amacrine Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Enteroendocrine Cell Differentiation -> Biodomain: Endolysosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Parathyroid Hormone Secretion -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Response To Isolation Stress -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Immobilization Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Ascending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Descending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Dorsal Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Ascending Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Endolysosome
GO Term: Dorsal Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Skeletal Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Desmosome Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Foramen Ovale Closure -> Biodomain: Vasculature, Structural Stabilization, Unknown, Immune Response, Autophagy
GO Term: Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Mrna 3'-Utr Au-Rich Region Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Rrna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Unknown
GO Term: Aldosterone Secretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Corticosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature
GO Term: Mitochondrial Ncrna Surveillance -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Mitochondrial Mrna Surveillance -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Response To Interleukin-13 -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Interleukin-13 -> Biodomain: Immune Response, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Copi-Coated Vesicle Budding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cardiolipin Acyl-Chain Remodeling -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Topologically Incorrect Protein -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Peptidyl-Threonine Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Aggrephagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Transcription Factor Ap-1 Complex -> Biodomain: Epigenetic, Oxidative Stress, Immune Response, Apoptosis, Cell Cycle
GO Term: Histone H2Axs139 Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Cellular Response To Trichostatin A -> Biodomain: Epigenetic, Apoptosis, Cell Cycle, DNA Repair, Autophagy
GO Term: Senescence-Associated Heterochromatin Focus -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Apoptosis, Proteostasis
GO Term: Endodermal Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Tendon Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Unknown
GO Term: Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Tendon Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Vasculature
GO Term: Deltoid Tuberosity Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, Unknown
GO Term: Response To Muscle Stretch -> Biodomain: Structural Stabilization, Autophagy, Proteostasis, Vasculature, Epigenetic
GO Term: Detection Of Muscle Stretch -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Tetrahydrofolate Interconversion -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress
GO Term: Pre-Mrna Binding -> Biodomain: RNA Spliceosome, Unknown, Unknown, Unknown, Unknown
GO Term: Gaf Domain Binding -> Biodomain: Proteostasis, Epigenetic, Unknown, Mitochondrial Metabolism, Cell Cycle
GO Term: Response To Macrophage Colony-Stimulating Factor -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Protein-Glutamine N-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Immune Response
GO Term: Cellular Response To Interleukin-3 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Autophagy
GO Term: Response To Erythropoietin -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Cellular Response To Erythropoietin -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Endolysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Endolysosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Endolysosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Embryonic Skeletal Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Protein C Inhibitor-Tmprss7 Complex -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Immune Response, Structural Stabilization
GO Term: Protein C Inhibitor-Tmprss11E Complex -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Unknown
GO Term: Protein C Inhibitor-Plat Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Protein C Inhibitor-Plau Complex -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Oxidative Stress
GO Term: Protein C Inhibitor-Thrombin Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Apoptosis
GO Term: Protein C Inhibitor-Klk3 Complex -> Biodomain: Proteostasis, Apoptosis, Unknown, Structural Stabilization, Immune Response
GO Term: Protein C Inhibitor-Plasma Kallikrein Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Oxidative Stress
GO Term: Neural Crest Cell Delamination -> Biodomain: Cell Cycle, Myelination, Structural Stabilization, Vasculature, Synapse
GO Term: Mediator Complex Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Immune Response
GO Term: Osteoclast Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Mks Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Long-Chain Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Long-Chain Fatty Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Protein Demalonylation -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Peptidyl-Lysine Demalonylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Desuccinylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Peptidyl-Lysine Desuccinylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Glomerular Endothelium Fenestra -> Biodomain: Vasculature, Structural Stabilization, Unknown, Immune Response, Lipid Metabolism
GO Term: Protein-Malonyllysine Demalonylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Protein-Succinyllysine Desuccinylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Slit Diaphragm -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Filtration Diaphragm Assembly -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Slit Diaphragm Assembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Ciliary Basal Body -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Fucosylation -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Protein O-Linked Fucosylation -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Endolysosome, Unknown
GO Term: N-Glycan Fucosylation -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Ligamentous Ossification -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis
GO Term: Gdp-Fucose Import Into Golgi Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Unknown
GO Term: D-Serine Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cleavage Furrow Formation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphatidylinositol-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Small Molecule Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Leukotriene B4 Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Vasculature
GO Term: Leukotriene B4 Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature
GO Term: Peroxisome Membrane Class-1 Targeting Sequence Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Alpha-Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Very Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Medium-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Very Long-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Medium-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Long-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Hyaluranon Cable -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Oxidative Stress, Apoptosis
GO Term: Response To Platelet-Derived Growth Factor -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Cellular Response To Platelet-Derived Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Double-Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
