Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, APP Metabolism, Tau Homeostasis, Proteostasis
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: APP Metabolism, Synapse, Immune Response, Endolysosome, Proteostasis
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Apoptosis
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Xanthine Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nucleoside Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Apoptosis
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, DNA Repair, Epigenetic
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Cmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Menaquinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Myelination, Endolysosome, Synapse
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Epigenetic
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Oxidative Stress, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Oxidative Stress, Cell Cycle
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Response To Temperature Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Cellular Response To Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Ph -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Mrna Transcription -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, APP Metabolism
GO Term: Rrna Transcription -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Trna Transcription -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Protein Secretion -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Amine Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Immune Response
GO Term: Amine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Response To Radiation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Cell Cycle
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome
GO Term: Translational Attenuation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Toxin Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Toxin Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Toxin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Immune Response, Autophagy
GO Term: Response To Heat -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Cold -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Response To Water -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Light Stimulus -> Biodomain: Tau Homeostasis, Oxidative Stress, Immune Response, APP Metabolism, Autophagy
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glyoxylate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Apoptosis, Lipid Metabolism
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glycolate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Putrescine Metabolic Process -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Putrescine Biosynthetic Process -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Putrescine Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Rna Modification -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Fertilization -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Cell Cycle
GO Term: Detection Of Gravity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Detection Of Chemical Stimulus -> Biodomain: Synapse, Immune Response, Oxidative Stress, Tau Homeostasis, Proteostasis
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Oxidative Stress
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.0/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.0/runtime_log.csv
