Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis, Vasculature
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Tau Homeostasis, Epigenetic
GO Term: Protein Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, APP Metabolism, Oxidative Stress, Synapse
GO Term: Protein Histidine Kinase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Immune Response, Apoptosis
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Tau Homeostasis, Lipid Metabolism
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, APP Metabolism
GO Term: Phosphorylase Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Proteostasis, Synapse, Vasculature, Oxidative Stress, Tau Homeostasis
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Tau Homeostasis, Apoptosis, Proteostasis, DNA Repair
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: APP Metabolism,Lipid Metabolism,Proteostasis,Synapse,Oxidative Stress
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Jun Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Map Kinase Kinase Activity -> Biodomain: Tau Homeostasis, Apoptosis, Oxidative Stress, Immune Response, Proteostasis
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Tau Homeostasis, Apoptosis, Oxidative Stress, Immune Response, Proteostasis
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Tau Homeostasis, Immune Response, Proteostasis, APP Metabolism
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Tau Homeostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, APP Metabolism, Autophagy, Apoptosis
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Synapse, Epigenetic
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Synapse
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Ribokinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Unknown
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Lipid Metabolism, Autophagy
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Spermidine Synthase Activity -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Immune Response
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Myelination
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Proteostasis, APP Metabolism, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Threonine Deaminase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Threonine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Thymidine Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Dtmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Mitochondrial Metabolism
GO Term: Thymidylate Synthase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Transaldolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Transketolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Transposase Activity -> Biodomain: DNA Repair, Epigenetic, Unknown, Cell Cycle, Proteostasis
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Autophagy
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown, Synapse
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Synapse, Oxidative Stress
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Unknown, Unknown, Unknown
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Tau Homeostasis, Oxidative Stress
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Unknown, Lipid Metabolism, Autophagy
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Mitochondrial Metabolism, Synapse
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Unknown
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Immune Response, Unknown
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown, Immune Response
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, APP Metabolism
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Unknown
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis, Lipid Metabolism
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Immune Response
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Apoptosis
GO Term: Uridine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Uridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: D-Xylulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown
GO Term: Enzyme Inhibitor Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Apoptosis, Molecular Function Regulator
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Synapse
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Unknown_Temp_0.0/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Unknown_Temp_0.0/runtime_log.csv
