Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle
GO Term: Subthalamic Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Mammillary Body Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Unknown
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Unknown
GO Term: Orbitofrontal Cortex Development -> Biodomain: Epigenetic,Cell Cycle,Lipid Metabolism,Autophagy,Apoptosis
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Tau Homeostasis
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination, Synapse, Epigenetic, Cell Cycle, Immune Response
GO Term: Glial Cell Fate Commitment -> Biodomain: Myelination, Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Glial Cell Development -> Biodomain: Myelination
Synapse
Lipid Metabolism
Cell Cycle
Structural Stabilization
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Autophagy
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Thalamus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Synapse, Nervous System, Developmental Biology, Cell Motility, Structural Stabilization
GO Term: Cerebral Cortex Regionalization -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Immune Response
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Myelination, Vasculature
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Synapse, Myelination, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Cell Motility, Developmental Process, Glial Cell Function, Neural Development, Central Nervous System
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse  
Structural Stabilization  
Cell Cycle  
Myelination  
Unknown
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Proteostasis
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization
Synapse
Cell Cycle
Myelination
Unknown
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Neurogenesis and Neuronal Development, Hypothalamus, Cell Motility, Developmental Processes, Structural Stabilization
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Unknown
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse  
Structural Stabilization  
Proteostasis  
Cell Cycle  
Unknown
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse  
Proteostasis  
Tau Homeostasis  
Cell Cycle  
Unknown
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Myelination, DNA Repair, Structural Stabilization, Lipid Metabolism
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Synapse, Epigenetic, Proteostasis, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Apoptosis, Unknown
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse  
Structural Stabilization  
Autophagy  
Proteostasis  
Endolysosome
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Hypothalamus Cell Migration -> Biodomain: Structural Stabilization  
Synapse  
Myelination  
Endolysosome  
Proteostasis
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Synapse, Structural Stabilization
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, APP Metabolism
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Endolysosome, Synapse
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Forebrain Generation Of Neurons -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Epigenetic, Structural Stabilization
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Synapse, Epigenetic, Proteostasis, Endolysosome
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Epigenetic, Myelination, Unknown
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Unknown, Proteostasis, Epigenetic
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse
Cell Cycle
Epigenetic
Myelination
Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Tau Homeostasis, Autophagy
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Myelination, Cell Cycle, Proteostasis
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Epigenetic, Structural Stabilization, Synapse, Myelination, Vasculature
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Myelination, Synapse, Epigenetic, Vasculature
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Synapse, Myelination, Tau Homeostasis, Proteostasis
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Autophagy, Apoptosis
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Endolysosome
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Structural Stabilization, Unknown, Proteostasis, Cell Cycle
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Myelination
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Unknown
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Cell Communication, Cell Signaling, Neuronal Signaling, Development
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Unknown
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Unknown
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Apoptosis
Saved results to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Unknown_Temp_0.0/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Unknown_Temp_0.0/runtime_log.csv
