Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, APP Metabolism, Proteostasis, Apoptosis
GO Term: L-Methionine Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Vasculature, Epigenetic, Metal Binding and Homeostasis
GO Term: Glycoprotein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Synapse, Epigenetic, Immune Response
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Xanthine Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Proteostasis, Autophagy
GO Term: Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Apoptosis, Epigenetic
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, DNA Repair
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, DNA Repair, Lipid Metabolism
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis, Epigenetic
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Autophagy, Endolysosome
GO Term: Cmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: APP Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Menaquinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Synapse
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, DNA Repair
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature, Lipid Metabolism
GO Term: Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, APP Metabolism
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Temperature Stimulus -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Immune Response
GO Term: Cellular Response To Starvation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Response To Ph -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Mrna Transcription -> Biodomain: APP Metabolism, Tau Homeostasis, Epigenetic, Proteostasis, DNA Repair
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Rrna Transcription -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Trna Transcription -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Protein Secretion -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Immune Response, Autophagy
GO Term: Amine Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Amine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Synapse, Immune Response
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Response To Radiation -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Translational Attenuation -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Oxidative Stress, Epigenetic, Mitochondrial Metabolism, DNA Repair, Lipid Metabolism
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Toxin Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Toxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Toxin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Immune Response, Autophagy
GO Term: Response To Heat -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Cold -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Cell Cycle
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Vasculature
GO Term: Response To Water -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Response To Light Stimulus -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glyoxylate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Tau Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, APP Metabolism
GO Term: Putrescine Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Putrescine Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Putrescine Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Rna Modification -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Fertilization -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Immune Response
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Detection Of Visible Light -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Immune Response, Proteostasis
GO Term: Detection Of Gravity -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Synapse, Endolysosome
GO Term: Detection Of Chemical Stimulus -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, APP Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.1/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.1/runtime_log.csv
