Running with TEMP=0.5, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Establishment Of Protein Localization To Mitochondrial Membrane Involved In Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Sphingolipid Homeostasis -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Membrane Organization -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Golgi To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Golgi Ribbon Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Establishment Of Epithelial Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle, Lipid Metabolism
GO Term: Asymmetric Golgi Ribbon Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Golgi Disassembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Golgi Reassembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Regulation Of Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Golgi Inheritance -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Organelle Membrane Fusion -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Microtubule Cytoskeleton Organization Involved In Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Autophagy
GO Term: Regulation Of Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Positive Regulation Of Pancreatic Juice Secretion -> Biodomain: Digestion, Signaling, Endocrine, Digestive System, Exocytosis
GO Term: Negative Regulation Of Pancreatic Juice Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Autophagy
GO Term: Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Immune Response
GO Term: Negative Regulation Of Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Localization To Nuclear Pore -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Positive Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Endolysosome, Apoptosis
GO Term: Chromosome Localization To Nuclear Envelope Involved In Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Centrosome-Templated Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Centromere Complex Assembly -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Regulation Of Kinetochore Assembly -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Proteostasis
GO Term: Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Arachidonate Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Wnt Signaling Pathway Involved In Somitogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Axis Elongation Involved In Somitogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Convergent Extension Involved In Somitogenesis -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Cell Migration Involved In Somitogenic Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Protein Localization Involved In Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Regulation Of Muscle System Process -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Regulation Of Transcription-Coupled Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Fibroblast Growth Factor Production -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Fibroblast Growth Factor Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Somatostatin Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Somatostatin Secretion -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Immune Response
GO Term: Regulation Of Peptide Hormone Secretion -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Peptide Hormone Secretion -> Biodomain: Endocrine Function, Signaling Pathways, Regulation of Secretion, Secretion Processes, Metabolic Processes
GO Term: Regulation Of Calcium Ion Import -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Calcium Ion Import -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Calcium Ion Import -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Osteoclast Proliferation -> Biodomain: Cell Cycle, Immune Response, Epigenetic, Metal Binding and Homeostasis, Endolysosome
GO Term: Negative Regulation Of Osteoclast Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Nuclear Matrix Anchoring At Nuclear Membrane -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neural Crest Formation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Nucleic Acid Metabolic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Meiotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Mitotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dna Methylation-Dependent Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Chylomicron Remnant Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Autophagy, Proteostasis
GO Term: Regulation Of Superoxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Myelination, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Positive Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Negative Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Organofluorine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Organofluorine Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Epigenetic, Immune Response
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Cell Cycle, Immune Response, Epigenetic, Structural Stabilization
GO Term: Regulation Of Proteasome Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Mrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Ornithine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Vasculature
GO Term: Phagosome Maturation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phagosome Acidification -> Biodomain: Immune Response, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Phagosome-Lysosome Docking -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Apoptosis
GO Term: Phagosome-Lysosome Fusion -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Phagosome-Lysosome Fusion Involved In Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cellular Senescence -> Biodomain: Cell Cycle, Oxidative Stress, Apoptosis, DNA Repair, Proteostasis
GO Term: Replicative Senescence -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Oncogene-Induced Cell Senescence -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Oxidative Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Organophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Malonyl-Coa Synthetase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Malonate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Nicotinate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Thiamine Pyrophosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Acinar Cell Differentiation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Activation Of Meiosis -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Palmitoyl-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oleoyl-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Protein Localization To Nuclear Envelope -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Far/Sin/Stripak Complex -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Intracellular Aspartate Homeostasis -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Intracellular Glutamate Homeostasis -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dibasic Protein Processing -> Biodomain: Proteostasis, Endolysosome, Synapse, APP Metabolism, Apoptosis
GO Term: Pyrimidine Nucleotide-Sugar Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Vitamin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Small Rna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Catecholamine Uptake -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Dopamine Uptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Mesenchymal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Extrinsic Component Of Golgi Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Endocardial Cushion To Mesenchymal Transition -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Sphingolipid Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Immune Response, Endolysosome
GO Term: Podocyte Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Vesicle Tethering Involved In Exocytosis -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cation-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Calcium Ion-Transporting Atpase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Wich Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Norc Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Cerf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Mit Domain Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Flemming Body -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Phosphatidylcholine Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Phosphatidylethanolamine Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Phosphatidylserine Floppase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Establishment Of Endothelial Intestinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Membrane Permeability -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: 2-(3-Amino-3-Carboxypropyl)Histidine Synthase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Rna Polymerase Ii Transcription Repressor Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase Ii Transcription Regulator Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Phosphodiesterase Activity, Acting On 3'-Phosphoglycolate-Terminated Dna Strands -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Inflammatory Response To Wounding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Sensory Organ Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Tau Homeostasis
GO Term: Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Ubiquitin-Independent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Mitochondrial Mrna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Mitochondrial Mrna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Meiotic Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Endoribonuclease Activity, Cleaving Mirna-Paired Mrna -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair
GO Term: Sirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Activation Of Gtpase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Endolysosome
GO Term: Outer Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inner Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Mitochondrial Trna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Environmental Enrichment -> Biodomain: Synapse, Epigenetic, Autophagy, Proteostasis, Oxidative Stress
GO Term: Response To Oxygen-Glucose Deprivation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Cell Cycle
GO Term: Cellular Response To Oxygen-Glucose Deprivation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Apical Cytoplasm -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Double-Stranded/Single-Stranded Junction Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Telomeric Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Cone Matrix Sheath -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Walking Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cerebrospinal Fluid Circulation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Box H/Aca Telomerase Rnp Complex -> Biodomain: Telomere Maintenance, RNA Processing, DNA Repair, Protein Complex Assembly, Epigenetic
GO Term: Galanin-Activated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Scarna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
