Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Glomerular Basement Membrane Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Dendrite Cytoplasm -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Calcitonin Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cellular Ph Reduction -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cellular Ph Reduction -> Biodomain: Endolysosome, Autophagy, Immune Response, Oxidative Stress, Apoptosis
GO Term: Response To Insulin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Insulin Stimulus -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Hormone Stimulus -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Autophagy, Proteostasis
GO Term: Positive Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Dna Endoreduplication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dna Endoreduplication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Dna Endoreduplication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Establishment Or Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Synapse, APP Metabolism, Autophagy
GO Term: Regulation Of Microtubule-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Palmitoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Viral Transcription -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Neurotrophin Production -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Positive Regulation Of Neurotrophin Production -> Biodomain: Synapse, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Regulation Of Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Autophagy
GO Term: Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Apoptosis, Cell Cycle
GO Term: Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Vasculature
GO Term: Spermidine Acetylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Spermine Acetylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Putrescine Acetylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Circadian Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Activin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Growth, Differentiation and Death, Transcription and Translation, Cell Cycle, Apoptosis
GO Term: Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Sterol Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Sterol Sensor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Srebp-Scap Complex -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Endolysosome, Autophagy
GO Term: Srebp-Scap-Insig Complex -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Translation In Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Secretion By Cell -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Regulation Of Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Lipid Metabolism
GO Term: Inositol Trisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Vasculature, Oxidative Stress, Proteostasis
GO Term: Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Autophagy, Mitochondrial Metabolism
GO Term: Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Negative Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Extracellular Matrix Organization, Cell Adhesion
GO Term: Positive Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Muscle Filament Sliding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Muscle Filament Sliding Speed -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Amino Acid Export Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Release Of Matrix Enzymes From Mitochondria -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Membrane Insertase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Protein Insertion Into Mitochondrial Inner Membrane From Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Keratinocyte Activation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Mitochondrial Respiratory Chain Complex I Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Myosin Filament -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Kainate Selective Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: Protein-Dna Complex Disassembly -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Anatomical Entity Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Protein-Containing Complex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Protein-Dna Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Protein-Lipid Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Bcl3-Bcl10 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Fc-Epsilon Receptor I Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Fc-Gamma Receptor Iii Complex -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Paranodal Junction -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Vasculature
GO Term: Perinuclear Theca -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Tetrapyrrole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Tetrapyrrole Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Vasculature
GO Term: Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Sarcoplasmic Reticulum Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Mast Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Polysaccharide Localization -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Bitter Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: Sour Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Sweet Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Regulation Of Organelle Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Regulation Of Chromosome Organization -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Directional Locomotion -> Biodomain: Immune Response, Structural Stabilization, Mitochondrial Metabolism, Synapse, Vasculature
GO Term: Cellular Pigmentation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Rad51B-Rad51C-Rad51D-Xrcc2 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Rad51C-Xrcc3 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Isoquinoline Alkaloid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Extrathymic T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Immature T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Weibel-Palade Body -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Cis-Golgi Network Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Mitochondrial Respiratory Chain Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Acetylcholine Receptor Binding -> Biodomain: Synapse, Ion Homeostasis, Signal Transduction, Neuronal Maintenance, Neurotransmission
GO Term: Negative Regulation Of Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Immune Response, DNA Repair, Autophagy
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Immune Response, Apoptosis
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Epigenetic, Apoptosis, Cell Cycle
GO Term: Nuclear Progesterone Receptor Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Proteostasis, Epigenetic, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Ffat Motif Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Cytoskeletal Calyx -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Autophagy
GO Term: Immunoglobulin V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: T Cell Receptor V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Melanosome Membrane -> Biodomain: Endolysosome, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Interphotoreceptor Matrix -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Calcineurin-Nfat Signaling Cascade -> Biodomain: Proteostasis, Apoptosis, Immune Response, Epigenetic, Cell Cycle
GO Term: Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Proton-Transporting Two-Sector Atpase Complex, Proton-Transporting Domain -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Proton-Transporting Two-Sector Atpase Complex, Catalytic Domain -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Plasma Membrane Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, Vasculature
GO Term: Dolichol-Phosphate-Mannose Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Caf-1 Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Sphingomyelin Synthase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Response To Vitamin A -> Biodomain: Epigenetic, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Calmodulin-Dependent Protein Phosphatase Activity -> Biodomain: Calcium Signaling, Signal Transduction, Transcriptional Regulation, Ion Homeostasis, Proteostasis
GO Term: Response To Hydroperoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Vitamin E -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Response To Atp -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Ribonuclease P Rna Binding -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Meiotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Leptin-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Adiponectin-Activated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Iron Import Into Cell -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Immune Response, Autophagy, Oxidative Stress
GO Term: Reductive Iron Assimilation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: Amide Binding -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dsrna Transport -> Biodomain: Immune Response, Endolysosome, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Cysteine Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Immune Response, Autophagy
GO Term: Positive Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: I-Kappab/Nf-Kappab Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Bcl3/Nf-Kappab2 Complex -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Nuclear Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
