Running with TEMP=0.9, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Cellular Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Immune Response, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair
GO Term: Regulation Of Hemostasis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Hemostasis -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response, Vasculature
GO Term: Positive Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Peroxisome Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Cellular Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Arginine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Arginine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Positive Regulation Of Peptidyl-Tyrosine Autophosphorylation -> Biodomain: Cell Cycle, Synapse, Immune Response, Vasculature, Proteostasis
GO Term: Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Negative Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Hyaluranon Cable Assembly -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Nodal Signaling Pathway -> Biodomain: Developmental Biology, Signal Transduction, Growth Factor Signaling, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Nodal Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Epigenetic
GO Term: Extracellular Negative Regulation Of Signal Transduction -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Autophagy
GO Term: Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Positive Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Negative Regulation Of Lipid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Epigenetic, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Structural Stabilization, Synapse, Cell Cycle
GO Term: Positive Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, DNA Repair
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Bone Trabecula Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Phospholipid Scramblase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Glial Cell-Derived Neurotrophic Factor Production -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Epigenetic, Synapse
GO Term: Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, APP Metabolism
GO Term: Negative Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Positive Regulation Of Protein Localization To Nucleus -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Negative Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy, DNA Repair
GO Term: Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Collecting Duct Development -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Nephron Tubule Development -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Negative Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Negative Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Innate Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Single-Species Biofilm Formation In Or On Host Organism -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Kit Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Phenotypic Switching -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Mda-5 Signaling Pathway -> Biodomain: Immune Response, Inflammation, Apoptosis, Cellular Response to Stimulus, Signal Transduction
GO Term: Positive Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Rna-Dependent Rna Polymerase Activity -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Dna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Post-Transcriptional Gene Silencing By Regulatory Ncrna -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Palmitic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Monocyte Aggregation -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Uterine Smooth Muscle Relaxation -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Negative Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Immune Response, Autophagy
GO Term: Positive Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Immune Response, Autophagy
GO Term: Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: (R)-Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Doxorubicin Transport -> Biodomain: Endolysosome, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Cardiac Conduction, Electrophysiology, Cardiac Function, Calcium Signaling, Cell Signaling
GO Term: Negative Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Mitochondrial Rna Modification -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glycine Import Across Plasma Membrane -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Negative Regulation Of Fermentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Apoptosis, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Dextrin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, DNA Repair, Proteostasis
GO Term: Negative Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Sarcosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sarcosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Relaxation Of Muscle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature, Synapse
GO Term: Negative Regulation Of Relaxation Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Smooth Muscle, Calcium Regulation, Vascular Regulation, Cell Signaling
GO Term: Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Gentamycin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Carbohydrate Derivative Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Carbohydrate Derivative Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Carbohydrate Derivative Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Insulin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Gene Expression Involved In Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: D-Xylulose 5-Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Negative Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Neural Crest Cell Migration Involved In Autonomic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Immune Response
GO Term: Naphthalene Catabolic Process -> Biodomain: Oxidative Stress, Immune Response, Autophagy, DNA Repair, Apoptosis
GO Term: Lycopene Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Erbb Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Negative Regulation Of Erbb Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Erbb Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Synapse
GO Term: Negative Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, DNA Repair
GO Term: Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Immune Response
GO Term: Regulation Of Heart Looping -> Biodomain: Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Heart Looping -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cardiac Chamber Formation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: (R)-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Positive Regulation Of Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Autophagy, Proteostasis, Endolysosome, Immune Response, Apoptosis
GO Term: Nucleotide-Excision Repair Involved In Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
