Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Atp-Binding Cassette (Abc) Transporter Complex -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Immune Response, Apoptosis
GO Term: Axon Initial Segment -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Myelination, Tau Homeostasis
GO Term: Terminal Bouton -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Varicosity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Shaft -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Sulfate Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Response To Amino Acid -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Response To L-Leucine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Lysosomal Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Axon Hillock -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Unknown
GO Term: Perikaryon -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Response To External Biotic Stimulus -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Glycosphingolipid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis
GO Term: Daunorubicin Transport -> Biodomain: Endolysosome, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Compact Myelin -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome
GO Term: Lateral Loop -> Biodomain: Myelination, Synapse, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Schmidt-Lanterman Incisure -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Autophagy
GO Term: Smc Family Protein Binding -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Atpase-Coupled Inorganic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Immune Response
GO Term: Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Membraneless Organelle -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Intracellular Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Intracellular Membrane-Bounded Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Intracellular Membraneless Organelle -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Endolysosome
GO Term: Laminin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Unknown, Immune Response
GO Term: Laminin-1 Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Fanconi Anaemia Nuclear Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Proteasome Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Erythrocyte Maturation -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Sodium-Dependent Organic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Synapse, Vasculature
GO Term: Sodium-Dependent Organic Anion Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sodium-Independent Organic Anion Transport -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Apoptosis
GO Term: Laminin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Apoptosis
GO Term: Laminin-8 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Laminin-10 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Laminin-11 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Autophagy
GO Term: Adp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Positive Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Regulation Of Monoatomic Ion Transport -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Oxidative Stress, Vasculature
GO Term: Ctpase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Unknown, Proteostasis, Autophagy
GO Term: Phospholipase Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Anoikis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Response To Morphine -> Biodomain: Synapse, Oxidative Stress, Immune Response, Epigenetic, Autophagy
GO Term: Response To Alkaloid -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Apoptosis, Immune Response
GO Term: Rave Complex -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Contractile Muscle Fiber -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Apoptosome -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glutathione Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Apical Junction Complex -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Synapse
GO Term: Apical Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Autophagy
GO Term: Leukocyte Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Eosinophil Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Neutrophil Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Apoptosis
GO Term: Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Natural Killer Cell Degranulation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Natural Killer Cell Degranulation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Phosphatidylinositol-3,4-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Vasculature
GO Term: Protein Transport To Vacuole Involved In Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Exogenous Dsrna -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Dsrna -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Protein Unfolding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Cardiolipin Synthase (Cmp-Forming) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Enucleate Erythrocyte Differentiation -> Biodomain: Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Epigenetic
GO Term: Nucleate Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Beta Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Unknown
GO Term: Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Cd4-Positive Or Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Cd4-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Unknown
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Memory T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Memory T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Negative T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Positive Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Regulation of Transcription, Cell Cycle, Proteostasis
GO Term: Regulation Of Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Proteoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Heparan Sulfate Proteoglycan Binding -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Hlh Domain Binding -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Cortisol Secretion -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Apoptosis
GO Term: Steroid Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Skeletal Muscle Tissue Regeneration -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Epigenetic
GO Term: Regulation Of Map Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Map Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Map Kinase Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Mapk Cascade -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mapk Cascade -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Macromolecule Glycosylation -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Epigenetic, Cell Cycle
GO Term: Macromolecule Methylation -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Autophagy, Cell Cycle, Apoptosis
GO Term: Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Autophagy, Vasculature
GO Term: Negative Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Homocysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Anthranilate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Protein Kinase B Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Bhlh Transcription Factor Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Synapse, Lipid Metabolism
GO Term: Mrf Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic,DNA Repair,Proteostasis,Autophagy,Apoptosis
GO Term: Response To Peptide Hormone -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Acetoacetic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Regulation Of Pentose-Phosphate Shunt -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Carbohydrate Catabolic Process -> Biodomain: Carbohydrate Metabolism, Mitochondrial Metabolism, Metabolism, Metabolic Regulation, Energy Metabolism
GO Term: Pigmentation -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Pigment Metabolic Process Involved In Pigmentation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Pigment Accumulation -> Biodomain: Oxidative Stress, Endolysosome, Autophagy, Proteostasis, Unknown
GO Term: Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Rna Stability -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Regulation Of Mrna Stability -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Rna Stabilization -> Biodomain: RNA Spliceosome, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Endolysosome
GO Term: Malate-Aspartate Shuttle -> Biodomain: Mitochondrial Metabolism, Small Molecule Biochemistry, Energy Metabolism, Metabolic Pathways, Carbohydrate Metabolism
GO Term: Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Membrane-Membrane Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Skeletal Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Skeletal Muscle Fiber Adaptation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Cenp-A Containing Nucleosome -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Jun Kinase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Negative Regulation Of Jun Kinase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Activin A Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Endolysosome
GO Term: Inhibin A Complex -> Biodomain: Proteostasis, Vasculature, Synapse, Cell Cycle, Apoptosis
GO Term: Inhibin B Complex -> Biodomain: Endocrine Signaling,Protein Complex Assembly,Hormone Activity,Cell Cycle,Extracellular Space
GO Term: Interleukin-12 Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Endolysosome
GO Term: Kinetochore Binding -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Unknown
GO Term: Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Myosin Ii Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Leucine Zipper Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Protein Binding, Unknown, Synapse
GO Term: Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Tau Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Autophagy, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Cell Cycle
GO Term: Trna Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Unknown
GO Term: Trna (M2G10) Methyltransferase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Unknown
GO Term: Get Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Adenosine 5'-Monophosphoramidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Adp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Angiostatin Binding -> Biodomain: Vasculature, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Inositol 1,3,4,5 Tetrakisphosphate Binding -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: 6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Udp-N-Acetylglucosamine Transferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress
GO Term: Molybdopterin Cofactor Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Molybdopterin Cofactor Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Positive Regulation Of Gtpase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Phosphatidylinositol 3-Kinase Binding -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
