Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, Apoptosis, Cell Cycle, Autophagy
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Methionine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: L-Methionine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glycoprotein Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Autophagy, Endolysosome
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Oxidative Stress, Autophagy
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Xanthine Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, APP Metabolism, Lipid Metabolism
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle, Proteostasis
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, DNA Repair
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair
Cell Cycle
Mitochondrial Metabolism
Epigenetic
Metal Binding and Homeostasis
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair  
Mitochondrial Metabolism  
Autophagy  
Apoptosis  
Oxidative Stress
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, RNA Spliceosome, Lipid Metabolism
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, DNA Repair, Cell Cycle, Apoptosis
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Proteostasis
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Immune Response, Mitochondrial Metabolism, Epigenetic
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, DNA Repair, Metal Binding and Homeostasis
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, DNA Repair
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair  
Cell Cycle  
Mitochondrial Metabolism  
Metal Binding and Homeostasis  
Lipid Metabolism
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Cmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Proteostasis
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Vitamin Metabolism, Small Molecule Biochemistry, Energy Metabolism, Lipid Metabolism
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, DNA Repair
GO Term: Menaquinone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Immune Response, Endolysosome
GO Term: Protein Lipoylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Epigenetic, DNA Repair
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Response To Temperature Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Cellular Response To Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Ph -> Biodomain: Oxidative Stress, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Mrna Transcription -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Rrna Transcription -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Trna Transcription -> Biodomain: Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Immune Response, Synapse, Autophagy
GO Term: Amine Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Amine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Immune Response
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Translational Attenuation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Toxin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Toxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Toxin Catabolic Process -> Biodomain: Detoxification, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Cold -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Immune Response, Apoptosis
GO Term: Response To Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Response To Water -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Autophagy, Myelination
GO Term: Response To Light Stimulus -> Biodomain: Oxidative Stress, Apoptosis, DNA Repair, Epigenetic, Cell Cycle
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic, Proteostasis
GO Term: Glyoxylate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Putrescine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Putrescine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Putrescine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Rna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Fertilization -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Detection Of Gravity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Detection Of Chemical Stimulus -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Endolysosome
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.1/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.1/runtime_log.csv
