Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Vasculature, Proteostasis
GO Term: Negative Regulation Of Udp-Glucose Catabolic Process -> Biodomain: Carbohydrate Metabolism, Small Molecule Metabolism, Regulation of Metabolic Process, Metabolic Regulation, Autophagy
GO Term: Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, APP Metabolism, Vasculature, Lipid Metabolism
GO Term: Positive Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, APP Metabolism, Immune Response
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Negative Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Cell Cycle
GO Term: Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Tolerance Induction -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nadph Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Transcription By Competitive Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Coenzyme A Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Intestinal Phytosterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Negative Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Negative Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Regulation Of Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Intracellular Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Structural Stabilization, Epigenetic
GO Term: Regulation Of Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Autophagy
GO Term: Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle  
Proteostasis  
Apoptosis  
DNA Repair  
Autophagy
GO Term: Regulation Of Neuron Projection Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Cell Differentiation, Proteostasis, Autophagy
GO Term: Positive Regulation Of Vitamin D 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Negative Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Negative Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Autophagy
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Ubiquitin Recycling -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, DNA Repair
GO Term: Response To Auditory Stimulus -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Anaphase-Promoting Complex Binding -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Regulation Of Translational Initiation By Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Immune Response, Endolysosome
GO Term: Induction Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Immune Response
GO Term: Endomembrane System -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Er To Golgi Transport Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Astrocyte Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Oligodendrocyte Development -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Autophagy
GO Term: Microglia Differentiation -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Microglia Development -> Biodomain: Immune Response, Myelination, Synapse, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Microglia Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Structural Stabilization, Synapse, Proteostasis
GO Term: Schwann Cell Proliferation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Peripheral Nervous System Axon Regeneration -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Autophagy, Immune Response
GO Term: Regulation Of Gliogenesis -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Gliogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Gliogenesis -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Neuroblast Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Notochord Formation -> Biodomain: Structural Stabilization, Vasculature, Synapse, Epigenetic, Immune Response
GO Term: Neural Crest Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Myelination
GO Term: Mesenchymal Cell Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Immune Response, Vasculature
GO Term: Neural Crest Cell Development -> Biodomain: Myelination, Vasculature, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Neural Crest Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Epigenetic, Structural Stabilization, Synapse
GO Term: Neural Crest Cell Fate Commitment -> Biodomain: Cell Differentiation  
Developmental Process  
Stem Cell Differentiation  
Tissue Development  
Mesenchyme Development
GO Term: Neural Crest Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination  
Structural Stabilization  
Lipid Metabolism  
Cell Cycle  
Synapse
GO Term: Positive Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination  
Structural Stabilization  
Synapse  
Lipid Metabolism  
Cell Cycle
GO Term: Regulation Of Neuron Maturation -> Biodomain: Synapse, Myelination, Tau Homeostasis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Neuron Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neuron Maturation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Schwann Cell Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Establishment Of Endothelial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Neurotransmitter Release, Neurotransmitter Signaling, Vesicle Trafficking, Exocytosis
GO Term: Negative Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Dopamine Secretion -> Biodomain: Synapse, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Serotonin Secretion -> Biodomain: Synapse, Vasculature, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Response To Amine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Junctional Sarcoplasmic Reticulum Membrane -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Intercalated Disc -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Autophagy
GO Term: C Zone -> Biodomain: Structural Stabilization, Muscle System, Cellular Structures, Contractile Fiber, Sarcomere Organization
GO Term: Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Branchiomeric Skeletal Muscle Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle  
Structural Stabilization  
Autophagy  
Epigenetic  
Proteostasis
GO Term: Positive Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Skeletal Muscle Satellite Cell Activation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Skeletal Muscle Contraction By Modulation Of Calcium Ion Sensitivity Of Myofibril -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of The Force Of Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Spectrin-Associated Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Skeletal Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Skeletal Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Muscle Atrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Muscle Hyperplasia -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Negative Regulation Of Muscle Hyperplasia -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Longitudinal Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism
GO Term: Terminal Cisterna -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Terminal Cisterna Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Smooth Muscle Adaptation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Smooth Muscle Hyperplasia -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Oxidative Stress, Immune Response
GO Term: Regulation Of Somitogenesis -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Muscle Function, Calcium Signaling, Metal Binding and Homeostasis, Cellular Compartments, Regulation of Cellular Processes
GO Term: Positive Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis  
Structural Stabilization  
Proteostasis  
Oxidative Stress  
Autophagy
GO Term: Muscle Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Skeletal Muscle Satellite Cell Commitment -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, Proteostasis
GO Term: Regulation Of Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Tonic Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Detection Of Wounding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Artery Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Vein Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Blood Circulation, Circulatory System Process, Regulation of Biological Quality
GO Term: Intestine Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Autophagy
GO Term: Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Urinary Bladder Smooth Muscle Contraction -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Myoblast Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Immune Response
GO Term: Myoblast Migration Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Vasculature
GO Term: Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, DNA Repair
GO Term: Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Autophagy
GO Term: Growth Factor Dependent Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Esophagus Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Response To Muscle Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Excitatory Postsynaptic Membrane Potential Involved In Skeletal Muscle Contraction -> Biodomain: Synapse, Neuromuscular Junction, Muscle Function, Structural Stabilization, Cell Communication
GO Term: Response To Inactivity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Skeletal Muscle Contraction Via Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Skeletal Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Response To Muscle Inactivity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Response To Muscle Activity Involved In Regulation Of Muscle Adaptation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Injury Involved In Regulation Of Muscle Adaptation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Response To Electrical Stimulus Involved In Regulation Of Muscle Adaptation -> Biodomain: Synapse, Mitochondrial Metabolism, Myelination, Epigenetic, Lipid Metabolism
GO Term: Transition Between Fast And Slow Fiber -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Transition Between Slow And Fast Fiber -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Striated Muscle Atrophy -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Oxidative Stress
GO Term: Response To Denervation Involved In Regulation Of Muscle Adaptation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Epigenetic
GO Term: Smooth Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Muscle Hypertrophy -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Structural Stabilization, Response to Stress, Muscle System Process, Adaptation, Vasculature
GO Term: Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Epigenetic, Apoptosis
GO Term: Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Myotube Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Differentiation, Tissue Regeneration, Muscle Structure Development, Developmental Processes, Cellular Processes
GO Term: Myotube Cell Development Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Epigenetic
GO Term: Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Epigenetic, Apoptosis
GO Term: Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Glycoprotein Metabolism, Carbohydrate Metabolism, Structural Stabilization, Lipid Metabolism
GO Term: Heparan Sulfate N-Sulfotransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Heparan-Alpha-Glucosaminide N-Acetyltransferase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, APP Metabolism
GO Term: Glucuronosyltransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Immune Response, Autophagy
GO Term: Glucuronate-2-Sulfatase Activity -> Biodomain: Proteostasis, Endolysosome, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Coreceptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Protein-Disulfide Reductase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
