Running with TEMP=0.1, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Regulation Of Cellular Response To Heat -> Biodomain: Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cellular Response To Heat -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Apoptosis
GO Term: Positive Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, DNA Repair, Immune Response, Apoptosis
GO Term: Negative Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Immune Response, DNA Repair, Apoptosis, Autophagy
GO Term: Regulation Of Hemostasis -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Hemostasis -> Biodomain: Vasculature, Immune Response, Apoptosis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Peroxisome Organization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Cellular Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Myelination, Proteostasis
GO Term: Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Insulin Signaling, Metabolic Processes, Signal Transduction, Cellular Response Regulation, Endocrine System
GO Term: Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Arginine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Arginine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Positive Regulation Of Peptidyl-Tyrosine Autophosphorylation -> Biodomain: Immune Response, Cell Cycle, Vasculature, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Negative Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Hyaluranon Cable Assembly -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Regulation Of Nodal Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Negative Regulation Of Nodal Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Extracellular Negative Regulation Of Signal Transduction -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Structural Stabilization
GO Term: Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Myelination
GO Term: Negative Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Negative Regulation Of Lipid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Positive Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Negative Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Immune Response, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Bone Trabecula Formation -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Immune Response
GO Term: Negative Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Phospholipid Scramblase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Glial Cell-Derived Neurotrophic Factor Production -> Biodomain: Proteostasis, Synapse, Myelination, Structural Stabilization, Epigenetic
GO Term: Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, APP Metabolism
GO Term: Negative Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Nucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Vasculature
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Collecting Duct Development -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Nephron Tubule Development -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Negative Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Positive Regulation Of Amyloid-Beta Clearance -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Immune Response
GO Term: Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Single-Species Biofilm Formation In Or On Host Organism -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Kit Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Cell Cycle
GO Term: Regulation Of Phenotypic Switching -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Mda-5 Signaling Pathway -> Biodomain: Immune Response, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Rna-Dependent Rna Polymerase Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Positive Regulation Of Dna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Synapse, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Post-Transcriptional Gene Silencing By Regulatory Ncrna -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Palmitic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Myelination, Autophagy
GO Term: Regulation Of Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Monocyte Aggregation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Uterine Smooth Muscle Relaxation -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature, Lipid Metabolism
GO Term: Positive Regulation Of Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, DNA Repair
GO Term: Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: (R)-Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Doxorubicin Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Vasculature
GO Term: Negative Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Cardiac Function, Ion Homeostasis, Electrophysiology, Regulation of Ion Transport, Cell Signaling
GO Term: Mitochondrial Rna Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glycine Import Across Plasma Membrane -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Fermentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Structural Stabilization
GO Term: Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Dextrin Catabolic Process -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Sarcosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sarcosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Relaxation Of Muscle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Relaxation Of Muscle -> Biodomain: Synapse, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Negative Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Gentamycin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Carbohydrate Derivative Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Carbohydrate Derivative Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Carbohydrate Derivative Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Insulin Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Vasculature, Epigenetic
GO Term: Gene Expression Involved In Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: D-Xylulose 5-Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Autophagy, Epigenetic
GO Term: Negative Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Neural Crest Cell Migration Involved In Autonomic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Epigenetic
GO Term: Naphthalene Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Lycopene Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Erbb Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Erbb Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Endolysosome, Immune Response
GO Term: Positive Regulation Of Erbb Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Synapse, Vasculature
GO Term: Negative Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Endolysosome
GO Term: Negative Regulation Of Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Heart Looping -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Heart Looping -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Vasculature, Autophagy
GO Term: Negative Regulation Of Cardiac Chamber Formation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Vasculature
GO Term: Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: (R)-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Positive Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Immune Response, Vasculature
GO Term: Positive Regulation Of Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Autophagy, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Nucleotide-Excision Repair Involved In Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
