Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Myelination
GO Term: Glycolipid Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Meprin A Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Immune Response, APP Metabolism
GO Term: Heparan Sulfate 6-Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Lipid Metabolism
GO Term: Acetylserotonin O-Methyltransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Immune Response, Synapse
GO Term: Sulfonylurea Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Apoptosis, Unknown
GO Term: Very-Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Aminoacyl-Trna Synthetase Multienzyme Complex -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: 5'-Flap Endonuclease Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: Glutamate-Cysteine Ligase Complex -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Nucleoside Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Ribonucleoside Triphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Cell Cycle
GO Term: Dihydropyrimidine Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Single-Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Lipoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Golgi Transport Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Plasma Membrane Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Protein N-Acetylglucosaminyltransferase Complex -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Sh3 Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Cell Cycle
GO Term: Deoxycytidyl Transferase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Autophagy
GO Term: Nucleologenesis -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Phospholipid Scramblase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Triglyceride Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Myelination
GO Term: Poly(C) Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Fibroblast Growth Factor Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Histone Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Insecticide Metabolic Process -> Biodomain: Toxin/Antibiotic Metabolism, Xenobiotic Metabolism, Detoxification, Oxidative Stress, Lipid Metabolism
GO Term: Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Nmda Selective Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Wnt-Protein Binding -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Vasculature, Synapse
GO Term: Negative Regulation Of Translation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Unknown
GO Term: Trna Dihydrouridine Synthase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Dead/H-Box Rna Helicase Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Sodium:Dicarboxylate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Semaphorin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Apoptosis
GO Term: Calcium-Ion Regulated Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Unknown
GO Term: Regulation Of Exocytosis -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Pantetheine Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Inositol-1,3,4-Trisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Aryl Hydrocarbon Receptor Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Vinculin Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Unknown
GO Term: 5-Oxoprolinase (Atp-Hydrolyzing) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Serine Hydrolase Activity -> Biodomain: Proteostasis, Hydrolase Activity, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism
GO Term: Cysteine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Glycine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Glucosidase Ii Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Diphthine-Ammonia Ligase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein Histidyl Modification To Diphthamide -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Unknown
GO Term: Peptidyl-Lysine Hydroxylation -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidyl-Pyroglutamic Acid Biosynthetic Process, Using Glutaminyl-Peptide Cyclotransferase -> Biodomain: Proteostasis, APP Metabolism, Immune Response, Synapse, Lipid Metabolism
GO Term: Peptidyl-Glutamic Acid Carboxylation -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: L-Aspartate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Myelination, Synapse, Endolysosome
GO Term: N-Terminal Peptidyl-Aspartic Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: N-Terminal Peptidyl-Glutamine Acetylation -> Biodomain: Proteostasis, Epigenetic, Unknown, Autophagy, Apoptosis
GO Term: N-Terminal Peptidyl-Methionine Acetylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: N-Terminal Peptidyl-Glutamic Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Peptidyl-Lysine N6-Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, APP Metabolism, Mitochondrial Metabolism
GO Term: N-Terminal Peptidyl-Glycine N-Myristoylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Vasculature
GO Term: N-Terminal Peptidyl-L-Cysteine N-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: N-Terminal Peptidyl-Glycine Methylation -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Lipid Metabolism, Unknown
GO Term: N-Terminal Peptidyl-Proline Dimethylation -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Autophagy, Cell Cycle
GO Term: Peptidyl-Histidine Methylation -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Peptidyl-Lysine Methylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Immune Response
GO Term: Peptidyl-Lysine Trimethylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Calmodulin-Lysine N-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Unknown
GO Term: Peptidyl-Lysine Monomethylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine Dimethylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine N6-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Peptidyl-Lysine Oxidation -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Cytochrome C-Heme Linkage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Protein-L-Histidine N-Tele-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: N-Terminal Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Polyglycylation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Protein Polyglutamylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Tau Homeostasis, Synapse
GO Term: Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Peptidyl-Tyrosine Phosphorylation -> Biodomain: Cell Cycle, Immune Response, Synapse, Vasculature, Structural Stabilization
GO Term: Proline Racemase Activity -> Biodomain: Amino Acid Metabolism, Metabolism, Immune Response, Cellular Processes, Unknown
GO Term: Threonine Racemase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Protein Adenylylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Peptidyl-Cysteine S-Nitrosylation -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Peptidyl-Cysteine Methylation -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Protein Hydroxylation -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Keratan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Synapse
GO Term: Peptide Cross-Linking -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Isopeptide Cross-Linking Via N6-(L-Isoglutamyl)-L-Lysine -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Unknown
GO Term: Protein Oxidation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Peptidyl-Serine Octanoylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Unknown
GO Term: Peptidyl-Glutamic Acid Modification -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, APP Metabolism, Epigenetic
GO Term: Peptidyl-Methionine Modification -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Peptidyl-Arginine Methylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Unknown
GO Term: Peptidyl-L-Cysteine S-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Myelination, APP Metabolism
GO Term: Protein O-Linked Glycosylation Via Serine -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Protein O-Linked Glycosylation Via Threonine -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Protein-Pyridoxal-5-Phosphate Linkage Via Peptidyl-N6-Pyridoxal Phosphate-L-Lysine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Deamination -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis, Immune Response
GO Term: Protein N-Linked Glycosylation Via Asparagine -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, APP Metabolism
GO Term: Protein-Fad Linkage -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Protein Prenylation -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Protein Farnesylation -> Biodomain: Lipid Metabolism, Structural Stabilization, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Protein Geranylgeranylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Peptidyl-Glutamine Methylation -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Internal Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Peptidyl-Lysine Hydroxylation To 5-Hydroxy-L-Lysine -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Proline Hydroxylation To 4-Hydroxy-L-Proline -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein C-Terminal Leucine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, APP Metabolism
GO Term: Translation Release Factor Complex -> Biodomain: Proteostasis, Unknown, Unknown, Unknown, Unknown
GO Term: Alcohol Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Formaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Benzaldehyde Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Unknown, Autophagy
GO Term: Malonate-Semialdehyde Dehydrogenase (Acetylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown, Autophagy
GO Term: Benzaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Methanethiol Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Unknown
GO Term: 4-Nitrophenol 2-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: (S)-Limonene 6-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: (S)-Limonene 7-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Alkane 1-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: Thiol S-Methyltransferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Propionate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: S-Formylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Acetylpyruvate Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Unknown, Oxidative Stress, Autophagy
GO Term: 3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cyanamide Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Benzoate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Arsonoacetate Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Benzoate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Autophagy
GO Term: Biphenyl Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Unknown
GO Term: Carbon Tetrachloride Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Benzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Phthalate Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Propylene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Thiocyanate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Unknown
GO Term: Guanyl Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Gmp Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Gdp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Epigenetic, Cell Cycle, DNA Repair, Apoptosis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Apoptosis, Proteostasis
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Virion Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Immune Response, Unknown
GO Term: Viral Rna Genome Packaging -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Autophagy, Apoptosis
GO Term: Virus Maturation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Viral Release From Host Cell -> Biodomain: Apoptosis, Autophagy, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Viral Genome Replication -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy, Metal Binding and Homeostasis
GO Term: Viral Translation -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Unknown
GO Term: Viral Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Viral Transcription -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Immune Response, Apoptosis
GO Term: Early Viral Transcription -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, Immune Response, Proteostasis
GO Term: Late Viral Transcription -> Biodomain: Proteostasis, Autophagy, Immune Response, Epigenetic, Apoptosis
GO Term: Reproductive Behavior -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Vasculature
GO Term: Male Germ-Line Sex Determination -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Lipid Metabolism
GO Term: Female Somatic Sex Determination -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, DNA Repair
GO Term: Male Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Unknown
GO Term: Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: D-Ribulokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Vasculature, Unknown
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Mannokinase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Proteostasis, Endolysosome, APP Metabolism
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nadp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Unknown
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Amino Acid Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Nucleoside Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Kinase Regulator Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Phosphatase Regulator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Unknown
GO Term: Kinase Activator Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Phosphatase Activator Activity -> Biodomain: Proteostasis, Tau Homeostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Synapse, Immune Response, Proteostasis
