Running with TEMP=0.5, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Beta-Galactoside (Cmp) Alpha-2,3-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Beta-Ureidopropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Gamma-Glutamylcyclotransferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: 1-Acylglycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: L-Glutamate Gamma-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 1,4-Alpha-Glucan Branching Enzyme Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: 2-Acylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Endolysosome
GO Term: N-Acylsphingosine Galactosyltransferase Activity -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Short-Chain 2-Methyl Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Beta-Hydroxy-Delta5-Steroid Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: 3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Hydroxybutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 3-Hydroxyisobutyryl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Branched-Chain 2-Oxo Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Oxo-5-Alpha-Steroid 4-Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: 4-Hydroxyphenylpyruvate Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: 5-Aminolevulinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: 6-Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Autophagy
GO Term: 6-Phosphofructo-2-Kinase Activity -> Biodomain: Glycolysis and Gluconeogenesis, Carbohydrate Metabolism, Metabolic Processes, Cell Growth and Proliferation, Signal Transduction
GO Term: 6-Pyruvoyltetrahydropterin Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Adp-Ribosylarginine Hydrolase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Oxidative Stress, Autophagy
GO Term: Amp Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Atp:Adp Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, DNA Repair
GO Term: Atp Citrate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Protein C-Terminal Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Cdp-Diacylglycerol-Inositol 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Cdp-Diacylglycerol-Serine O-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Ctp Synthase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Autophagy, DNA Repair
GO Term: D-Amino-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Dna (Cytosine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Dna-Directed Rna Polymerase Activity -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Deoxyribodipyrimidine Photo-Lyase Activity -> Biodomain: DNA Repair, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Alkylbase Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Cell Cycle
GO Term: Methylated-Dna-[Protein]-Cysteine S-Methyltransferase Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Cell Cycle
GO Term: Dna Ligase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Dna Ligase (Atp) Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dna Nucleotidylexotransferase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Dna (6-4) Photolyase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Dna Topoisomerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dna Topoisomerase Type I (Single Strand Cut, Atp-Independent) Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Structural Stabilization
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Fmn Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Gmp Reductase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Gmp Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Gmp Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Autophagy
GO Term: Gpi-Anchor Transamidase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Synapse
GO Term: Gtpase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: G Protein Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Gtp Cyclohydrolase I Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Synapse, Epigenetic
GO Term: Imp Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Imp Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Autophagy, Proteostasis
GO Term: L-Iditol 2-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Iduronidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: L-Serine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: N-Acetylgalactosamine-4-Sulfatase Activity -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: N-Acetylglucosamine-1-Phosphodiester Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: N-Acetyllactosamine Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: (N-Acetylneuraminyl)-Galactosylglucosylceramide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Synapse, Endolysosome, Immune Response
GO Term: N4-(Beta-N-Acetylglucosaminyl)-L-Asparaginase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Nad+ Poly-Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Nad+ Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nad+ Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nad+ Nucleosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Nadh Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nad(P)H Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Nad(P)+ Transhydrogenase (Si-Specific) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nadph-Hemoprotein Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nadph:Quinone Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Rna-3'-Phosphate Cyclase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Rna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, APP Metabolism, Mitochondrial Metabolism
GO Term: Rna-Directed Rna Polymerase Activity -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy, Immune Response
GO Term: Rna Ligase (Atp) Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: (S)-2-Hydroxy-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Udp-N-Acetylglucosamine 4-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Udp-N-Acetylglucosamine-Dolichyl-Phosphate N-Acetylglucosaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Udp-N-Acetylglucosamine-Lysosomal-Enzyme N-Acetylglucosaminephosphotransferase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Udp-N-Acetylglucosamine Diphosphorylase Activity -> Biodomain: Glycosylation, Metabolism, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Udp-Glucose 4-Epimerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Udp-Glucose 6-Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Udp-Glucose:Glycoprotein Glucosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Utp:Glucose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Acetolactate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Acetyl-Coa C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Acetyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Metal Binding and Homeostasis
GO Term: Acetyl-Coa C-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acetyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Acetylcholinesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Acid Phosphatase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Aconitate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acylphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Adenine Phosphoribosyltransferase Activity -> Biodomain: Cell Cycle, DNA Repair, Metal Binding, Apoptosis, Oxidative Stress
GO Term: Adenosine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, RNA Spliceosome, DNA Repair
GO Term: Adenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Adenosylhomocysteinase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Adenosylmethionine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Adenylate Cyclase Activity -> Biodomain: Synapse, Immune Response, Autophagy, Epigenetic, Cell Cycle
GO Term: Amp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: N6-(1,2-Dicarboxyethyl)Amp Amp-Lyase (Fumarate-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Adenylosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Adenylylsulfate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Alanine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolic Processes, Proteostasis, Metal Binding and Homeostasis
GO Term: Alcohol Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: 3-Chloroallyl Aldehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Aldehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Aldehyde Oxidase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Aldose Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Apoptosis, Autophagy, Vasculature
GO Term: Aldose 1-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Alkaline Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Endolysosome, Vasculature
GO Term: Allantoicase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Amidase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: L-Glutamate N-Acetyltransferase Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: L-Aminoadipate-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Amidophosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Peptidyl-Trna Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Aminoacylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Aminomethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair
GO Term: Apyrase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Arachidonate 5-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Arachidonate 12(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
GO Term: Arginase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Argininosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Argininosuccinate Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Arginyl-Trna--Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Aromatic-L-Amino-Acid Decarboxylase Activity -> Biodomain: Neurotransmission, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Neurotransmitter Metabolism, Molecular Function, Chronobiology
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Arylformamidase Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Arylesterase Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Arylsulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Asparaginase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Biotin Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: Nucleotide Metabolism, Enzymatic Activity, Metabolic Pathways, Molecular Functions, Biochemical Reactions
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Carbonate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Endolysosome
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Myelination, Autophagy
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Choline Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Myelination, Structural Stabilization, Oxidative Stress
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Oxidative Stress, Immune Response
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Immune Response
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Myelination, Cell Cycle
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cytidine Deaminase Activity -> Biodomain: Immune Response, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
