Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Epigenetic, Synapse, Cell Cycle, Structural Stabilization
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Synapse, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Glial Cell Fate Specification -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Glial Cell Fate Commitment -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Glial Cell Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Endolysosome, Synapse
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Autophagy
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Autophagy, Proteostasis
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Developmental Biology, Cell Cycle, Autophagy
GO Term: Cell Proliferation In Forebrain -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Synapse, Cell Cycle, Developmental Process, Neurogenesis, Neural Development
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Developmental Process, Neuronal Signaling, Structural Stabilization, Epigenetic
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Epigenetic
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Myelination
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Developmental Process, Structural Stabilization, Myelination, Cell Cycle
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Synapse, RNA Spliceosome, Proteostasis
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Myelination, Structural Stabilization, Proteostasis
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Neurodevelopment, Neurotransmitter Systems, Anatomical Structures, Epigenetic
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Myelination, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Neurogenesis, Neuronal Signaling, Cell Differentiation, Epigenetic
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Embryonic Development, Epigenetic
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Epigenetic, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: Neural Tube Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Myelination, Autophagy
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Central Nervous System Development, Neurogenesis
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Brain Development, Cell Cycle, Proteostasis
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Endolysosome
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Developmental Process, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Cell Migration, Myelination
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.1/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.1/runtime_log.csv
