Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Spermidine Deacetylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Unknown
GO Term: Regulation Of Cellular Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Trna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: Regulation Of Calcineurin-Mediated Signaling -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Sumo Ligase Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Autophagy, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Vasculature, Proteostasis
GO Term: Negative Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Autophagy
GO Term: Dolichyl Pyrophosphate Glc2Man9Glcnac2 Alpha-1,2-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Aminoacyl-Trna Metabolism Involved In Translational Fidelity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Unknown
GO Term: Histone Succinyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, DNA Repair, Unknown
GO Term: Gator1 Complex Binding -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle
GO Term: Negative Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Glial Cell Projection Elongation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Er-Dependent Peroxisome Localization -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Ala-Trna(Thr) Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of (R)-Mevalonic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Sterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Store-Operated Calcium Entry -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Immune Response, Synapse, Oxidative Stress
GO Term: Positive Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Synapse
GO Term: Negative Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ikappab Kinase Complex Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sec61 Translocon Complex Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Symbiont Cell Surface -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Unknown
GO Term: P-Tefb Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Autophagy
GO Term: Trna (M7G46) Methyltransferase Complex -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, RNA Spliceosome, Unknown
GO Term: Peptidyl-Lysine 3-Dioxygenase Activity -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Peptidyl-Lysine 4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Peptidyl-Arginine 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Mrna N-Acetyltransferase Activity -> Biodomain: Epigenetic, Unknown, RNA Spliceosome, Proteostasis, Lipid Metabolism
GO Term: Cyclic-Gmp-Amp Hydrolase Activity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Inositol-5-Diphosphate-1,3,4,6-Tetrakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Trna C3-Cytosine Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Unknown
GO Term: Zinc Ion Sensor Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Lncrna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Peptide 2-Hydroxyisobutyryltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Peptidyl-Lysine Glutarylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Peptide Glutaryltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Histone Glutaryltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Protein Depropionylation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Nad-Dependent Protein-Lysine Depropionylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Ceramide-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Arachidonate 12(R)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: L-Serine-Phosphatidylethanolamine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Hydroperoxy Icosatetraenoate Isomerase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Unknown
GO Term: Hydroperoxy Icosatetraenoate Dehydratase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: L-Serine-Phosphatidylcholine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Dna-Dna Tethering Activity -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Trna Uridine(34) Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Proteostasis, Unknown
GO Term: 1-Acylglycerophosphoethanolamine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: 1-Acylglycerophosphoserine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Protein Serine Kinase Activity (Using Gtp As Donor) -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To Ergic -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cytosol To Ergic Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Nad+-Protein-Arginine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Biliberdin Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Biliverdin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Unknown
GO Term: Negative Regulation Of Udp-N-Acetylglucosamine Biosynthetic Process -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Chenodeoxycholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Isoursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Apoptosis
GO Term: Superoxide-Generating Nadph Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Protein-Dna Covalent Cross-Linking Repair -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Arachidonate 5,6-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Progesterone 21-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Steroid Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Serine Kinase Activity -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Cell Cycle, Synapse
GO Term: Methylenetetrahydrofolate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: L-Phenylalaine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sialate 9-O-Acetylesterase Activity -> Biodomain: Glycan Metabolism, Enzyme Activity, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Subcortical Maternal Complex -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Unknown
GO Term: Trna (5-Carboxymethyluridine(34)-5-O)-Methyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Trna (Cytidine(32)/Guanosine(34)-2'-O)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Omega-Hydroxyceramide Transacylase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Omega-Hydroxyceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Apoptosis, Endolysosome, Oxidative Stress
GO Term: U2 Snrna 2'-O-Methyladenosine M6 Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Trna Surveillance -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: 2-Hydroxyacyl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Protein-Cysteine Methyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: 4-Hydroxy-3-All-Trans-Polyprenylbenzoate Oxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Protein-L-Histidine N-Pros-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Unknown
GO Term: 3-Deoxyglucosone Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Unknown, Proteostasis, Endolysosome
GO Term: Deoxynucleoside Triphosphate Hydrolase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: 2-Hydroxyphytanoyl-Coa Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: 2-Hydroxy-Atp Hydrolase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: 2-Hydroxy-Datp Hydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Unknown
GO Term: Damp Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Autophagy, Lipid Metabolism
GO Term: (3R)-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Rrna Small Subunit Aminocarboxypropyltransferase Activity -> Biodomain: Epigenetic, Unknown, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Lewis X Epitope Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Vasculature, Structural Stabilization
GO Term: Isoprenoid Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glc2Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Mrna Dihydrouridine Synthase Activity -> Biodomain: Epigenetic, Oxidative Stress, RNA Spliceosome, Structural Stabilization, Unknown
GO Term: Nad-Dependent Protein Lipoamidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Nad-Dependent Protein Biotinidase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Tubulin-Tyrosine Carboxypeptidase -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Tau Homeostasis
GO Term: 11-Cis-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Dihydroorotate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: N6-Methyl-(D)Atp Hydrolase Activity -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Autophagy, Unknown
GO Term: O6-Methyl-Dgtp Hydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Carboxylesterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glutathione-Dependent Sulfide Quinone Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Protein-Glutamic Acid Ligase Activity, Initiating -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Protein-Glutamic Acid Ligase Activity, Elongating -> Biodomain: Proteostasis, Tau Homeostasis, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: L-Lysine:L-Arginine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Trna Methylation -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Basolateral Protein Secretion -> Biodomain: Proteostasis, Structural Stabilization, Synapse, APP Metabolism, Unknown
GO Term: Regulation Of Basement Membrane Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Endolysosome
GO Term: Protein Localization To P-Body -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Elastin Catabolic Process -> Biodomain: Proteostasis, Vasculature, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: B-Wich Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, DNA Replication, DNA Metabolism, Genome Stability, Cell Cycle
GO Term: Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Unknown
GO Term: Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Negative Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Oxidative Stress, Apoptosis, DNA Repair
GO Term: Positive Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Deaminated Glutathione Amidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Metabolite Repair -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Actin Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Autophagy
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Negative Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Autophagy
GO Term: Lncrna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Immune Response
GO Term: Cellularization Cleavage Furrow -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Vesicle-Mediated Intercellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Ttt Hsp90 Cochaperone Complex -> Biodomain: Proteostasis, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Placenta Blood Vessel Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Epigenetic
GO Term: Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Synapse, Proteostasis, Tau Homeostasis
GO Term: Positive Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Negative Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Detoxification Of Aldehyde -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Calcium Homeostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Negative Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Mrna Alternative Polyadenylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Norrin Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Unknown, Proteostasis
GO Term: Ubiquinone Biosynthesis Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Rna Nad+-Cap (Nad+-Forming) Hydrolase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Rna Nad-Cap (Nmn-Forming) Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, RNA Spliceosome, Unknown
GO Term: Rna Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Nad-Cap Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mrna Methylguanosine-Cap Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Autophagy, Epigenetic
GO Term: Reelin Complex -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Calpain Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Apical Plasma Membrane Urothelial Plaque -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Hinge Region Between Urothelial Plaques Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Intermembrane Lipid Transfer -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Intermembrane Phospholipid Transfer -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Intermembrane Sphingolipid Transfer -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Lipid Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Phospholipid Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sterol Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Ceramide Transfer Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Phosphatidylcholine Transfer Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cholesterol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glucagon Family Peptide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Plasma Membrane Bounded Cell Projection -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Immune Response
GO Term: Regulation Of Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cytoskeleton, Cell Cycle
GO Term: Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Myelination
GO Term: Positive Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Stereocilium Shaft -> Biodomain: Structural Stabilization, Actin Cytoskeleton, Cell Projection, Synapse, Cytoskeleton Organization
GO Term: Stereocilium Base -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Stereocilium Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
