Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Endolysosome
GO Term: Vascular Endothelial Growth Factor Receptor 3 Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: P Granule -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: H4/H2A Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Atp-Binding Cassette (Abc) Transporter Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature
GO Term: Axon Initial Segment -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Myelination
GO Term: Terminal Bouton -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Varicosity -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Dendritic Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dendritic Shaft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Myelination
GO Term: Sulfate Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Response To Amino Acid -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To L-Leucine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Lysosomal Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Axon Hillock -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Perikaryon -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Response To External Biotic Stimulus -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Autophagy
GO Term: Glycosphingolipid Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome, Proteostasis
GO Term: Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Daunorubicin Transport -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, DNA Repair, Endolysosome
GO Term: Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis
GO Term: Compact Myelin -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Lateral Loop -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Schmidt-Lanterman Incisure -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Smc Family Protein Binding -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Atpase-Coupled Inorganic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Membraneless Organelle -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Intracellular Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Intracellular Membrane-Bounded Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Intracellular Membraneless Organelle -> Biodomain: Structural Stabilization, RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis
GO Term: Receptor Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Laminin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Lipid Metabolism
GO Term: Laminin-1 Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Synapse
GO Term: Fanconi Anaemia Nuclear Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Proteasome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Erythrocyte Maturation -> Biodomain: Structural Stabilization, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Sodium-Dependent Organic Anion Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Sodium-Dependent Organic Anion Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Sodium-Independent Organic Anion Transport -> Biodomain: Vasculature, Lipid Metabolism, Endolysosome, Proteostasis, Immune Response
GO Term: Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Synapse, Mitochondrial Metabolism
GO Term: Laminin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Laminin-8 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Laminin-10 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Laminin-11 Complex -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix, Cell Adhesion, Tissue Development
GO Term: Adp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Vasculature, Synapse, Endolysosome
GO Term: Negative Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Negative Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Ctpase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Phospholipase Binding -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Anoikis -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Response To Morphine -> Biodomain: Synapse, Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Response To Alkaloid -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Rave Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Contractile Muscle Fiber -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Apoptosome -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Glutathione Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Apical Junction Complex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Epigenetic
GO Term: Apical Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Cell Cycle
GO Term: Leukocyte Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Cell Cycle, Autophagy
GO Term: Eosinophil Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Neutrophil Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Synapse, Endolysosome, Proteostasis
GO Term: Natural Killer Cell Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Degranulation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Natural Killer Cell Degranulation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Phosphatidylinositol-3,4-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Transport To Vacuole Involved In Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Response To Exogenous Dsrna -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Dsrna -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Protein Unfolding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Cardiolipin Synthase (Cmp-Forming) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Enucleate Erythrocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Nucleate Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Beta Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Synapse, Apoptosis, Cell Cycle
GO Term: Positive T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Differentiation, Cell Activation, Developmental Processes
GO Term: Cd4-Positive Or Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Cd4-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Memory T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Memory T Cell Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Negative T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Protein Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Structural Stabilization
GO Term: Proteoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Lipid Metabolism
GO Term: Heparan Sulfate Proteoglycan Binding -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Lipid Metabolism
GO Term: Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Hlh Domain Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Cortisol Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Steroid Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Skeletal Muscle Tissue Regeneration -> Biodomain: Cell Cycle, Autophagy, Immune Response, Structural Stabilization, Mitochondrial Metabolism
GO Term: Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Signaling Receptor Activity, Oxidative Stress, Endocrine, Neurotransmitter Receptor Activity, Cell Signaling
GO Term: Regulation Of Map Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Map Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Negative Regulation Of Map Kinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Regulation Of Mapk Cascade -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Mapk Cascade -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Macromolecule Glycosylation -> Biodomain: Proteostasis, APP Metabolism, Epigenetic, Synapse, Immune Response
GO Term: Macromolecule Methylation -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, APP Metabolism, DNA Repair
GO Term: Positive Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Homocysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Anthranilate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Kinase B Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Bhlh Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mrf Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Response To Peptide Hormone -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Acetoacetic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Pentose-Phosphate Shunt -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair
GO Term: Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Pigmentation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Pigment Metabolic Process Involved In Pigmentation -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Pigment Accumulation -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Rna Stability -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Mrna Stability -> Biodomain: RNA Spliceosome  
Proteostasis  
Autophagy  
Endolysosome  
Cell Cycle
GO Term: Rna Stabilization -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Malate-Aspartate Shuttle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Mitochondrial Metabolism, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Membrane-Membrane Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Skeletal Muscle Adaptation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Skeletal Muscle Fiber Adaptation -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Dna Repair -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Cenp-A Containing Nucleosome -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Jun Kinase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Negative Regulation Of Jun Kinase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Activin A Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Inhibin A Complex -> Biodomain: Hormone Activity, Protein Complex, Extracellular Matrix Organization, Extracellular Structure Organization, Signaling Pathway
GO Term: Inhibin B Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Interleukin-12 Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Kinetochore Binding -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair  
Signal Transduction  
Cell Cycle  
Apoptosis  
Oxidative Stress
GO Term: Negative Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Myosin Ii Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Leucine Zipper Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Synapse, Cell Cycle
GO Term: Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Positive Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Trna Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna (M2G10) Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Structural Stabilization
GO Term: Get Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Adenosine 5'-Monophosphoramidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Adp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Angiostatin Binding -> Biodomain: Vasculature, Proteostasis, Immune Response, Cell Cycle, Apoptosis
GO Term: Inositol 1,3,4,5 Tetrakisphosphate Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Autophagy, Immune Response
GO Term: Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: 6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Udp-N-Acetylglucosamine Transferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Molybdopterin Cofactor Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Molybdopterin Cofactor Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Gtpase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Immune Response
