Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Autophagy
GO Term: P Granule -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization, Autophagy
GO Term: H4/H2A Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Atp-Binding Cassette (Abc) Transporter Complex -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Axon Initial Segment -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Vasculature
GO Term: Terminal Bouton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Varicosity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Dendritic Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dendritic Shaft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Sulfate Binding -> Biodomain: Metal Binding and Homeostasis, Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Response To Amino Acid -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Response To L-Leucine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Lysosomal Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Axon Hillock -> Biodomain: Synapse, Structural Stabilization, Myelination, Metal Binding and Homeostasis, Unknown
GO Term: Perikaryon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Response To External Biotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Glycosphingolipid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome
GO Term: Daunorubicin Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Compact Myelin -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Lateral Loop -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Schmidt-Lanterman Incisure -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Smc Family Protein Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Atpase-Coupled Inorganic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Membraneless Organelle -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, DNA Repair, Epigenetic
GO Term: Intracellular Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Intracellular Membrane-Bounded Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Intracellular Membraneless Organelle -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization, Autophagy
GO Term: Receptor Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Apoptosis
GO Term: Laminin Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Apoptosis
GO Term: Laminin-1 Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Apoptosis
GO Term: Fanconi Anaemia Nuclear Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Unknown
GO Term: Positive Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Proteasome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Apoptosis
GO Term: Erythrocyte Maturation -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Sodium-Dependent Organic Anion Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Sodium-Dependent Organic Anion Transport -> Biodomain: Synapse, Endolysosome, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Sodium-Independent Organic Anion Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Immune Response
GO Term: Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Endolysosome
GO Term: Laminin Complex -> Biodomain: Structural Stabilization, Vasculature, Myelination, Endolysosome, Proteostasis
GO Term: Laminin-8 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Laminin-10 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Laminin-11 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Adp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Potassium Ion Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Oxidative Stress
GO Term: Regulation Of Monoatomic Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Monoatomic Ion Transport -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Synapse, Apoptosis
GO Term: Ctpase Activity -> Biodomain: Lipid Metabolism, Unknown, Unknown, Unknown, Unknown
GO Term: Phospholipase Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Anoikis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Response To Morphine -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Response To Alkaloid -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Rave Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Unknown
GO Term: Contractile Muscle Fiber -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Apoptosome -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Glutathione Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Apical Junction Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Apical Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Unknown
GO Term: Leukocyte Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Unknown
GO Term: Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Vasculature, Apoptosis
GO Term: Positive Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Eosinophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Neutrophil Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Synapse
GO Term: Negative Regulation Of Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Phosphatidylinositol-3,4-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Protein Transport To Vacuole Involved In Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Response To Exogenous Dsrna -> Biodomain: Immune Response, RNA Spliceosome, Endolysosome, Autophagy, Proteostasis
GO Term: Response To Dsrna -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Protein Unfolding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Cardiolipin Synthase (Cmp-Forming) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Enucleate Erythrocyte Differentiation -> Biodomain: Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Nucleate Erythrocyte Differentiation -> Biodomain: Hematopoiesis, Oxygen Transport, Cell Differentiation, Immune Response, Skeletal System
GO Term: Beta Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Positive T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cd4-Positive Or Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Autophagy
GO Term: Cd4-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Unknown, Proteostasis
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Negative T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Protein Binding -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Proteoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Synapse, Immune Response
GO Term: Heparan Sulfate Proteoglycan Binding -> Biodomain: Vasculature, Synapse, Immune Response, Structural Stabilization, Proteostasis
GO Term: Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Hlh Domain Binding -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Cortisol Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Unknown
GO Term: Steroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Immune Response, Apoptosis
GO Term: Skeletal Muscle Tissue Regeneration -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Synapse, Autophagy
GO Term: Regulation Of Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis, Immune Response
GO Term: Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Macromolecule Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Autophagy
GO Term: Macromolecule Methylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Cell Cycle
GO Term: Positive Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Autophagy, Apoptosis, Cell Cycle, Proteostasis
GO Term: Homocysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Anthranilate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein Kinase B Binding -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Bhlh Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Mrf Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Proteostasis
GO Term: Response To Peptide Hormone -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Acetoacetic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, DNA Repair
GO Term: Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Regulation Of Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pigmentation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Pigment Metabolic Process Involved In Pigmentation -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Cellular Pigment Accumulation -> Biodomain: Oxidative Stress, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Rna Stability -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Endolysosome, Oxidative Stress
GO Term: Regulation Of Mrna Stability -> Biodomain: Immune Response, RNA Spliceosome, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Rna Stabilization -> Biodomain: RNA Spliceosome, Synapse, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Malate-Aspartate Shuttle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metabolism, Proteostasis, Unknown
GO Term: Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Membrane-Membrane Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Skeletal Muscle Adaptation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Skeletal Muscle Fiber Adaptation -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cenp-A Containing Nucleosome -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Jun Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Jun Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: Activin A Complex -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Inhibin A Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Inhibin B Complex -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Apoptosis, Immune Response
GO Term: Interleukin-12 Complex -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Kinetochore Binding -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Myosin Ii Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Leucine Zipper Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Apoptosis
GO Term: Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress
GO Term: Negative Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Positive Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Trna Methyltransferase Complex -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, RNA Spliceosome
GO Term: Trna (M2G10) Methyltransferase Complex -> Biodomain: Epigenetic, Unknown, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome
GO Term: Get Complex -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Adenosine 5'-Monophosphoramidase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Adp Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, Oxidative Stress
GO Term: Angiostatin Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Inositol 1,3,4,5 Tetrakisphosphate Binding -> Biodomain: Lipid Metabolism, Neuronal Signaling, Endolysosome, Metal Binding and Homeostasis, Immune Response
GO Term: Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Synapse
GO Term: 6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Udp-N-Acetylglucosamine Transferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Unknown
GO Term: Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Molybdopterin Cofactor Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Unknown
GO Term: Molybdopterin Cofactor Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Gtpase Activity -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Cell Cycle, Immune Response
GO Term: Phosphatidylinositol 3-Kinase Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Kinase Activity -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Translational Initiation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Insulin Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Insulin Receptor Substrate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Ku70:Ku80 Complex -> Biodomain: DNA Repair, Cell Cycle, Immune Response, Epigenetic, Structural Stabilization
GO Term: Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, APP Metabolism, Proteostasis
GO Term: Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Cell Cycle
